".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.981307979573041	1	"0.98131"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.428550130844064	1	"0.42855"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.365653016003875	1	"0.36565"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.00398477304495742	0.43	"0.00398"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.926417186501546	1	"0.92642"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.453213239491876	1	"0.45321"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.495295778194082	1	"0.49530"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.424521675664111	1	"0.42452"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.497850364416938	1	"0.49785"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	0.414924750219269	1	"0.41492"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.704421583897294	1	"0.70442"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.885117630926578	1	"0.88512"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.551749714871153	1	"0.55175"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	0.847658031579475	1	"0.84766"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.530823629042462	1	"0.53082"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_23andme"	0.49517521473459	1	"0.49518"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_UKBB_23andme"	0.431766780184493	1	"0.43177"	"ns"	"Wilcoxon"
