".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.792558205585689	1	"0.79256"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.555594334296139	1	"0.55559"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.816203399326582	1	"0.81620"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.0105359992919135	0.96	"0.01054"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.229574683311781	1	"0.22957"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.0613477799356117	1	"0.06135"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.115516837684873	1	"0.11552"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.00010042047617416	0.011	"0.00010"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.843841233129389	1	"0.84384"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	4.78208638397964e-05	0.0051	"4.8e-05"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.85396718778695	1	"0.85397"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.408481467540549	1	"0.40848"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.798954042094346	1	"0.79895"	"ns"	"Wilcoxon"
