".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.790679926216868	1	"0.79068"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.791535813026996	1	"0.79154"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.83063531419108	1	"0.83064"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.00383373660247502	0.43	"0.00383"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.149280958189603	1	"0.14928"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.0351688736051362	1	"0.03517"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.481871318890805	1	"0.48187"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.650626556161483	1	"0.65063"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.941900415507343	1	"0.94190"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	0.604758035512066	1	"0.60476"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.873166113512657	1	"0.87317"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.622040235428626	1	"0.62204"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.418638017729686	1	"0.41864"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	0.911776878335674	1	"0.91178"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.663252962180881	1	"0.66325"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_23andme"	0.642385332164338	1	"0.64239"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_UKBB_23andme"	0.67946130404954	1	"0.67946"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_23andme"	0.00326923824009378	0.37	"0.00327"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.117296174933181	1	"0.11730"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_23andme"	0.0302050373818268	1	"0.03021"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_UKBB_23andme"	0.387508017883496	1	"0.38751"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_23andme"	0.872587930570392	1	"0.87259"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.791594658021346	1	"0.79159"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_23andme"	0.831214406378698	1	"0.83121"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_UKBB_23andme"	0.782085037304551	1	"0.78209"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_23andme"	0.524769123298413	1	"0.52477"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.359584163590742	1	"0.35958"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_23andme"	0.756742208670229	1	"0.75674"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_UKBB_23andme"	0.539871943997431	1	"0.53987"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.922884732030189	1	"0.92288"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.00538847903913263	0.59	"0.00539"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.148821667988336	1	"0.14882"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_23andme"	0.0452486927977621	1	"0.04525"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.484485764772021	1	"0.48449"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.322609577969202	1	"0.32261"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.830115538014747	1	"0.83012"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_23andme"	0.274915280054127	1	"0.27492"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.87864502685155	1	"0.87865"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.804169528821291	1	"0.80417"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.524169340833266	1	"0.52417"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_23andme"	0.854272062808938	1	"0.85427"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.814760048497105	1	"0.81476"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_23andme"	0.00507288995259484	0.56	"0.00507"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.150736594820086	1	"0.15074"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_leave_23andme"	0.0410713335234279	1	"0.04107"	"*"	"Wilcoxon"
