".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.495008440136019	1	"0.49501"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.625834722781681	1	"0.62583"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.489322526070935	1	"0.48932"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	2.20279977649524e-14	2.5e-12	"2.2e-14"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	2.24487567941433e-07	1.8e-05	"2.2e-07"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	5.20731860990934e-10	5.3e-08	"5.2e-10"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	1.28611945191707e-08	1.2e-06	"1.3e-08"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.000983153272041883	0.053	"0.00098"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.651966364106503	1	"0.65197"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	5.21899850265778e-05	0.0032	"5.2e-05"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.654258300096544	1	"0.65426"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.565032720077429	1	"0.56503"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.253927416728056	1	"0.25393"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	0.6344146657075	1	"0.63441"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.18339987352688	1	"0.18340"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_23andme"	0.790392413503102	1	"0.79039"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_UKBB_23andme"	0.964701296297125	1	"0.96470"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_23andme"	4.7946303045187e-13	5.1e-11	"4.8e-13"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	1.09256794474741e-06	7.9e-05	"1.1e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_23andme"	6.68471079360572e-09	6.1e-07	"6.7e-09"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_UKBB_23andme"	9.40774870179855e-08	7.8e-06	"9.4e-08"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_23andme"	6.38430367953762e-06	0.00043	"6.4e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.710252067979553	1	"0.71025"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_23andme"	1.10939805765371e-07	9e-06	"1.1e-07"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_UKBB_23andme"	0.671043498227307	1	"0.67104"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_23andme"	0.137744749239496	1	"0.13774"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.673163952923927	1	"0.67316"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_23andme"	0.167970512650598	1	"0.16797"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_UKBB_23andme"	0.556816812638951	1	"0.55682"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.869648658203198	1	"0.86965"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_23andme"	3.14964662990094e-13	3.4e-11	"3.1e-13"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	8.0627008944354e-07	6e-05	"8.1e-07"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_23andme"	4.97999329886732e-09	4.7e-07	"5.0e-09"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	7.5767605992139e-08	6.5e-06	"7.6e-08"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_23andme"	6.47414775204335e-06	0.00043	"6.5e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.940475778345748	1	"0.94048"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_23andme"	6.18188576615953e-08	5.4e-06	"6.2e-08"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.939648459674463	1	"0.93965"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.157996805354037	1	"0.15800"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.610345774026152	1	"0.61035"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_23andme"	0.196038988495846	1	"0.19604"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.481183357066671	1	"0.48118"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_23andme"	9.47697252183724e-13	9.9e-11	"9.5e-13"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	1.58688548293389e-06	0.00011	"1.6e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_leave_23andme"	1.14203076319645e-08	1e-06	"1.1e-08"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_leave_UKBB_23andme"	1.73843769749303e-07	1.4e-05	"1.7e-07"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_eur_leave_23andme"	4.13274436100807e-05	0.0026	"4.1e-05"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.845343736350727	1	"0.84534"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_leave_23andme"	1.03436839432664e-06	7.6e-05	"1.0e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_leave_UKBB_23andme"	0.849886490574076	1	"0.84989"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"C2_ALL_eur_leave_23andme"	0.211684991322513	1	"0.21168"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.585696052274219	1	"0.58570"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"C2_ALL_leave_23andme"	0.255885407877399	1	"0.25589"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"C2_ALL_leave_UKBB_23andme"	0.467982412260205	1	"0.46798"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.599933488241408	1	"0.59993"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.139863889598776	1	"0.13986"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.200898474783891	1	"0.20090"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	2.50347912665976e-25	3e-23	"< 2e-16"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	2.43193096706852e-14	2.7e-12	"2.4e-14"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	1.84225064602163e-27	2.2e-25	"< 2e-16"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	4.72116980200904e-15	5.4e-13	"4.7e-15"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	9.31256567292258e-14	1e-11	"9.3e-14"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	1.6730566090575e-08	1.5e-06	"1.7e-08"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	9.93622153795064e-14	1.1e-11	"9.9e-14"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	2.62442329448314e-09	2.5e-07	"2.6e-09"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_23andme"	0.477530990149614	1	"0.47753"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_UKBB_23andme"	0.51812754494923	1	"0.51813"	"ns"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_23andme"	8.80028417672384e-13	9.2e-11	"8.8e-13"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	2.5366061364042e-07	2e-05	"2.5e-07"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_23andme"	7.36035267836563e-14	8.2e-12	"7.4e-14"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_UKBB_23andme"	9.00176933072903e-08	7.6e-06	"9.0e-08"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_23andme"	4.06283040740082e-07	3e-05	"4.1e-07"	"****"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.0001895529987191	0.011	"0.00019"	"***"	"Wilcoxon"
"new_beta"	"B1_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_23andme"	3.93492404940159e-07	3e-05	"3.9e-07"	"****"	"Wilcoxon"
