".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.849840782856774	1	"0.84984"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.587032643706285	1	"0.58703"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.834456083654822	1	"0.83446"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.00215884941732755	0.21	"0.00216"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.191447729503104	1	"0.19145"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.0430010358743935	1	"0.04300"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.148389905852002	1	"0.14839"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.00059835675646216	0.063	"0.00060"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.783156562464285	1	"0.78316"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	0.000252398458912683	0.028	"0.00025"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.911157842866691	1	"0.91116"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.288880218254362	1	"0.28888"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.910132174675472	1	"0.91013"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	0.311511776990388	1	"0.31151"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.935466103464289	1	"0.93547"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_23andme"	0.780344438853224	1	"0.78034"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_UKBB_23andme"	0.985812681983147	1	"0.98581"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_23andme"	0.00342324095052866	0.32	"0.00342"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.20858262465564	1	"0.20858"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_23andme"	0.0522452438914605	1	"0.05225"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_UKBB_23andme"	0.162338210183302	1	"0.16234"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_23andme"	0.000355435277507334	0.038	"0.00036"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.960703635803866	1	"0.96070"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_23andme"	0.000146663955257874	0.016	"0.00015"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_UKBB_23andme"	0.684998826559268	1	"0.68500"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_23andme"	0.212551692333724	1	"0.21255"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.942698855502838	1	"0.94270"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_23andme"	0.218025605642744	1	"0.21803"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_UKBB_23andme"	0.77378871262008	1	"0.77379"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.741836182480603	1	"0.74184"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.0066939258592352	0.6	"0.00669"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.300977418294563	1	"0.30098"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_23andme"	0.0929315869504789	1	"0.09293"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.247149811440647	1	"0.24715"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_23andme"	1.85425528031376e-05	0.0021	"1.9e-05"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.80513006993995	1	"0.80513"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_23andme"	4.14465019107351e-06	0.00047	"4.1e-06"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.502951006646006	1	"0.50295"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.101317591223685	1	"0.10132"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.714555753110777	1	"0.71456"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_23andme"	0.109472179701516	1	"0.10947"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.538119876751477	1	"0.53812"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_23andme"	0.00630857179426091	0.58	"0.00631"	"**"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.282582361754579	1	"0.28258"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_leave_23andme"	0.0835615308590913	1	"0.08356"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B1_ALL_leave_UKBB_23andme"	0.222350788371926	1	"0.22235"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_eur_leave_23andme"	0.000204608366833049	0.023	"0.00020"	"***"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.956312624083427	1	"0.95631"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_leave_23andme"	6.99358235168731e-05	0.0078	"7.0e-05"	"****"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_UKBB_23andme"	"B2_ALL_leave_UKBB_23andme"	0.734793335948015	1	"0.73479"	"ns"	"Wilcoxon"
