".y."	"group1"	"group2"	"p"	"p.adj"	"p.format"	"p.signif"	"method"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_eur_leave_ukbb_23andme"	0.881656377179752	1	"0.88166"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_23andme"	0.979380983376199	1	"0.97938"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.736986419223255	1	"0.73699"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.0160125767086539	1	"0.01601"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.0526555066597032	1	"0.05266"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_23andme"	0.0732588759554474	1	"0.07326"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B1_ALL_leave_UKBB_23andme"	0.0893290376244448	1	"0.08933"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_23andme"	0.277153984340285	1	"0.27715"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.734279087973731	1	"0.73428"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_23andme"	0.266497317728576	1	"0.26650"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"B2_ALL_leave_UKBB_23andme"	0.799405233727208	1	"0.79941"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_23andme"	0.871931336132696	1	"0.87193"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.384806281689276	1	"0.38481"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_23andme"	0.992554438138341	1	"0.99255"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_23andme"	"C2_ALL_leave_UKBB_23andme"	0.349259886794771	1	"0.34926"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_23andme"	0.847850457158545	1	"0.84785"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"A2_ALL_leave_UKBB_23andme"	0.904551641451558	1	"0.90455"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_23andme"	0.0175712260032593	1	"0.01757"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_eur_leave_ukbb_23andme"	0.0649560214891224	1	"0.06496"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_23andme"	0.0794062334376536	1	"0.07941"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B1_ALL_leave_UKBB_23andme"	0.0972657633804507	1	"0.09727"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_23andme"	0.0539958434596651	1	"0.05400"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_eur_leave_ukbb_23andme"	0.876817098009543	1	"0.87682"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_23andme"	0.0463226102136989	1	"0.04632"	"*"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"B2_ALL_leave_UKBB_23andme"	0.912680939510476	1	"0.91268"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_23andme"	0.800782144477518	1	"0.80078"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_eur_leave_ukbb_23andme"	0.545457213385913	1	"0.54546"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_23andme"	0.627575151915766	1	"0.62758"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_eur_leave_ukbb_23andme"	"C2_ALL_leave_UKBB_23andme"	0.541321234839515	1	"0.54132"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"A2_ALL_leave_UKBB_23andme"	0.702821156475824	1	"0.70282"	"ns"	"Wilcoxon"
"new_beta"	"A2_ALL_leave_23andme"	"B1_ALL_eur_leave_23andme"	0.0128714610888544	1	"0.01287"	"*"	"Wilcoxon"
