species	low_ci	high_ci
chimpanzee	1.8227852410841363	1.9781220589299935

gorilla	1.5319299469255854	1.6687776284394902

orangutan	1.705228551336146	1.851939910626565

macaque	1.5892648030266634	1.7436062506877958

rabbit	1.4208500107064619	1.659592884555544

egyptian_jerboa	1.1869631901840492	1.4074042709867454

prairie_vole	1.3056469771006993	1.5511078001482212

rat	1.200895875591616	1.3951169486845738

mouse	1.1683886044436094	1.3588226038482285

musk_ox	1.2669481696266762	1.4534014823403698

sheep	1.238715840755119	1.4241011668359964

cow	1.217622595144408	1.3835313622547663

cat	1.1803758930654786	1.326987757024015

dog	1.192081651927535	1.3375505050505052

elephant	1.2532976871841215	1.4027058151708383

