hg19_pos,IMPACT,COUNT
chr19:49409078-49409080,HIGH,15.0
chr1:1653027-1653029,LOW,16.0
chr20:32678368-32678370,LOW,16.0
chr5:176292687-176292689,LOW,16.0
chr18:5290934-5290936,LOW,15.0
chr15:69690140-69690142,LOW,5.0
chr19:58189858-58189860,LOW,13.0
chr8:72914477-72914479,LOW,5.0
chr1:111144797-111144799,LOW,15.0
chr19:35758165-35758167,LOW,16.0
chr11:56143359-56143361,LOW,15.0
chr4:96123987-96123989,MODERATE,16.0
chr15:40676689-40676691,MODERATE,14.0
chr9:21227924-21227926,MODERATE,16.0
chr7:4901302-4901304,MODERATE,13.0
chr4:169227760-169227762,MODERATE,16.0
chrX:1467390-1467392,MODERATE,4.0
chr11:64416355-64416357,MODERATE,16.0
chr9:107651439-107651441,MODERATE,16.0
chr19:52660207-52660209,MODERATE,14.0
chr10:121662443-121662445,MODERATE,16.0
chr2:27805202-27805204,MODERATE,11.0
chr1:245212293-245212295,MODIFIER,3.0
chr10:114217942-114217944,MODIFIER,10.0
chr4:155652157-155652159,MODIFIER,5.0
chr2:224878809-224878811,MODIFIER,8.0
chr11:27350077-27350079,MODIFIER,12.0
chr3:159549499-159549501,MODIFIER,5.0
chr21:22289984-22289986,MODIFIER,7.0
chrX:74223459-74223461,MODIFIER,6.0
chr9:83271837-83271839,MODIFIER,1.0
chr7:36288508-36288510,MODIFIER,16.0
chr8:144982394-144982396,MODIFIER,5.0
chr8:104241837-104241839,MODIFIER,16.0
chr10:98669810-98669812,MODIFIER,13.0
chr19:50790390-50790392,MODIFIER,8.0
chr1:157083099-157083101,MODIFIER,12.0
chr13:103158460-103158462,MODIFIER,11.0
chr5:99070768-99070770,MODIFIER,5.0
chr4:166477686-166477688,MODIFIER,6.0
chr1:90095782-90095784,MODIFIER,14.0
chr10:96010026-96010028,MODIFIER,4.0
chr14:20866677-20866679,MODIFIER,7.0
chr7:36528746-36528748,MODIFIER,5.0
chr7:4354303-4354305,MODIFIER,4.0
chr5:172534958-172534960,MODIFIER,5.0
chr16:71918173-71918175,MODIFIER,15.0
chr5:118141994-118141996,MODIFIER,15.0
chr2:176793963-176793965,MODIFIER,16.0
chr16:27043736-27043738,MODIFIER,5.0
chr22:45356909-45356911,MODIFIER,5.0
chr15:99531991-99531993,MODIFIER,5.0
chr7:119805039-119805041,MODIFIER,5.0
chr3:109397771-109397773,MODIFIER,14.0
chr19:28454595-28454597,MODIFIER,16.0
chr8:50347129-50347131,MODIFIER,4.0
chr2:47375429-47375431,MODIFIER,5.0
chr13:76479499-76479501,MODIFIER,16.0
chr6:12479227-12479229,MODIFIER,8.0
chr4:159478092-159478094,MODIFIER,5.0
chr1:168827829-168827831,MODIFIER,5.0
chr6:12318255-12318257,MODIFIER,13.0
chr4:116683253-116683255,MODIFIER,11.0
chr15:23126458-23126460,MODIFIER,5.0
chr4:44240108-44240110,MODIFIER,12.0
chr6:157731721-157731723,MODIFIER,2.0
chr12:30134646-30134648,MODIFIER,13.0
chr5:94794589-94794591,MODIFIER,14.0
chr14:87796392-87796394,MODIFIER,12.0
chr13:77704983-77704985,MODIFIER,15.0
chr11:65468562-65468564,MODIFIER,2.0
chr11:27463390-27463392,MODIFIER,15.0
chr8:19360150-19360152,MODIFIER,12.0
chrX:151067371-151067373,MODIFIER,5.0
chr9:16831374-16831376,MODIFIER,16.0
chr3:85863201-85863203,MODIFIER,4.0
chr12:11478760-11478762,MODIFIER,11.0
chr19:23301509-23301511,MODIFIER,2.0
chr7:83976926-83976928,MODIFIER,5.0
chr8:41474055-41474057,MODIFIER,5.0
chr7:155446223-155446225,MODIFIER,7.0
chr18:31621857-31621859,MODIFIER,15.0
chr8:43424271-43424273,MODIFIER,1.0
chr8:33109601-33109603,MODIFIER,5.0
chr12:38799429-38799431,MODIFIER,5.0
chr3:94582494-94582496,MODIFIER,4.0
chr21:27961860-27961862,MODIFIER,11.0
chr17:58530047-58530049,MODIFIER,4.0
chr18:13446127-13446129,MODIFIER,15.0
chr17:67970554-67970556,MODIFIER,11.0
chr12:77330402-77330404,MODIFIER,5.0
chr15:59174428-59174430,MODIFIER,15.0
chr3:80162437-80162439,MODIFIER,5.0
chr9:121975272-121975274,MODIFIER,16.0
chr10:38728393-38728395,MODIFIER,4.0
chr13:76426203-76426205,MODIFIER,12.0
chr20:59078795-59078797,MODIFIER,5.0
chr9:86332869-86332871,MODIFIER,5.0
chr14:45347799-45347801,MODIFIER,5.0
chr10:100608664-100608666,MODIFIER,7.0
chr1:52706854-52706856,MODIFIER,5.0
chr20:40826210-40826212,MODIFIER,16.0
chr6:129425383-129425385,MODIFIER,5.0
chr12:133818177-133818179,MODIFIER,9.0
chr5:174019907-174019909,MODIFIER,10.0
chr11:950044-950046,MODIFIER,2.0
chr4:183079373-183079375,MODIFIER,16.0
chr22:23300886-23300888,MODIFIER,13.0
