gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_eur_leave_23andme,1:9630418,chr1:9690475-9690477,0.21065
A2_ALL_eur_leave_23andme,1:155181061,chr1:155153536-155153538,-0.20553
A2_ALL_eur_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_eur_leave_23andme,1:155203736,chr1:155173526-155173528,-0.20379
A2_ALL_eur_leave_23andme,1:213937904,chr1:214111246-214111248,0.2767
A2_ALL_eur_leave_23andme,1:213941523,chr1:214114865-214114867,0.27613
A2_ALL_eur_leave_23andme,1:213945999,chr1:214119341-214119343,0.27519
A2_ALL_eur_leave_23andme,1:213950025,chr1:214123367-214123369,0.27323
A2_ALL_eur_leave_23andme,1:237113798,chr1:237277097-237277099,0.31659
A2_ALL_eur_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_eur_leave_23andme,1:237114217,chr1:237277516-237277518,-0.29234
A2_ALL_eur_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_eur_leave_23andme,1:237116377,chr1:237279676-237279678,-0.30652
A2_ALL_eur_leave_23andme,1:237116905,chr1:237280204-237280206,0.29317
A2_ALL_eur_leave_23andme,1:237117169,chr1:237280468-237280470,-0.29152
A2_ALL_eur_leave_23andme,2:125704988,chr2:126462564-126462566,-0.16891
A2_ALL_eur_leave_23andme,2:125707463,chr2:126465039-126465041,0.16783
A2_ALL_eur_leave_23andme,2:125708831,chr2:126466407-126466409,-0.16693
A2_ALL_eur_leave_23andme,2:125713008,chr2:126470584-126470586,-0.16272
A2_ALL_eur_leave_23andme,2:125715915,chr2:126473491-126473493,-0.17152
A2_ALL_eur_leave_23andme,2:125718666,chr2:126476242-126476244,-0.16935
A2_ALL_eur_leave_23andme,2:125722352,chr2:126479928-126479930,-0.17311
A2_ALL_eur_leave_23andme,2:125728622,chr2:126486198-126486200,-0.17179
A2_ALL_eur_leave_23andme,2:125744464,chr2:126502040-126502042,0.14913
A2_ALL_eur_leave_23andme,2:125746146,chr2:126503722-126503724,-0.14766
A2_ALL_eur_leave_23andme,2:125746983,chr2:126504559-126504561,-0.14778
A2_ALL_eur_leave_23andme,2:125751323,chr2:126508899-126508901,-0.14746
A2_ALL_eur_leave_23andme,2:125751735,chr2:126509311-126509313,-0.14694
A2_ALL_eur_leave_23andme,2:125753981,chr2:126511557-126511559,0.14721
A2_ALL_eur_leave_23andme,2:125754609,chr2:126512185-126512187,-0.14715
A2_ALL_eur_leave_23andme,2:125754853,chr2:126512429-126512431,0.15013
A2_ALL_eur_leave_23andme,2:125756213,chr2:126513789-126513791,-0.14791
A2_ALL_eur_leave_23andme,2:125756664,chr2:126514240-126514242,-0.14775
A2_ALL_eur_leave_23andme,2:125787318,chr2:126544894-126544896,0.15045
A2_ALL_eur_leave_23andme,2:125803252,chr2:126560828-126560830,-0.15037
A2_ALL_eur_leave_23andme,2:125803433,chr2:126561009-126561011,-0.15139
A2_ALL_eur_leave_23andme,2:228909079,chr2:229773794-229773796,-0.17106
A2_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
A2_ALL_eur_leave_23andme,3:45801750,chr3:45843241-45843243,0.47547
A2_ALL_eur_leave_23andme,3:45801823,chr3:45843314-45843316,0.47946
A2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
A2_ALL_eur_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
A2_ALL_eur_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
A2_ALL_eur_leave_23andme,3:45805277,chr3:45846768-45846770,0.47128
A2_ALL_eur_leave_23andme,3:45805749,chr3:45847240-45847242,0.34211
A2_ALL_eur_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
A2_ALL_eur_leave_23andme,3:45809291,chr3:45850782-45850784,-0.42153
A2_ALL_eur_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
A2_ALL_eur_leave_23andme,3:45820440,chr3:45861931-45861933,0.62504
A2_ALL_eur_leave_23andme,3:45821460,chr3:45862951-45862953,0.6245
A2_ALL_eur_leave_23andme,3:45823240,chr3:45864731-45864733,0.62392
A2_ALL_eur_leave_23andme,3:45825948,chr3:45867439-45867441,0.62287
A2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
A2_ALL_eur_leave_23andme,3:45838989,chr3:45880480-45880482,0.62496
A2_ALL_eur_leave_23andme,3:45847198,chr3:45888689-45888691,0.6244
A2_ALL_eur_leave_23andme,3:45848429,chr3:45889920-45889922,0.62617
A2_ALL_eur_leave_23andme,3:45848457,chr3:45889948-45889950,0.61996
A2_ALL_eur_leave_23andme,3:45858159,chr3:45899650-45899652,0.63022
A2_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
A2_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
A2_ALL_eur_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
A2_ALL_eur_leave_23andme,3:45867367,chr3:45908858-45908860,0.65932
A2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_eur_leave_23andme,3:45869378,chr3:45910869-45910871,0.25148
A2_ALL_eur_leave_23andme,3:45875294,chr3:45916785-45916787,0.38085
A2_ALL_eur_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
A2_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
A2_ALL_eur_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
A2_ALL_eur_leave_23andme,3:45890915,chr3:45932406-45932408,0.37625
A2_ALL_eur_leave_23andme,3:45896341,chr3:45937832-45937834,-0.24739
A2_ALL_eur_leave_23andme,3:45897524,chr3:45939015-45939017,0.36834
A2_ALL_eur_leave_23andme,3:45899144,chr3:45940635-45940637,-0.19017
A2_ALL_eur_leave_23andme,3:45903640,chr3:45945131-45945133,0.36734
A2_ALL_eur_leave_23andme,3:45903795,chr3:45945286-45945288,-0.18782
A2_ALL_eur_leave_23andme,3:45905526,chr3:45947017-45947019,0.36647
A2_ALL_eur_leave_23andme,3:45908261,chr3:45949752-45949754,-0.18763
A2_ALL_eur_leave_23andme,3:45910155,chr3:45951646-45951648,0.35655
A2_ALL_eur_leave_23andme,3:45918928,chr3:45960419-45960421,0.4273
A2_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
A2_ALL_eur_leave_23andme,3:45921111,chr3:45962602-45962604,0.4299
A2_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
A2_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
A2_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
A2_ALL_eur_leave_23andme,3:45933476,chr3:45974967-45974969,-0.13025
A2_ALL_eur_leave_23andme,3:45933601,chr3:45975092-45975094,-0.13001
A2_ALL_eur_leave_23andme,3:45933951,chr3:45975442-45975444,0.42419
A2_ALL_eur_leave_23andme,3:45935170,chr3:45976661-45976663,0.4247
A2_ALL_eur_leave_23andme,3:45939679,chr3:45981170-45981172,0.42145
A2_ALL_eur_leave_23andme,3:45941984,chr3:45983475-45983477,0.42145
A2_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
A2_ALL_eur_leave_23andme,3:45947552,chr3:45989043-45989045,-0.1249
A2_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
A2_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
A2_ALL_eur_leave_23andme,3:45951734,chr3:45993225-45993227,-0.11898
A2_ALL_eur_leave_23andme,3:45952153,chr3:45993644-45993646,0.42104
A2_ALL_eur_leave_23andme,3:45954256,chr3:45995747-45995749,-0.41377
A2_ALL_eur_leave_23andme,3:45954555,chr3:45996046-45996048,-0.1182
A2_ALL_eur_leave_23andme,3:45955009,chr3:45996500-45996502,0.41419
A2_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
A2_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
A2_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
A2_ALL_eur_leave_23andme,3:45959378,chr3:46000869-46000871,0.42089
A2_ALL_eur_leave_23andme,3:45959571,chr3:46001062-46001064,-0.11864
A2_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
A2_ALL_eur_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
A2_ALL_eur_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
A2_ALL_eur_leave_23andme,3:45960513,chr3:46002004-46002006,-0.1191
A2_ALL_eur_leave_23andme,3:45961470,chr3:46002961-46002963,-0.11884
A2_ALL_eur_leave_23andme,3:45961471,chr3:46002962-46002964,0.42063
A2_ALL_eur_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
A2_ALL_eur_leave_23andme,3:45962045,chr3:46003536-46003538,-0.41411
A2_ALL_eur_leave_23andme,3:45964747,chr3:46006238-46006240,-0.41669
A2_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,-0.41619
A2_ALL_eur_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
A2_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
A2_ALL_eur_leave_23andme,3:45966331,chr3:46007822-46007824,0.43078
A2_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
A2_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
A2_ALL_eur_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
A2_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,0.41669
A2_ALL_eur_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
A2_ALL_eur_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
A2_ALL_eur_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
A2_ALL_eur_leave_23andme,3:45972340,chr3:46013831-46013833,0.42286
A2_ALL_eur_leave_23andme,3:45973053,chr3:46014544-46014546,0.4236
A2_ALL_eur_leave_23andme,3:45974077,chr3:46015568-46015570,-0.41847
A2_ALL_eur_leave_23andme,3:45976852,chr3:46018343-46018345,0.42401
A2_ALL_eur_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
A2_ALL_eur_leave_23andme,3:45983037,chr3:46024528-46024530,0.4215
A2_ALL_eur_leave_23andme,3:45983556,chr3:46025047-46025049,0.42196
A2_ALL_eur_leave_23andme,3:45990465,chr3:46031956-46031958,0.13023
A2_ALL_eur_leave_23andme,3:45990896,chr3:46032387-46032389,0.12995
A2_ALL_eur_leave_23andme,3:45990949,chr3:46032440-46032442,0.13308
A2_ALL_eur_leave_23andme,3:45991355,chr3:46032846-46032848,-0.13156
A2_ALL_eur_leave_23andme,3:45992327,chr3:46033818-46033820,0.13154
A2_ALL_eur_leave_23andme,3:45993605,chr3:46035096-46035098,0.42141
A2_ALL_eur_leave_23andme,3:45995029,chr3:46036520-46036522,-0.3453
A2_ALL_eur_leave_23andme,3:45996955,chr3:46038446-46038448,-0.12478
A2_ALL_eur_leave_23andme,3:45997152,chr3:46038643-46038645,0.1249
A2_ALL_eur_leave_23andme,3:45997568,chr3:46039059-46039061,0.41734
A2_ALL_eur_leave_23andme,3:45998107,chr3:46039598-46039600,-0.12513
A2_ALL_eur_leave_23andme,3:45998376,chr3:46039867-46039869,0.41688
A2_ALL_eur_leave_23andme,3:45999186,chr3:46040677-46040679,-0.12499
A2_ALL_eur_leave_23andme,3:46000090,chr3:46041581-46041583,-0.12435
A2_ALL_eur_leave_23andme,3:46000345,chr3:46041836-46041838,0.41664
A2_ALL_eur_leave_23andme,3:46000417,chr3:46041908-46041910,-0.12446
A2_ALL_eur_leave_23andme,3:46000581,chr3:46042072-46042074,-0.12688
A2_ALL_eur_leave_23andme,3:46000921,chr3:46042412-46042414,0.12336
A2_ALL_eur_leave_23andme,3:46004967,chr3:46046458-46046460,0.41733
A2_ALL_eur_leave_23andme,3:46005277,chr3:46046768-46046770,-0.12329
A2_ALL_eur_leave_23andme,3:46005540,chr3:46047031-46047033,-0.12401
A2_ALL_eur_leave_23andme,3:46005552,chr3:46047043-46047045,-0.12383
A2_ALL_eur_leave_23andme,3:46006166,chr3:46047657-46047659,0.4143
A2_ALL_eur_leave_23andme,3:46008272,chr3:46049763-46049765,0.42313
