chr	start	end	species_loc	score	strand	species	hg19_loc	hg19_loc_original
chr11	97791458	97791459	9:11608606-11608607	0	.	C57B6J	chr11:97791458-97791459	chr11:97791458-97791460
chr11	97791459	97791460	9:11608608-11608609	0	.	C57B6J	chr11:97791459-97791460	chr11:97791458-97791460
chr11	120754722	120754723	9:42612515-42612516	0	.	C57B6J	chr11:120754722-120754723	chr11:120754722-120754724
chr11	120754723	120754724	9:42612513-42612514	0	.	C57B6J	chr11:120754723-120754724	chr11:120754722-120754724
chr10	133781713	133781715	1:63267279-63267281	0	.	C57B6J	chr10:133781713-133781715	chr14:28734654-28734656
chr14	28734654	28734656	1:63267279-63267281	0	.	C57B6J	chr14:28734654-28734656	chr14:28734654-28734656
chr10	133781713	133781714	14:44265903-44265904	0	.	C57B6J	chr10:133781713-133781714	chr14:28734654-28734656
chr14	28734655	28734656	14:44265903-44265904	0	.	C57B6J	chr14:28734655-28734656	chr14:28734654-28734656
chr10	133781713	133781714	14:44597526-44597527	0	.	C57B6J	chr10:133781713-133781714	chr14:28734654-28734656
chr14	28734655	28734656	14:44597526-44597527	0	.	C57B6J	chr14:28734655-28734656	chr14:28734654-28734656
chr10	133781713	133781714	3:144728750-144728751	0	.	C57B6J	chr10:133781713-133781714	chr14:28734654-28734656
chr14	28734655	28734656	3:144728750-144728751	0	.	C57B6J	chr14:28734655-28734656	chr14:28734654-28734656
chr10	133781713	133781714	7:138891584-138891585	0	.	C57B6J	chr10:133781713-133781714	chr14:28734654-28734656
chr14	28734655	28734656	7:138891584-138891585	0	.	C57B6J	chr14:28734655-28734656	chr14:28734654-28734656
chr10	133781713	133781714	X:13490201-13490202	0	.	C57B6J	chr10:133781713-133781714	chr14:28734654-28734656
chr14	28734655	28734656	X:13490201-13490202	0	.	C57B6J	chr14:28734655-28734656	chr14:28734654-28734656
chr17	43916355	43916356	11:104177070-104177071	0	.	C57B6J	chr17:43916355-43916356	chr17:43916355-43916357
chr17_ctg5_hap1	951168	951169	11:104177070-104177071	0	.	C57B6J	chr17_ctg5_hap1:951168-951169	chr17:43916355-43916357
chr17	43916356	43916357	11:104177072-104177073	0	.	C57B6J	chr17:43916356-43916357	chr17:43916355-43916357
chr17_ctg5_hap1	951167	951168	11:104177072-104177073	0	.	C57B6J	chr17_ctg5_hap1:951167-951168	chr17:43916355-43916357
chr2	126514240	126514242	1:112574870-112574872	0	.	C57B6J	chr2:126514240-126514242	chr2:126514240-126514242
chr2	126514240	126514242	1:117316617-117316619	0	.	C57B6J	chr2:126514240-126514242	chr2:126514240-126514242
chr3	45837885	45837887	9:123632204-123632206	0	.	C57B6J	chr3:45837885-45837887	chr3:45837885-45837887
chr3	45837885	45837887	9:123678780-123678782	0	.	C57B6J	chr3:45837885-45837887	chr3:45837885-45837887
chr1	111390392	111390394	10:67267185-67267187	0	.	C57B6J	chr1:111390392-111390394	chr3:46065962-46065964
chr2	233208916	233208918	10:67267185-67267187	0	.	C57B6J	chr2:233208916-233208918	chr3:46065962-46065964
chr3	46065962	46065964	10:67267185-67267187	0	.	C57B6J	chr3:46065962-46065964	chr3:46065962-46065964
chr4	69045612	69045614	10:67267185-67267187	0	.	C57B6J	chr4:69045612-69045614	chr3:46065962-46065964
chr8	108996490	108996492	10:67267185-67267187	0	.	C57B6J	chr8:108996490-108996492	chr3:46065962-46065964
chr10	5819112	5819114	10:67267185-67267187	0	.	C57B6J	chr10:5819112-5819114	chr3:46065962-46065964
chr10	64914275	64914277	10:67267185-67267187	0	.	C57B6J	chr10:64914275-64914277	chr3:46065962-46065964
chr18	33422879	33422881	10:67267185-67267187	0	.	C57B6J	chr18:33422879-33422881	chr3:46065962-46065964
chr1	111390392	111390394	14:52861494-52861496	0	.	C57B6J	chr1:111390392-111390394	chr3:46065962-46065964
chr2	233208916	233208918	14:52861494-52861496	0	.	C57B6J	chr2:233208916-233208918	chr3:46065962-46065964
chr3	46065962	46065964	14:52861494-52861496	0	.	C57B6J	chr3:46065962-46065964	chr3:46065962-46065964
chr4	69045612	69045614	14:52861494-52861496	0	.	C57B6J	chr4:69045612-69045614	chr3:46065962-46065964
chr8	108996490	108996492	14:52861494-52861496	0	.	C57B6J	chr8:108996490-108996492	chr3:46065962-46065964
chr10	5819112	5819114	14:52861494-52861496	0	.	C57B6J	chr10:5819112-5819114	chr3:46065962-46065964
chr10	64914275	64914277	14:52861494-52861496	0	.	C57B6J	chr10:64914275-64914277	chr3:46065962-46065964
chr18	33422879	33422881	14:52861494-52861496	0	.	C57B6J	chr18:33422879-33422881	chr3:46065962-46065964
chr1	111390392	111390394	14:53172454-53172456	0	.	C57B6J	chr1:111390392-111390394	chr3:46065962-46065964
chr2	233208916	233208918	14:53172454-53172456	0	.	C57B6J	chr2:233208916-233208918	chr3:46065962-46065964
chr3	46065962	46065964	14:53172454-53172456	0	.	C57B6J	chr3:46065962-46065964	chr3:46065962-46065964
chr4	69045612	69045614	14:53172454-53172456	0	.	C57B6J	chr4:69045612-69045614	chr3:46065962-46065964
chr8	108996490	108996492	14:53172454-53172456	0	.	C57B6J	chr8:108996490-108996492	chr3:46065962-46065964
chr10	5819112	5819114	14:53172454-53172456	0	.	C57B6J	chr10:5819112-5819114	chr3:46065962-46065964
chr10	64914275	64914277	14:53172454-53172456	0	.	C57B6J	chr10:64914275-64914277	chr3:46065962-46065964
chr18	33422879	33422881	14:53172454-53172456	0	.	C57B6J	chr18:33422879-33422881	chr3:46065962-46065964
