gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_eur_leave_ukbb_23andme,1:60832589,chr1:61298260-61298262,0.11004
C2_ALL_eur_leave_ukbb_23andme,1:60832798,chr1:61298469-61298471,0.10916
C2_ALL_eur_leave_ukbb_23andme,2:7961462,chr2:8101592-8101594,0.056976
C2_ALL_eur_leave_ukbb_23andme,2:168114629,chr2:168971138-168971140,0.05547
C2_ALL_eur_leave_ukbb_23andme,2:168123059,chr2:168979568-168979570,0.055807
C2_ALL_eur_leave_ukbb_23andme,2:168124033,chr2:168980542-168980544,0.056222
C2_ALL_eur_leave_ukbb_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_eur_leave_ukbb_23andme,3:45773677,chr3:45815168-45815170,0.35874
C2_ALL_eur_leave_ukbb_23andme,3:45796394,chr3:45837885-45837887,0.13764
C2_ALL_eur_leave_ukbb_23andme,3:45800446,chr3:45841937-45841939,-0.44024
C2_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
C2_ALL_eur_leave_ukbb_23andme,3:45825948,chr3:45867439-45867441,-0.62287
C2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
C2_ALL_eur_leave_ukbb_23andme,3:45838989,chr3:45880480-45880482,0.62496
C2_ALL_eur_leave_ukbb_23andme,3:45858159,chr3:45899650-45899652,0.63022
C2_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
C2_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
C2_ALL_eur_leave_ukbb_23andme,3:45861003,chr3:45902494-45902496,0.099882
C2_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,0.51684
C2_ALL_eur_leave_ukbb_23andme,3:45876723,chr3:45918214-45918216,0.3783
C2_ALL_eur_leave_ukbb_23andme,3:45887277,chr3:45928768-45928770,0.3785
C2_ALL_eur_leave_ukbb_23andme,3:45918928,chr3:45960419-45960421,0.4273
C2_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
C2_ALL_eur_leave_ukbb_23andme,3:45921111,chr3:45962602-45962604,-0.4299
C2_ALL_eur_leave_ukbb_23andme,3:45926551,chr3:45968042-45968044,0.42291
C2_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,0.42484
C2_ALL_eur_leave_ukbb_23andme,3:45932600,chr3:45974091-45974093,0.42473
C2_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_eur_leave_ukbb_23andme,3:45955771,chr3:45997262-45997264,-0.41482
C2_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_eur_leave_ukbb_23andme,3:45959378,chr3:46000869-46000871,0.42089
C2_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,0.41428
C2_ALL_eur_leave_ukbb_23andme,3:45959875,chr3:46001366-46001368,0.42091
C2_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,-0.42081
C2_ALL_eur_leave_ukbb_23andme,3:45962045,chr3:46003536-46003538,-0.41411
C2_ALL_eur_leave_ukbb_23andme,3:45964777,chr3:46006268-46006270,0.41619
C2_ALL_eur_leave_ukbb_23andme,3:45964849,chr3:46006340-46006342,0.41822
C2_ALL_eur_leave_ukbb_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_eur_leave_ukbb_23andme,3:45966331,chr3:46007822-46007824,0.43078
C2_ALL_eur_leave_ukbb_23andme,3:45966333,chr3:46007824-46007826,-0.41711
C2_ALL_eur_leave_ukbb_23andme,3:45966595,chr3:46008086-46008088,-0.42407
C2_ALL_eur_leave_ukbb_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_eur_leave_ukbb_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_eur_leave_ukbb_23andme,3:45969944,chr3:46011435-46011437,-0.41925
C2_ALL_eur_leave_ukbb_23andme,3:45970787,chr3:46012278-46012280,-0.4226
C2_ALL_eur_leave_ukbb_23andme,3:45972340,chr3:46013831-46013833,0.42286
C2_ALL_eur_leave_ukbb_23andme,3:45976852,chr3:46018343-46018345,0.42401
C2_ALL_eur_leave_ukbb_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_eur_leave_ukbb_23andme,3:45983037,chr3:46024528-46024530,0.4215
C2_ALL_eur_leave_ukbb_23andme,3:45993605,chr3:46035096-46035098,0.42141
C2_ALL_eur_leave_ukbb_23andme,3:46016375,chr3:46057866-46057868,0.39527
C2_ALL_eur_leave_ukbb_23andme,3:46017416,chr3:46058907-46058909,0.40476
C2_ALL_eur_leave_ukbb_23andme,3:46017757,chr3:46059248-46059250,-0.40481
C2_ALL_eur_leave_ukbb_23andme,3:46017992,chr3:46059483-46059485,-0.39555
C2_ALL_eur_leave_ukbb_23andme,3:46019726,chr3:46061217-46061219,0.40676
C2_ALL_eur_leave_ukbb_23andme,3:46019812,chr3:46061303-46061305,-0.39568
C2_ALL_eur_leave_ukbb_23andme,3:46021837,chr3:46063328-46063330,-0.39705
C2_ALL_eur_leave_ukbb_23andme,3:46026015,chr3:46067506-46067508,0.40662
C2_ALL_eur_leave_ukbb_23andme,3:46066006,chr3:46107497-46107499,0.41085
C2_ALL_eur_leave_ukbb_23andme,3:46066109,chr3:46107600-46107602,0.40808
C2_ALL_eur_leave_ukbb_23andme,3:46066908,chr3:46108399-46108401,-0.38261
C2_ALL_eur_leave_ukbb_23andme,3:46089733,chr3:46131224-46131226,0.4024
C2_ALL_eur_leave_ukbb_23andme,3:46096615,chr3:46138106-46138108,0.40367
C2_ALL_eur_leave_ukbb_23andme,3:46100352,chr3:46141843-46141845,0.38445
C2_ALL_eur_leave_ukbb_23andme,3:46100972,chr3:46142463-46142465,-0.4032
C2_ALL_eur_leave_ukbb_23andme,3:46319876,chr3:46361366-46361368,-0.095861
C2_ALL_eur_leave_ukbb_23andme,3:69612258,chr3:69661408-69661410,-0.054324
C2_ALL_eur_leave_ukbb_23andme,3:101575728,chr3:101294571-101294573,-0.064174
C2_ALL_eur_leave_ukbb_23andme,3:101587663,chr3:101306506-101306508,-0.066513
C2_ALL_eur_leave_ukbb_23andme,3:101653078,chr3:101371921-101371923,0.060176
C2_ALL_eur_leave_ukbb_23andme,3:101655382,chr3:101374225-101374227,-0.060298
C2_ALL_eur_leave_ukbb_23andme,3:101659632,chr3:101378475-101378477,-0.059701
C2_ALL_eur_leave_ukbb_23andme,3:101664477,chr3:101383320-101383322,-0.059996
C2_ALL_eur_leave_ukbb_23andme,3:101664718,chr3:101383561-101383563,0.059737
C2_ALL_eur_leave_ukbb_23andme,3:101668074,chr3:101386917-101386919,0.059774
C2_ALL_eur_leave_ukbb_23andme,3:101673426,chr3:101392269-101392271,-0.060246
C2_ALL_eur_leave_ukbb_23andme,3:101674739,chr3:101393582-101393584,0.059952
C2_ALL_eur_leave_ukbb_23andme,3:101677685,chr3:101396528-101396530,0.05957
C2_ALL_eur_leave_ukbb_23andme,3:101678128,chr3:101396971-101396973,-0.060031
C2_ALL_eur_leave_ukbb_23andme,3:101679033,chr3:101397876-101397878,-0.059953
C2_ALL_eur_leave_ukbb_23andme,3:101680282,chr3:101399125-101399127,0.06
C2_ALL_eur_leave_ukbb_23andme,3:101680416,chr3:101399259-101399261,-0.059658
C2_ALL_eur_leave_ukbb_23andme,3:101683151,chr3:101401994-101401996,0.059116
C2_ALL_eur_leave_ukbb_23andme,3:101726282,chr3:101445125-101445127,0.06022
C2_ALL_eur_leave_ukbb_23andme,3:101761312,chr3:101480155-101480157,-0.059607
C2_ALL_eur_leave_ukbb_23andme,3:101768076,chr3:101486919-101486921,-0.06095
C2_ALL_eur_leave_ukbb_23andme,3:101784921,chr3:101503764-101503766,-0.059322
C2_ALL_eur_leave_ukbb_23andme,3:101785973,chr3:101504816-101504818,0.060104
C2_ALL_eur_leave_ukbb_23andme,3:101803083,chr3:101521926-101521928,-0.0631
C2_ALL_eur_leave_ukbb_23andme,3:101813391,chr3:101532234-101532236,-0.060246
C2_ALL_eur_leave_ukbb_23andme,3:101813604,chr3:101532447-101532449,-0.060084
C2_ALL_eur_leave_ukbb_23andme,5:116814508,chr5:116150203-116150205,-0.14064
C2_ALL_eur_leave_ukbb_23andme,7:89050426,chr7:88679739-88679741,0.054961
C2_ALL_eur_leave_ukbb_23andme,9:1686322,chr9:1686321-1686323,0.055749
C2_ALL_eur_leave_ukbb_23andme,9:133317963,chr9:136184797-136184799,0.098951
C2_ALL_eur_leave_ukbb_23andme,10:58774228,chr10:60533987-60533989,0.23422
C2_ALL_eur_leave_ukbb_23andme,12:112919388,chr12:113357192-113357194,0.19319
C2_ALL_eur_leave_ukbb_23andme,12:112919404,chr12:113357208-113357210,0.18656
C2_ALL_eur_leave_ukbb_23andme,12:112923312,chr12:113361116-113361118,0.18706
C2_ALL_eur_leave_ukbb_23andme,12:112923369,chr12:113361173-113361175,0.17842
C2_ALL_eur_leave_ukbb_23andme,12:112923432,chr12:113361236-113361238,-0.1743
C2_ALL_eur_leave_ukbb_23andme,12:112987349,chr12:113425153-113425155,-0.17204
C2_ALL_eur_leave_ukbb_23andme,12:112987688,chr12:113425492-113425494,0.16855
C2_ALL_eur_leave_ukbb_23andme,13:94227738,chr13:94879991-94879993,0.049695
C2_ALL_eur_leave_ukbb_23andme,14:28265449,chr14:28734654-28734656,-0.064902
C2_ALL_eur_leave_ukbb_23andme,15:100233816,chr15:100774020-100774022,0.27429
C2_ALL_eur_leave_ukbb_23andme,16:55939805,chr16:55973716-55973718,0.063385
C2_ALL_eur_leave_ukbb_23andme,17:5168839,chr17:5072133-5072135,0.11985
C2_ALL_eur_leave_ukbb_23andme,17:64544572,chr17:62540689-62540691,0.23037
C2_ALL_eur_leave_ukbb_23andme,17:64555324,chr17:62551441-62551443,0.24185
C2_ALL_eur_leave_ukbb_23andme,17:64615178,chr17:62611295-62611297,0.23618
C2_ALL_eur_leave_ukbb_23andme,21:32250012,chr21:33622323-33622325,-0.16924
C2_ALL_eur_leave_ukbb_23andme,21:33237639,chr21:34609943-34609945,0.17686
C2_ALL_eur_leave_ukbb_23andme,21:33239266,chr21:34611570-34611572,0.1744
C2_ALL_eur_leave_ukbb_23andme,21:33245738,chr21:34618042-34618044,0.19472
C2_ALL_eur_leave_ukbb_23andme,21:35004324,chr21:36376620-36376622,0.12646
C2_ALL_eur_leave_ukbb_23andme,21:35007825,chr21:36380121-36380123,-0.12939
