chr	start	end	hg19_loc	species	liftOver_input
9	11608606	11608607	chr11:97791458-97791460	C57B6J	9:11608606-11608607
9	11608608	11608609	chr11:97791458-97791460	C57B6J	9:11608608-11608609
9	42612515	42612516	chr11:120754722-120754724	C57B6J	9:42612515-42612516
9	42612513	42612514	chr11:120754722-120754724	C57B6J	9:42612513-42612514
1	63267279	63267281	chr14:28734654-28734656	C57B6J	1:63267279-63267281
14	44265903	44265904	chr14:28734654-28734656	C57B6J	14:44265903-44265904
14	44597526	44597527	chr14:28734654-28734656	C57B6J	14:44597526-44597527
3	144728750	144728751	chr14:28734654-28734656	C57B6J	3:144728750-144728751
7	138891584	138891585	chr14:28734654-28734656	C57B6J	7:138891584-138891585
X	13490201	13490202	chr14:28734654-28734656	C57B6J	X:13490201-13490202
11	104177070	104177071	chr17:43916355-43916357	C57B6J	11:104177070-104177071
11	104177072	104177073	chr17:43916355-43916357	C57B6J	11:104177072-104177073
1	112574870	112574872	chr2:126514240-126514242	C57B6J	1:112574870-112574872
1	117316617	117316619	chr2:126514240-126514242	C57B6J	1:117316617-117316619
9	123632204	123632206	chr3:45837885-45837887	C57B6J	9:123632204-123632206
9	123678780	123678782	chr3:45837885-45837887	C57B6J	9:123678780-123678782
10	67267185	67267187	chr3:46065962-46065964	C57B6J	10:67267185-67267187
14	52861494	52861496	chr3:46065962-46065964	C57B6J	14:52861494-52861496
14	53172454	53172456	chr3:46065962-46065964	C57B6J	14:53172454-53172456
8	9829372	9829373	chr11:97791458-97791460	Rattus	8:9829372-9829373
8	9829370	9829371	chr11:97791458-97791460	Rattus	8:9829370-9829371
8	45371634	45371635	chr11:120754722-120754724	Rattus	8:45371634-45371635
8	45371632	45371633	chr11:120754722-120754724	Rattus	8:45371632-45371633
1	218175328	218175330	chr14:28734654-28734656	Rattus	1:218175328-218175330
11	29737924	29737926	chr14:28734654-28734656	Rattus	11:29737924-29737926
2	201741046	201741048	chr14:28734654-28734656	Rattus	2:201741046-201741048
8	103161814	103161816	chr14:28734654-28734656	Rattus	8:103161814-103161816
9	9097277	9097279	chr14:28734654-28734656	Rattus	9:9097277-9097279
9	53285012	53285014	chr14:28734654-28734656	Rattus	9:53285012-53285014
9	69855086	69855088	chr14:28734654-28734656	Rattus	9:69855086-69855088
10	92008683	92008685	chr17:43923702-43923704	Rattus	10:92008683-92008685
20	1326138	1326140	chr17:43923702-43923704	Rattus	20:1326138-1326140
8	131861082	131861084	chr3:45837885-45837887	Rattus	8:131861082-131861084
8	131905690	131905692	chr3:45837885-45837887	Rattus	8:131905690-131905692
1	174905483	174905485	chr3:46065962-46065964	Rattus	1:174905483-174905485
14	10572592	10572594	chr3:46065962-46065964	Rattus	14:10572592-10572594
2	215334466	215334468	chr3:46065962-46065964	Rattus	2:215334466-215334468
20	24836700	24836702	chr3:46065962-46065964	Rattus	20:24836700-24836702
8	105622443	105622445	chr3:139485107-139485109	Rattus	8:105622443-105622445
8	105652690	105652692	chr3:139485107-139485109	Rattus	8:105652690-105652692
chr15	31975869	31975870	chr11:120754722-120754724	bosTau8	chr15:31975869-31975870
chr15	31975871	31975872	chr11:120754722-120754724	bosTau8	chr15:31975871-31975872
chr19	46336766	46336768	chr17:43773783-43773785	bosTau8	chr19:46336766-46336768
chr19	46348581	46348583	chr17:43773783-43773785	bosTau8	chr19:46348581-46348583
chr19	46425517	46425518	chr17:43854339-43854341	bosTau8	chr19:46425517-46425518
chr19	46425519	46425520	chr17:43854339-43854341	bosTau8	chr19:46425519-46425520
chr19	46484777	46484778	chr17:43913314-43913316	bosTau8	chr19:46484777-46484778
chr19	46484779	46484780	chr17:43913314-43913316	bosTau8	chr19:46484779-46484780
chr19	46551331	46551332	chr17:43997371-43997373	bosTau8	chr19:46551331-46551332
chr19	46551333	46551334	chr17:43997371-43997373	bosTau8	chr19:46551333-46551334
chr19	46634468	46634469	chr17:44088936-44088938	bosTau8	chr19:46634468-46634469
chr19	46634471	46634472	chr17:44088936-44088938	bosTau8	chr19:46634471-46634472
chr19	46697034	46697035	chr17:44162596-44162598	bosTau8	chr19:46697034-46697035
chr19	46697036	46697037	chr17:44162596-44162598	bosTau8	chr19:46697036-46697037
chr15	20607996	20607998	chr3:46065962-46065964	bosTau8	chr15:20607996-20607998
chr28	19380919	19380921	chr3:46065962-46065964	bosTau8	chr28:19380919-19380921
chr6	85610958	85610960	chr3:46065962-46065964	bosTau8	chr6:85610958-85610960
chr22	53829087	53829089	chr3:46246815-46246817	bosTau8	chr22:53829087-53829089
chr22	53854700	53854702	chr3:46246815-46246817	bosTau8	chr22:53854700-53854702
chr8	108954806	108954808	chr6:151572805-151572807	bosTau8	chr8:108954806-108954808
chr9	89454491	89454493	chr6:151572805-151572807	bosTau8	chr9:89454491-89454493
chr14	751495	751497	chr1:228412105-228412107	canFam3	chr14:751495-751497
chrUn_JH374187	10413	10415	chr1:228412105-228412107	canFam3	chrUn_JH374187:10413-10415
chr22	4930031	4930032	chr13:46864802-46864804	canFam3	chr22:4930031-4930032
chr22	4930019	4930020	chr13:46864802-46864804	canFam3	chr22:4930019-4930020
chr25	14523089	14523091	chr14:28734654-28734656	canFam3	chr25:14523089-14523091
chr28	40038353	40038355	chr14:28734654-28734656	canFam3	chr28:40038353-40038355
chr9	9823115	9823116	chr17:43790445-43790447	canFam3	chr9:9823115-9823116
chr9	9823113	9823114	chr17:43790445-43790447	canFam3	chr9:9823113-9823114
chr9	9769763	9769764	chr17:43854339-43854341	canFam3	chr9:9769763-9769764
chr9	9769761	9769762	chr17:43854339-43854341	canFam3	chr9:9769761-9769762
chr9	9631253	9631254	chr17:44018518-44018520	canFam3	chr9:9631253-9631254
chr9	9631251	9631252	chr17:44018518-44018520	canFam3	chr9:9631251-9631252
chr9	9431630	9431631	chr17:44247672-44247674	canFam3	chr9:9431630-9431631
chr9	9431628	9431629	chr17:44247672-44247674	canFam3	chr9:9431628-9431629
chr31	27861715	27861717	chr21:34602933-34602935	canFam3	chr31:27861715-27861717
chr31	28760902	28760904	chr21:34602933-34602935	canFam3	chr31:28760902-28760904
chr31	27868049	27868051	chr21:34609504-34609506	canFam3	chr31:27868049-27868051
chr31	28767235	28767237	chr21:34609504-34609506	canFam3	chr31:28767235-28767237
chr31	27872916	27872918	chr21:34617949-34617951	canFam3	chr31:27872916-27872918
chr31	28772102	28772104	chr21:34617949-34617951	canFam3	chr31:28772102-28772104
chr31	27877603	27877605	chr21:34622535-34622537	canFam3	chr31:27877603-27877605
chr31	28776789	28776791	chr21:34622535-34622537	canFam3	chr31:28776789-28776791
chr6	53368952	53368954	chr21:34622535-34622537	canFam3	chr6:53368952-53368954
chr31	28499238	28499240	chr21:35321311-35321313	canFam3	chr31:28499238-28499240
chr31	29397991	29397993	chr21:35321311-35321313	canFam3	chr31:29397991-29397993
chr31	28506712	28506714	chr21:35334565-35334567	canFam3	chr31:28506712-28506714
chr31	29405465	29405467	chr21:35334565-35334567	canFam3	chr31:29405465-29405467
chr4	14990616	14990618	chr3:46065962-46065964	canFam3	chr4:14990616-14990618
chr5	22604497	22604499	chr3:46065962-46065964	canFam3	chr5:22604497-22604499
chr18	18411220	18411221	chr7:78111332-78111334	canFam3	chr18:18411220-18411221
chr9	17398586	17398587	chr7:78111332-78111334	canFam3	chr9:17398586-17398587
chr9	18142716	18142717	chr7:78111332-78111334	canFam3	chr9:18142716-18142717
chrA1	24889698	24889699	chr13:46864802-46864804	felCat8	chrA1:24889698-24889699
chrA1	24889686	24889687	chr13:46864802-46864804	felCat8	chrA1:24889686-24889687
chrA1	4689123	4689125	chr14:28734654-28734656	felCat8	chrA1:4689123-4689125
chrD2	86724277	86724279	chr14:28734654-28734656	felCat8	chrD2:86724277-86724279
chrE1	43542381	43542383	chr17:43833920-43833922	felCat8	chrE1:43542381-43542383
chrE1_AANG03050387v1_random	1021	1023	chr17:43833920-43833922	felCat8	chrE1_AANG03050387v1_random:1021-1023
chrE1_AANG03083533v1_random	315	317	chr17:43833920-43833922	felCat8	chrE1_AANG03083533v1_random:315-317
chrE1	43562049	43562050	chr17:43854339-43854341	felCat8	chrE1:43562049-43562050
chrE1	43562051	43562052	chr17:43854339-43854341	felCat8	chrE1:43562051-43562052
chrE1	43691783	43691784	chr17:44018518-44018520	felCat8	chrE1:43691783-43691784
chrE1	43691785	43691786	chr17:44018518-44018520	felCat8	chrE1:43691785-43691786
chrC1	113249479	113249481	chr2:126514240-126514242	felCat8	chrC1:113249479-113249481
chrC1_AANG03070036v1_random	745	747	chr2:126514240-126514242	felCat8	chrC1_AANG03070036v1_random:745-747
chrC1	81942123	81942125	chr21:34622535-34622537	felCat8	chrC1:81942123-81942125
chrC2	12025948	12025950	chr21:34622535-34622537	felCat8	chrC2:12025948-12025950
chrD1	8641821	8641822	chr3:46065962-46065964	felCat8	chrD1:8641821-8641822
chrD2	24900875	24900877	chr3:46065962-46065964	felCat8	chrD2:24900875-24900877
chrA2	20648485	20648487	chr3:51936948-51936950	felCat8	chrA2:20648485-20648487
chrA2_AANG03301349v1_random	133	135	chr3:51936948-51936950	felCat8	chrA2_AANG03301349v1_random:133-135
chrA2_AANG03194472v1_random	203	205	chr3:51936948-51936950	felCat8	chrA2_AANG03194472v1_random:203-205
chrB1	34804769	34804771	chr8:23432331-23432333	felCat8	chrB1:34804769-34804771
chrB1_AANG03063070v1_random	173	175	chr8:23432331-23432333	felCat8	chrB1_AANG03063070v1_random:173-175
chrD4_KN302711v1_random	10203	10205	chr9:136136962-136136964	felCat8	chrD4_KN302711v1_random:10203-10205
chrUn_AANG03129128v1	170	172	chr9:136136962-136136964	felCat8	chrUn_AANG03129128v1:170-172
