gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_leave_23andme,1:3827562,chr1:3744125-3744127,-0.13289
C2_ALL_leave_23andme,1:3828568,chr1:3745131-3745133,-0.13273
C2_ALL_leave_23andme,1:34414156,chr1:34879756-34879758,-0.043999
C2_ALL_leave_23andme,1:71499382,chr1:71965064-71965066,-0.04517
C2_ALL_leave_23andme,1:71499823,chr1:71965505-71965507,-0.043734
C2_ALL_leave_23andme,1:71547250,chr1:72012932-72012934,-0.042579
C2_ALL_leave_23andme,1:155133406,chr1:155105881-155105883,-0.076762
C2_ALL_leave_23andme,2:239763761,chr2:240685454-240685456,0.17406
C2_ALL_leave_23andme,2:239771718,chr2:240693411-240693413,-0.16871
C2_ALL_leave_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
C2_ALL_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
C2_ALL_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
C2_ALL_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
C2_ALL_leave_23andme,3:45820440,chr3:45861931-45861933,0.62504
C2_ALL_leave_23andme,3:45825948,chr3:45867439-45867441,0.62287
C2_ALL_leave_23andme,3:45830416,chr3:45871907-45871909,-0.62413
C2_ALL_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
C2_ALL_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
C2_ALL_leave_23andme,3:45861003,chr3:45902494-45902496,-0.099882
C2_ALL_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
C2_ALL_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
C2_ALL_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
C2_ALL_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
C2_ALL_leave_23andme,3:45905526,chr3:45947017-45947019,-0.36647
C2_ALL_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
C2_ALL_leave_23andme,3:45928899,chr3:45970390-45970392,-0.42484
C2_ALL_leave_23andme,3:45929452,chr3:45970943-45970945,0.35193
C2_ALL_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
C2_ALL_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_leave_23andme,3:45947552,chr3:45989043-45989045,-0.1249
C2_ALL_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_leave_23andme,3:45952153,chr3:45993644-45993646,0.42104
C2_ALL_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
C2_ALL_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_leave_23andme,3:45959236,chr3:46000727-46000729,-0.42083
C2_ALL_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
C2_ALL_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
C2_ALL_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
C2_ALL_leave_23andme,3:45960513,chr3:46002004-46002006,-0.1191
C2_ALL_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
C2_ALL_leave_23andme,3:45962045,chr3:46003536-46003538,-0.41411
C2_ALL_leave_23andme,3:45964777,chr3:46006268-46006270,0.41619
C2_ALL_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
C2_ALL_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_leave_23andme,3:45966333,chr3:46007824-46007826,0.41711
C2_ALL_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
C2_ALL_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
C2_ALL_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
C2_ALL_leave_23andme,3:45976785,chr3:46018276-46018278,-0.10979
C2_ALL_leave_23andme,3:45976852,chr3:46018343-46018345,0.42401
C2_ALL_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_leave_23andme,3:45983037,chr3:46024528-46024530,0.4215
C2_ALL_leave_23andme,3:45983556,chr3:46025047-46025049,0.42196
C2_ALL_leave_23andme,3:45995029,chr3:46036520-46036522,0.3453
C2_ALL_leave_23andme,3:46016375,chr3:46057866-46057868,-0.39527
C2_ALL_leave_23andme,3:46017416,chr3:46058907-46058909,0.40476
C2_ALL_leave_23andme,3:46017757,chr3:46059248-46059250,-0.40481
C2_ALL_leave_23andme,3:46017992,chr3:46059483-46059485,-0.39555
C2_ALL_leave_23andme,3:46021837,chr3:46063328-46063330,-0.39705
C2_ALL_leave_23andme,3:46026015,chr3:46067506-46067508,0.40662
C2_ALL_leave_23andme,3:46027343,chr3:46068834-46068836,0.40651
C2_ALL_leave_23andme,3:46059974,chr3:46101465-46101467,0.40903
C2_ALL_leave_23andme,3:46066006,chr3:46107497-46107499,0.41085
C2_ALL_leave_23andme,3:46066793,chr3:46108284-46108286,-0.38257
C2_ALL_leave_23andme,3:46066908,chr3:46108399-46108401,-0.38261
C2_ALL_leave_23andme,3:46075604,chr3:46117095-46117097,0.40471
C2_ALL_leave_23andme,3:46076468,chr3:46117959-46117961,0.40488
C2_ALL_leave_23andme,3:46089733,chr3:46131224-46131226,0.4024
C2_ALL_leave_23andme,3:46094946,chr3:46136437-46136439,-0.33045
C2_ALL_leave_23andme,3:46096615,chr3:46138106-46138108,-0.40367
C2_ALL_leave_23andme,3:46098581,chr3:46140072-46140074,0.4036
C2_ALL_leave_23andme,3:46100352,chr3:46141843-46141845,0.38445
C2_ALL_leave_23andme,3:46100972,chr3:46142463-46142465,-0.4032
C2_ALL_leave_23andme,3:46101695,chr3:46143186-46143188,0.3286
