gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_eur_leave_23andme,1:65114890,chr1:65580572-65580574,-0.059126
C2_ALL_eur_leave_23andme,1:66525663,chr1:66991345-66991347,0.050908
C2_ALL_eur_leave_23andme,1:66548487,chr1:67014169-67014171,0.058557
C2_ALL_eur_leave_23andme,1:154837540,chr1:154810015-154810017,0.047519
C2_ALL_eur_leave_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_eur_leave_23andme,3:45773677,chr3:45815168-45815170,0.35874
C2_ALL_eur_leave_23andme,3:45796808,chr3:45838299-45838301,-0.1369
C2_ALL_eur_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
C2_ALL_eur_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
C2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,-0.62413
C2_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
C2_ALL_eur_leave_23andme,3:45861003,chr3:45902494-45902496,-0.099882
C2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
C2_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,0.33215
C2_ALL_eur_leave_23andme,3:45941984,chr3:45983475-45983477,0.42145
C2_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_eur_leave_23andme,3:45959378,chr3:46000869-46000871,-0.42089
C2_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
C2_ALL_eur_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
C2_ALL_eur_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
C2_ALL_eur_leave_23andme,3:45964747,chr3:46006238-46006240,-0.41669
C2_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,-0.41619
C2_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
C2_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,-0.42407
C2_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_eur_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
C2_ALL_eur_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
C2_ALL_eur_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
C2_ALL_eur_leave_23andme,3:45973053,chr3:46014544-46014546,0.4236
C2_ALL_eur_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
