gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_leave_23andme,1:34721457,chr1:35187057-35187059,-0.20267
A2_ALL_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_leave_23andme,1:155203736,chr1:155173526-155173528,0.20379
A2_ALL_leave_23andme,1:188515609,chr1:188484739-188484741,0.51349
A2_ALL_leave_23andme,1:188532616,chr1:188501746-188501748,0.528
A2_ALL_leave_23andme,1:188569306,chr1:188538436-188538438,0.51393
A2_ALL_leave_23andme,1:213945999,chr1:214119341-214119343,0.27519
A2_ALL_leave_23andme,1:213950025,chr1:214123367-214123369,-0.27323
A2_ALL_leave_23andme,1:237113798,chr1:237277097-237277099,0.31659
A2_ALL_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_leave_23andme,2:143416726,chr2:144174294-144174296,0.21604
A2_ALL_leave_23andme,3:45756734,chr3:45798225-45798227,0.35365
A2_ALL_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
A2_ALL_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
A2_ALL_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
A2_ALL_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
A2_ALL_leave_23andme,3:45805749,chr3:45847240-45847242,0.34211
A2_ALL_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
A2_ALL_leave_23andme,3:45820440,chr3:45861931-45861933,-0.62504
A2_ALL_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
A2_ALL_leave_23andme,3:45858159,chr3:45899650-45899652,0.63022
A2_ALL_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
A2_ALL_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
A2_ALL_leave_23andme,3:45864292,chr3:45905783-45905785,0.15352
A2_ALL_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
A2_ALL_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_leave_23andme,3:45869378,chr3:45910869-45910871,0.25148
A2_ALL_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
