gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_23andme,1:239752715,chr1:239916014-239916016,0.23248
B1_ALL_eur_leave_23andme,1:239756478,chr1:239919777-239919779,0.23266
B1_ALL_eur_leave_23andme,2:119227157,chr2:119984732-119984734,0.14302
B1_ALL_eur_leave_23andme,2:119229661,chr2:119987236-119987238,-0.13882
B1_ALL_eur_leave_23andme,2:119229711,chr2:119987286-119987288,-0.13862
B1_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,-0.44024
B1_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_23andme,3:45818159,chr3:45859650-45859652,-0.62367
B1_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,-0.62413
B1_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
B1_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
B1_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,-0.51684
B1_ALL_eur_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
B1_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
B1_ALL_eur_leave_23andme,3:45897524,chr3:45939015-45939017,0.36834
B1_ALL_eur_leave_23andme,3:45898310,chr3:45939801-45939803,0.36831
B1_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
B1_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,-0.42484
B1_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
B1_ALL_eur_leave_23andme,3:45939679,chr3:45981170-45981172,0.42145
B1_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
B1_ALL_eur_leave_23andme,3:45952153,chr3:45993644-45993646,0.42104
B1_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,-0.42083
B1_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
B1_ALL_eur_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
B1_ALL_eur_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
B1_ALL_eur_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
B1_ALL_eur_leave_23andme,3:45962045,chr3:46003536-46003538,0.41411
B1_ALL_eur_leave_23andme,3:45964747,chr3:46006238-46006240,-0.41669
B1_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,0.41619
B1_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
B1_ALL_eur_leave_23andme,3:45966331,chr3:46007822-46007824,0.43078
B1_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,0.41711
B1_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
B1_ALL_eur_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
B1_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B1_ALL_eur_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
B1_ALL_eur_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
