species	species_loc	hg19_loc_original	hg19_loc	nh/h_ratio
C57B6J	9:11608606-11608607	chr11:97791458-97791460	chr11:97791458-97791459	1.0
C57B6J	9:11608608-11608609	chr11:97791458-97791460	chr11:97791459-97791460	1.0
C57B6J	9:42612515-42612516	chr11:120754722-120754724	chr11:120754722-120754723	1.0
C57B6J	9:42612513-42612514	chr11:120754722-120754724	chr11:120754723-120754724	1.0
C57B6J	1:63267279-63267281	chr14:28734654-28734656	chr10:133781713-133781715	1.5
C57B6J	1:63267279-63267281	chr14:28734654-28734656	chr14:28734654-28734656	1.5
C57B6J	14:44265903-44265904	chr14:28734654-28734656	chr10:133781713-133781714	1.5
C57B6J	14:44265903-44265904	chr14:28734654-28734656	chr14:28734655-28734656	1.5
C57B6J	14:44597526-44597527	chr14:28734654-28734656	chr10:133781713-133781714	1.5
C57B6J	14:44597526-44597527	chr14:28734654-28734656	chr14:28734655-28734656	1.5
C57B6J	3:144728750-144728751	chr14:28734654-28734656	chr10:133781713-133781714	1.5
C57B6J	3:144728750-144728751	chr14:28734654-28734656	chr14:28734655-28734656	1.5
C57B6J	7:138891584-138891585	chr14:28734654-28734656	chr10:133781713-133781714	1.5
C57B6J	7:138891584-138891585	chr14:28734654-28734656	chr14:28734655-28734656	1.5
C57B6J	X:13490201-13490202	chr14:28734654-28734656	chr10:133781713-133781714	1.5
C57B6J	X:13490201-13490202	chr14:28734654-28734656	chr14:28734655-28734656	1.5
C57B6J	11:104177070-104177071	chr17:43916355-43916357	chr17:43916355-43916356	0.5
C57B6J	11:104177070-104177071	chr17:43916355-43916357	chr17_ctg5_hap1:951168-951169	0.5
C57B6J	11:104177072-104177073	chr17:43916355-43916357	chr17:43916356-43916357	0.5
C57B6J	11:104177072-104177073	chr17:43916355-43916357	chr17_ctg5_hap1:951167-951168	0.5
C57B6J	1:112574870-112574872	chr2:126514240-126514242	chr2:126514240-126514242	2.0
C57B6J	1:117316617-117316619	chr2:126514240-126514242	chr2:126514240-126514242	2.0
C57B6J	9:123632204-123632206	chr3:45837885-45837887	chr3:45837885-45837887	2.0
C57B6J	9:123678780-123678782	chr3:45837885-45837887	chr3:45837885-45837887	2.0
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr1:111390392-111390394	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr2:233208916-233208918	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr3:46065962-46065964	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr4:69045612-69045614	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr8:108996490-108996492	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr10:5819112-5819114	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr10:64914275-64914277	0.375
C57B6J	10:67267185-67267187	chr3:46065962-46065964	chr18:33422879-33422881	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr1:111390392-111390394	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr2:233208916-233208918	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr3:46065962-46065964	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr4:69045612-69045614	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr8:108996490-108996492	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr10:5819112-5819114	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr10:64914275-64914277	0.375
C57B6J	14:52861494-52861496	chr3:46065962-46065964	chr18:33422879-33422881	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr1:111390392-111390394	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr2:233208916-233208918	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr3:46065962-46065964	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr4:69045612-69045614	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr8:108996490-108996492	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr10:5819112-5819114	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr10:64914275-64914277	0.375
C57B6J	14:53172454-53172456	chr3:46065962-46065964	chr18:33422879-33422881	0.375
C57B6J	3:89273137-89273138	chr1:155105881-155105883	chr1:155105881-155105882	1.0
C57B6J	3:89273104-89273105	chr1:155105881-155105883	chr1:155105882-155105883	1.0
C57B6J	5:34417295-34417297	chr11:88082519-88082521	chr11:88082519-88082521	2.0
C57B6J	7:88270393-88270395	chr11:88082519-88082521	chr11:88082519-88082521	2.0
C57B6J	8:93738330-93738332	chr16:56148564-56148566	chr16:56148564-56148566	2.0
C57B6J	8:93738762-93738764	chr16:56148564-56148566	chr16:56148564-56148566	2.0
C57B6J	11:104086757-104086759	chr17:43811672-43811674	chr17:43811672-43811674	0.5
C57B6J	11:104086757-104086759	chr17:43811672-43811674	chr17_ctg5_hap1:1055782-1055784	0.5
C57B6J	16:52006055-52006056	chr17:43811672-43811674	chr17:43811672-43811673	0.5
C57B6J	16:52006055-52006056	chr17:43811672-43811674	chr17_ctg5_hap1:1055783-1055784	0.5
C57B6J	11:104335271-104335272	chr17:44109187-44109189	chr17:44109187-44109188	0.5
C57B6J	11:104335271-104335272	chr17:44109187-44109189	chr17_ctg5_hap1:758788-758789	0.5
