gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_ukbb_23andme,2:49583292,chr2:49810429-49810431,-0.63292
B1_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_ukbb_23andme,3:45802706,chr3:45844197-45844199,0.47702
B1_ALL_eur_leave_ukbb_23andme,3:45804256,chr3:45845747-45845749,-0.33764
B1_ALL_eur_leave_ukbb_23andme,3:45807268,chr3:45848759-45848761,0.48255
B1_ALL_eur_leave_ukbb_23andme,3:45818159,chr3:45859650-45859652,0.62367
B1_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
B1_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,0.51684
B1_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
B1_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,0.42484
B1_ALL_eur_leave_ukbb_23andme,3:45939679,chr3:45981170-45981172,0.42145
B1_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_eur_leave_ukbb_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
B1_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
B1_ALL_eur_leave_ukbb_23andme,3:45959378,chr3:46000869-46000871,0.42089
B1_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,-0.41428
B1_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,0.42081
B1_ALL_eur_leave_ukbb_23andme,3:45964747,chr3:46006238-46006240,-0.41669
B1_ALL_eur_leave_ukbb_23andme,3:45965996,chr3:46007487-46007489,-0.41666
B1_ALL_eur_leave_ukbb_23andme,3:45966333,chr3:46007824-46007826,-0.41711
B1_ALL_eur_leave_ukbb_23andme,3:45966595,chr3:46008086-46008088,-0.42407
B1_ALL_eur_leave_ukbb_23andme,3:45967995,chr3:46009486-46009488,0.42133
B1_ALL_eur_leave_ukbb_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B1_ALL_eur_leave_ukbb_23andme,3:45970787,chr3:46012278-46012280,0.4226
B1_ALL_eur_leave_ukbb_23andme,3:45973053,chr3:46014544-46014546,0.4236
B1_ALL_eur_leave_ukbb_23andme,3:45981341,chr3:46022832-46022834,0.4214
B1_ALL_eur_leave_ukbb_23andme,3:45993605,chr3:46035096-46035098,0.42141
B1_ALL_eur_leave_ukbb_23andme,3:46019812,chr3:46061303-46061305,0.39568
B1_ALL_eur_leave_ukbb_23andme,3:46020348,chr3:46061839-46061841,0.3189
B1_ALL_eur_leave_ukbb_23andme,3:46021837,chr3:46063328-46063330,-0.39705
B1_ALL_eur_leave_ukbb_23andme,3:46024471,chr3:46065962-46065964,0.39579
B1_ALL_eur_leave_ukbb_23andme,3:46026015,chr3:46067506-46067508,0.40662
B1_ALL_eur_leave_ukbb_23andme,3:46066793,chr3:46108284-46108286,-0.38257
B1_ALL_eur_leave_ukbb_23andme,3:46076468,chr3:46117959-46117961,0.40488
B1_ALL_eur_leave_ukbb_23andme,3:46096615,chr3:46138106-46138108,0.40367
B1_ALL_eur_leave_ukbb_23andme,3:46098581,chr3:46140072-46140074,0.4036
B1_ALL_eur_leave_ukbb_23andme,3:65741937,chr3:65727611-65727613,0.22028
B1_ALL_eur_leave_ukbb_23andme,5:122300151,chr5:121635845-121635847,0.74489
B1_ALL_eur_leave_ukbb_23andme,10:7119216,chr10:7161177-7161179,-0.28568
B1_ALL_eur_leave_ukbb_23andme,10:75658852,chr10:77418609-77418611,0.35462
B1_ALL_eur_leave_ukbb_23andme,12:546541,chr12:655706-655708,-0.25427
B1_ALL_eur_leave_ukbb_23andme,13:27998211,chr13:28572347-28572349,0.2561
B1_ALL_eur_leave_ukbb_23andme,15:63104839,chr15:63397037-63397039,-0.24691
B1_ALL_eur_leave_ukbb_23andme,16:3097673,chr16:3147673-3147675,0.2774
B1_ALL_eur_leave_ukbb_23andme,16:3111651,chr16:3161651-3161653,-0.1976
B1_ALL_eur_leave_ukbb_23andme,16:3111695,chr16:3161695-3161697,0.20027
B1_ALL_eur_leave_ukbb_23andme,16:3113137,chr16:3163137-3163139,0.24456
B1_ALL_eur_leave_ukbb_23andme,16:83171013,chr16:83204617-83204619,0.57928
