gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_eur_leave_23andme,1:9630418,chr1:9690475-9690477,0.21065
A2_ALL_eur_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_eur_leave_23andme,1:155203736,chr1:155173526-155173528,-0.20379
A2_ALL_eur_leave_23andme,1:213937904,chr1:214111246-214111248,0.2767
A2_ALL_eur_leave_23andme,1:213945999,chr1:214119341-214119343,0.27519
A2_ALL_eur_leave_23andme,1:213950025,chr1:214123367-214123369,0.27323
A2_ALL_eur_leave_23andme,1:237113798,chr1:237277097-237277099,0.31659
A2_ALL_eur_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_eur_leave_23andme,1:237114217,chr1:237277516-237277518,-0.29234
A2_ALL_eur_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_eur_leave_23andme,2:125704988,chr2:126462564-126462566,0.16891
A2_ALL_eur_leave_23andme,2:125707463,chr2:126465039-126465041,-0.16783
A2_ALL_eur_leave_23andme,2:125708831,chr2:126466407-126466409,-0.16693
A2_ALL_eur_leave_23andme,2:125713008,chr2:126470584-126470586,-0.16272
A2_ALL_eur_leave_23andme,2:125718666,chr2:126476242-126476244,-0.16935
A2_ALL_eur_leave_23andme,2:125744464,chr2:126502040-126502042,0.14913
A2_ALL_eur_leave_23andme,2:125746146,chr2:126503722-126503724,-0.14766
A2_ALL_eur_leave_23andme,2:125746983,chr2:126504559-126504561,-0.14778
A2_ALL_eur_leave_23andme,2:125751323,chr2:126508899-126508901,-0.14746
A2_ALL_eur_leave_23andme,2:125751735,chr2:126509311-126509313,0.14694
A2_ALL_eur_leave_23andme,2:125753981,chr2:126511557-126511559,-0.14721
A2_ALL_eur_leave_23andme,2:125754609,chr2:126512185-126512187,0.14715
A2_ALL_eur_leave_23andme,2:125754853,chr2:126512429-126512431,0.15013
A2_ALL_eur_leave_23andme,2:125755625,chr2:126513201-126513203,-0.14707
A2_ALL_eur_leave_23andme,2:125756213,chr2:126513789-126513791,0.14791
A2_ALL_eur_leave_23andme,2:125756664,chr2:126514240-126514242,-0.14775
A2_ALL_eur_leave_23andme,2:125787318,chr2:126544894-126544896,0.15045
A2_ALL_eur_leave_23andme,2:125803252,chr2:126560828-126560830,-0.15037
A2_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
A2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
A2_ALL_eur_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
A2_ALL_eur_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
A2_ALL_eur_leave_23andme,3:45820440,chr3:45861931-45861933,0.62504
A2_ALL_eur_leave_23andme,3:45825948,chr3:45867439-45867441,0.62287
A2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,-0.62413
A2_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
A2_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
A2_ALL_eur_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
A2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_eur_leave_23andme,3:45869378,chr3:45910869-45910871,0.25148
A2_ALL_eur_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
A2_ALL_eur_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
A2_ALL_eur_leave_23andme,3:45903795,chr3:45945286-45945288,-0.18782
A2_ALL_eur_leave_23andme,3:45905526,chr3:45947017-45947019,-0.36647
A2_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
A2_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,-0.42484
A2_ALL_eur_leave_23andme,3:45929452,chr3:45970943-45970945,0.35193
A2_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
A2_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
A2_ALL_eur_leave_23andme,3:45947552,chr3:45989043-45989045,-0.1249
A2_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
A2_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
A2_ALL_eur_leave_23andme,3:45952153,chr3:45993644-45993646,0.42104
A2_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
A2_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
A2_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,-0.42083
A2_ALL_eur_leave_23andme,3:45959571,chr3:46001062-46001064,-0.11864
A2_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
A2_ALL_eur_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
A2_ALL_eur_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
A2_ALL_eur_leave_23andme,3:45960513,chr3:46002004-46002006,-0.1191
A2_ALL_eur_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
A2_ALL_eur_leave_23andme,3:45962045,chr3:46003536-46003538,-0.41411
A2_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,0.41619
A2_ALL_eur_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
A2_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
A2_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,0.41711
A2_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
