hg19_pos,IMPACT,COUNT
chr9:136199497-136199499,LOW,16.0
chr1:152186442-152186444,LOW,4.0
chr11:10821308-10821310,LOW,16.0
chr12:52309132-52309134,LOW,16.0
chr6:46675900-46675902,LOW,13.0
chr2:228754581-228754583,MODERATE,16.0
chr2:113080369-113080371,MODERATE,16.0
chr8:99101891-99101893,MODERATE,15.0
chr4:68810244-68810246,MODERATE,16.0
chr14:73719422-73719424,MODERATE,16.0
chr2:182806302-182806304,MODIFIER,15.0
chr22:30526794-30526796,MODIFIER,5.0
chr14:66542727-66542729,MODIFIER,5.0
chr4:3131533-3131535,MODIFIER,5.0
chr6:165858134-165858136,MODIFIER,15.0
chr9:115128323-115128325,MODIFIER,2.0
chr7:602520-602522,MODIFIER,5.0
chr2:52655018-52655020,MODIFIER,4.0
chr14:43240619-43240621,MODIFIER,13.0
chr1:115991789-115991791,MODIFIER,9.0
chr3:26469954-26469956,MODIFIER,11.0
chr4:169784731-169784733,MODIFIER,11.0
chr15:57496309-57496311,MODIFIER,5.0
chr17:7865260-7865262,MODIFIER,5.0
chr2:192947534-192947536,MODIFIER,15.0
chr5:143113904-143113906,MODIFIER,12.0
chr4:45303572-45303574,MODIFIER,4.0
chr11:96930487-96930489,MODIFIER,5.0
chr5:124881671-124881673,MODIFIER,5.0
chr19:55499963-55499965,MODIFIER,4.0
chr15:52409773-52409775,MODIFIER,5.0
chr4:5169720-5169722,MODIFIER,15.0
chr18:60898487-60898489,MODIFIER,4.0
chr22:46494545-46494547,MODIFIER,3.0
chr1:67351674-67351676,MODIFIER,5.0
chr3:178169499-178169501,MODIFIER,16.0
chrX:114727844-114727846,MODIFIER,13.0
chr9:24999084-24999086,MODIFIER,11.0
chr11:48355363-48355365,MODIFIER,10.0
chr15:67318353-67318355,MODIFIER,16.0
chr18:12426619-12426621,MODIFIER,5.0
chr16:89474356-89474358,MODIFIER,5.0
chr1:80897903-80897905,MODIFIER,5.0
chr8:41939587-41939589,MODIFIER,4.0
chr7:109155715-109155717,MODIFIER,12.0
chr1:23542542-23542544,MODIFIER,15.0
chr4:124334792-124334794,MODIFIER,15.0
chr14:32670964-32670966,MODIFIER,16.0
chr18:62080376-62080378,MODIFIER,5.0
chr6:31163200-31163202,MODIFIER,3.0
chr3:180307249-180307251,MODIFIER,10.0
chr6:121039869-121039871,MODIFIER,9.0
chr2:207889880-207889882,MODIFIER,5.0
chr19:18126602-18126604,MODIFIER,11.0
chr8:42382641-42382643,MODIFIER,1.0
chr16:4157783-4157785,MODIFIER,11.0
chr3:156639619-156639621,MODIFIER,11.0
chr13:51701196-51701198,MODIFIER,5.0
chr11:130391380-130391382,MODIFIER,14.0
chr18:38685987-38685989,MODIFIER,10.0
chr3:143957479-143957481,MODIFIER,1.0
chr21:15595580-15595582,MODIFIER,12.0
chr10:72049259-72049261,MODIFIER,8.0
chr15:77116293-77116295,MODIFIER,16.0
chrX:42074971-42074973,MODIFIER,16.0
chr4:58182469-58182471,MODIFIER,15.0
chr4:99456588-99456590,MODIFIER,5.0
chr1:230071256-230071258,MODIFIER,5.0
chr8:19036541-19036543,MODIFIER,5.0
chr8:14489690-14489692,MODIFIER,5.0
chr7:138216084-138216086,MODIFIER,2.0
chr7:63374273-63374275,MODIFIER,5.0
chr9:8901789-8901791,MODIFIER,13.0
chr22:24422277-24422279,MODIFIER,5.0
chr9:12355378-12355380,MODIFIER,11.0
chr17:72596879-72596881,MODIFIER,11.0
chr8:18698184-18698186,MODIFIER,16.0
chr8:3268035-3268037,MODIFIER,5.0
chr4:145520842-145520844,MODIFIER,7.0
chr6:70042278-70042280,MODIFIER,13.0
chr14:19245873-19245875,MODIFIER,1.0
chr3:143372780-143372782,MODIFIER,13.0
chr9:35012783-35012785,MODIFIER,4.0
chr1:29249005-29249007,MODIFIER,5.0
chr21:24945582-24945584,MODIFIER,4.0
chr10:114824280-114824282,MODIFIER,15.0
chr2:231938189-231938191,MODIFIER,11.0
chr2:144130797-144130799,MODIFIER,12.0
chr12:3616503-3616505,MODIFIER,3.0
chr10:84643753-84643755,MODIFIER,14.0
chr2:115223976-115223978,MODIFIER,12.0
