gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_eur_leave_23andme,1:65114890,chr1:65580572-65580574,-0.059126
C2_ALL_eur_leave_23andme,1:65114996,chr1:65580678-65580680,-0.059944
C2_ALL_eur_leave_23andme,1:66525663,chr1:66991345-66991347,0.050908
C2_ALL_eur_leave_23andme,1:66548487,chr1:67014169-67014171,0.058557
C2_ALL_eur_leave_23andme,1:154837540,chr1:154810015-154810017,0.047519
C2_ALL_eur_leave_23andme,1:155133406,chr1:155105881-155105883,-0.076762
C2_ALL_eur_leave_23andme,1:244368844,chr1:244532145-244532147,-0.045455
C2_ALL_eur_leave_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_eur_leave_23andme,3:45773677,chr3:45815168-45815170,0.35874
C2_ALL_eur_leave_23andme,3:45796394,chr3:45837885-45837887,0.13764
C2_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,-0.44024
C2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
C2_ALL_eur_leave_23andme,3:45825948,chr3:45867439-45867441,-0.62287
C2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
C2_ALL_eur_leave_23andme,3:45838989,chr3:45880480-45880482,0.62496
C2_ALL_eur_leave_23andme,3:45858159,chr3:45899650-45899652,0.63022
C2_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
C2_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
C2_ALL_eur_leave_23andme,3:45861003,chr3:45902494-45902496,0.099882
C2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,-0.51684
C2_ALL_eur_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
C2_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
C2_ALL_eur_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
C2_ALL_eur_leave_23andme,3:45918928,chr3:45960419-45960421,0.4273
C2_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
C2_ALL_eur_leave_23andme,3:45921111,chr3:45962602-45962604,-0.4299
C2_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
C2_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
C2_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
C2_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
C2_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_eur_leave_23andme,3:45959378,chr3:46000869-46000871,0.42089
C2_ALL_eur_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
C2_ALL_eur_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
C2_ALL_eur_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
C2_ALL_eur_leave_23andme,3:45962045,chr3:46003536-46003538,0.41411
C2_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,0.41619
C2_ALL_eur_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
C2_ALL_eur_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_eur_leave_23andme,3:45966331,chr3:46007822-46007824,0.43078
C2_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
C2_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,-0.42407
C2_ALL_eur_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_eur_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
C2_ALL_eur_leave_23andme,3:45970787,chr3:46012278-46012280,-0.4226
C2_ALL_eur_leave_23andme,3:45972340,chr3:46013831-46013833,0.42286
C2_ALL_eur_leave_23andme,3:45976852,chr3:46018343-46018345,0.42401
C2_ALL_eur_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_eur_leave_23andme,3:45983037,chr3:46024528-46024530,0.4215
C2_ALL_eur_leave_23andme,3:45993605,chr3:46035096-46035098,0.42141
C2_ALL_eur_leave_23andme,3:46016375,chr3:46057866-46057868,0.39527
C2_ALL_eur_leave_23andme,3:46017416,chr3:46058907-46058909,0.40476
C2_ALL_eur_leave_23andme,3:46017757,chr3:46059248-46059250,-0.40481
C2_ALL_eur_leave_23andme,3:46017992,chr3:46059483-46059485,-0.39555
C2_ALL_eur_leave_23andme,3:46019726,chr3:46061217-46061219,0.40676
C2_ALL_eur_leave_23andme,3:46019812,chr3:46061303-46061305,-0.39568
C2_ALL_eur_leave_23andme,3:46021837,chr3:46063328-46063330,-0.39705
