gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_ukbb_23andme,1:237242646,chr1:237405945-237405947,-0.49907
B1_ALL_eur_leave_ukbb_23andme,2:49583292,chr2:49810429-49810431,-0.63292
B1_ALL_eur_leave_ukbb_23andme,2:49586852,chr2:49813989-49813991,-0.64424
B1_ALL_eur_leave_ukbb_23andme,2:49586871,chr2:49814008-49814010,0.65196
B1_ALL_eur_leave_ukbb_23andme,3:45800446,chr3:45841937-45841939,-0.44024
B1_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_ukbb_23andme,3:45825948,chr3:45867439-45867441,-0.62287
B1_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
B1_ALL_eur_leave_ukbb_23andme,3:45838989,chr3:45880480-45880482,0.62496
B1_ALL_eur_leave_ukbb_23andme,3:45858159,chr3:45899650-45899652,0.63022
B1_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
B1_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,0.51684
B1_ALL_eur_leave_ukbb_23andme,3:45918928,chr3:45960419-45960421,0.4273
B1_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
B1_ALL_eur_leave_ukbb_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B1_ALL_eur_leave_ukbb_23andme,3:45926551,chr3:45968042-45968044,0.42291
B1_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,0.42484
B1_ALL_eur_leave_ukbb_23andme,3:45932600,chr3:45974091-45974093,0.42473
B1_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
B1_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
B1_ALL_eur_leave_ukbb_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
B1_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
B1_ALL_eur_leave_ukbb_23andme,3:45959378,chr3:46000869-46000871,0.42089
B1_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,0.41428
B1_ALL_eur_leave_ukbb_23andme,3:45959875,chr3:46001366-46001368,0.42091
B1_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,-0.42081
