impact,hg19_pos,count,name
HIGH,113357192,12.0,COVID
HIGH,113369714,5.0,COVID
HIGH,136132907,13.0,COVID
LOW,113376451,5.0,COVID
LOW,113386949,6.0,COVID
LOW,10556896,15.0,COVID
LOW,101383561,16.0,COVID
LOW,45637108,16.0,COVID
LOW,46008086,16.0,COVID
LOW,46010006,16.0,COVID
LOW,46063328,16.0,COVID
MODERATE,113348869,13.0,COVID
MODERATE,113357208,11.0,COVID
MODERATE,113357441,11.0,COVID
MODERATE,113376387,5.0,COVID
MODERATE,113425153,16.0,COVID
MODERATE,49303069,16.0,COVID
MODERATE,34614254,15.0,COVID
MODERATE,45837885,15.0,COVID
MODERATE,46007822,16.0,COVID
MODERATE,46007824,16.0,COVID
MODERATE,46009486,16.0,COVID
MODERATE,13931339,16.0,COVID
MODIFIER,155105881,14.0,COVID
MODIFIER,185230849,9.0,COVID
MODIFIER,185244567,5.0,COVID
MODIFIER,34876828,5.0,COVID
MODIFIER,34879755,15.0,COVID
MODIFIER,34879756,15.0,COVID
MODIFIER,3744125,9.0,COVID
MODIFIER,3745131,13.0,COVID
MODIFIER,71965064,13.0,COVID
MODIFIER,71965505,16.0,COVID
MODIFIER,71969016,5.0,COVID
MODIFIER,71969513,5.0,COVID
MODIFIER,72012932,12.0,COVID
MODIFIER,72015413,15.0,COVID
MODIFIER,72132178,14.0,COVID
MODIFIER,130500819,11.0,COVID
MODIFIER,133144994,11.0,COVID
MODIFIER,129894919,14.0,COVID
MODIFIER,81455048,4.0,COVID
MODIFIER,113348869,13.0,COVID
MODIFIER,113350795,7.0,COVID
MODIFIER,113351519,8.0,COVID
MODIFIER,113352158,4.0,COVID
MODIFIER,113357192,12.0,COVID
MODIFIER,113357208,11.0,COVID
MODIFIER,113357441,11.0,COVID
MODIFIER,113358105,11.0,COVID
MODIFIER,113358790,5.0,COVID
MODIFIER,113358793,5.0,COVID
MODIFIER,113359131,7.0,COVID
MODIFIER,113359156,11.0,COVID
MODIFIER,113359187,11.0,COVID
MODIFIER,113359317,5.0,COVID
MODIFIER,113359576,5.0,COVID
MODIFIER,113359702,5.0,COVID
MODIFIER,113360024,5.0,COVID
MODIFIER,113360301,4.0,COVID
MODIFIER,113360467,4.0,COVID
MODIFIER,113360562,4.0,COVID
MODIFIER,113360574,4.0,COVID
MODIFIER,113360736,4.0,COVID
MODIFIER,113360785,4.0,COVID
MODIFIER,113361116,10.0,COVID
MODIFIER,113361157,5.0,COVID
MODIFIER,113361173,10.0,COVID
MODIFIER,113361236,10.0,COVID
MODIFIER,113361442,10.0,COVID
MODIFIER,113361573,10.0,COVID
MODIFIER,113361705,10.0,COVID
MODIFIER,113362057,9.0,COVID
MODIFIER,113362406,9.0,COVID
MODIFIER,113362420,9.0,COVID
MODIFIER,113362750,4.0,COVID
MODIFIER,113362973,4.0,COVID
MODIFIER,113362996,4.0,COVID
MODIFIER,113363076,4.0,COVID
MODIFIER,113363108,4.0,COVID
MODIFIER,113363177,4.0,COVID
MODIFIER,113363282,4.0,COVID
MODIFIER,113363283,4.0,COVID
MODIFIER,113363407,4.0,COVID
MODIFIER,113363549,4.0,COVID
MODIFIER,113363691,5.0,COVID
MODIFIER,113363921,5.0,COVID
MODIFIER,113363971,5.0,COVID
MODIFIER,113364331,4.0,COVID
MODIFIER,113364374,5.0,COVID
MODIFIER,113364381,5.0,COVID
MODIFIER,113364470,5.0,COVID
MODIFIER,113364503,5.0,COVID
MODIFIER,113364511,5.0,COVID
MODIFIER,113364632,5.0,COVID
MODIFIER,113364779,5.0,COVID
MODIFIER,113364780,5.0,COVID
MODIFIER,113364872,5.0,COVID
MODIFIER,113365064,5.0,COVID
MODIFIER,113365147,5.0,COVID
MODIFIER,113365160,5.0,COVID
MODIFIER,113365200,5.0,COVID
MODIFIER,113365222,5.0,COVID
MODIFIER,113365452,5.0,COVID
MODIFIER,113365580,5.0,COVID
MODIFIER,113365666,5.0,COVID
MODIFIER,113365686,5.0,COVID
MODIFIER,113365802,4.0,COVID
MODIFIER,113365827,5.0,COVID
MODIFIER,113366048,4.0,COVID
MODIFIER,113366690,4.0,COVID
MODIFIER,113366898,4.0,COVID
MODIFIER,113367308,4.0,COVID
MODIFIER,113367324,4.0,COVID
MODIFIER,113367331,4.0,COVID
MODIFIER,113367342,4.0,COVID
MODIFIER,113367421,4.0,COVID
MODIFIER,113367594,4.0,COVID
MODIFIER,113367894,4.0,COVID
MODIFIER,113368029,4.0,COVID
MODIFIER,113368054,4.0,COVID
MODIFIER,113368078,4.0,COVID
MODIFIER,113368124,4.0,COVID
MODIFIER,113368248,4.0,COVID
MODIFIER,113368504,4.0,COVID
MODIFIER,113368604,5.0,COVID
MODIFIER,113369176,5.0,COVID
MODIFIER,113369714,5.0,COVID
MODIFIER,113369758,5.0,COVID
MODIFIER,113370426,5.0,COVID
MODIFIER,113370965,5.0,COVID
MODIFIER,113371113,5.0,COVID
MODIFIER,113371522,5.0,COVID
MODIFIER,113371645,4.0,COVID
MODIFIER,113371972,5.0,COVID
MODIFIER,113371976,5.0,COVID
MODIFIER,113372538,5.0,COVID
MODIFIER,113372803,5.0,COVID
MODIFIER,113372865,5.0,COVID
MODIFIER,113372960,5.0,COVID
MODIFIER,113372976,5.0,COVID
MODIFIER,113373562,5.0,COVID
MODIFIER,113373587,5.0,COVID
MODIFIER,113374016,5.0,COVID
MODIFIER,113374747,5.0,COVID
MODIFIER,113375035,5.0,COVID
MODIFIER,113375982,5.0,COVID
MODIFIER,113376319,5.0,COVID
MODIFIER,113376330,5.0,COVID
MODIFIER,113376387,5.0,COVID
MODIFIER,113376451,5.0,COVID
MODIFIER,113376912,5.0,COVID
MODIFIER,113377821,5.0,COVID
MODIFIER,113378080,5.0,COVID
MODIFIER,113378676,5.0,COVID
MODIFIER,113379038,5.0,COVID
MODIFIER,113379122,5.0,COVID
MODIFIER,113380007,10.0,COVID
MODIFIER,113380270,5.0,COVID
MODIFIER,113380528,5.0,COVID
MODIFIER,113380707,7.0,COVID
MODIFIER,113381216,5.0,COVID
MODIFIER,113381375,6.0,COVID
MODIFIER,113381694,5.0,COVID
MODIFIER,113381748,5.0,COVID
MODIFIER,113381955,8.0,COVID
MODIFIER,113382976,5.0,COVID
MODIFIER,113384999,5.0,COVID
MODIFIER,113385245,5.0,COVID
MODIFIER,113385917,6.0,COVID
MODIFIER,113386949,6.0,COVID
MODIFIER,113390678,5.0,COVID
MODIFIER,113390747,5.0,COVID
MODIFIER,113391362,5.0,COVID
MODIFIER,113392064,4.0,COVID
MODIFIER,113392181,4.0,COVID
MODIFIER,113392743,4.0,COVID
MODIFIER,113394018,4.0,COVID
MODIFIER,113395456,4.0,COVID
MODIFIER,113395703,4.0,COVID
MODIFIER,113396009,4.0,COVID
MODIFIER,113397124,2.0,COVID
MODIFIER,113397142,2.0,COVID
MODIFIER,113398138,5.0,COVID
MODIFIER,113402898,5.0,COVID
MODIFIER,113405180,5.0,COVID
MODIFIER,113406195,6.0,COVID
MODIFIER,113406459,5.0,COVID
MODIFIER,113406561,5.0,COVID
MODIFIER,113406944,5.0,COVID
MODIFIER,113408207,6.0,COVID
MODIFIER,113409412,7.0,COVID
MODIFIER,113410315,5.0,COVID
MODIFIER,113418849,5.0,COVID
MODIFIER,113419176,5.0,COVID
MODIFIER,113420603,5.0,COVID
MODIFIER,113421294,5.0,COVID
MODIFIER,113424500,5.0,COVID
MODIFIER,113425153,16.0,COVID
MODIFIER,113425492,11.0,COVID
MODIFIER,113425678,5.0,COVID
MODIFIER,113468172,5.0,COVID
MODIFIER,113468253,5.0,COVID
MODIFIER,113468808,15.0,COVID
MODIFIER,114993427,11.0,COVID
MODIFIER,19816505,5.0,COVID
MODIFIER,19816635,5.0,COVID
MODIFIER,56883677,5.0,COVID
MODIFIER,56890006,2.0,COVID
MODIFIER,56904024,5.0,COVID
MODIFIER,39322340,15.0,COVID
MODIFIER,94879991,16.0,COVID
MODIFIER,28733842,1.0,COVID
MODIFIER,28733846,1.0,COVID
MODIFIER,28734654,15.0,COVID
MODIFIER,28734935,16.0,COVID
MODIFIER,28735075,16.0,COVID
MODIFIER,28737459,4.0,COVID
MODIFIER,28741380,4.0,COVID
MODIFIER,66718840,14.0,COVID
MODIFIER,52377749,5.0,COVID
MODIFIER,52380470,4.0,COVID
MODIFIER,55973716,15.0,COVID
MODIFIER,56116668,10.0,COVID
MODIFIER,56116826,15.0,COVID
MODIFIER,56117653,16.0,COVID
MODIFIER,56117915,4.0,COVID
MODIFIER,56121879,16.0,COVID
MODIFIER,56123493,13.0,COVID
MODIFIER,56124222,11.0,COVID
MODIFIER,56126966,9.0,COVID
MODIFIER,56128025,5.0,COVID
MODIFIER,56128891,5.0,COVID
MODIFIER,56130106,4.0,COVID
MODIFIER,56133962,12.0,COVID
MODIFIER,56135554,15.0,COVID
MODIFIER,56137372,16.0,COVID
MODIFIER,56137732,5.0,COVID
MODIFIER,56138409,15.0,COVID
MODIFIER,56138425,16.0,COVID
MODIFIER,56138608,10.0,COVID
MODIFIER,56139045,16.0,COVID
MODIFIER,56139059,16.0,COVID
MODIFIER,56139110,15.0,COVID
MODIFIER,56144302,14.0,COVID
MODIFIER,56144340,14.0,COVID
MODIFIER,56145517,13.0,COVID
MODIFIER,56148564,13.0,COVID
MODIFIER,56161560,11.0,COVID
MODIFIER,56165229,11.0,COVID
MODIFIER,56167589,15.0,COVID
MODIFIER,56169144,16.0,COVID
MODIFIER,56172949,14.0,COVID
MODIFIER,56176913,15.0,COVID
MODIFIER,56180725,8.0,COVID
MODIFIER,56180834,7.0,COVID
MODIFIER,56180949,6.0,COVID
MODIFIER,56188422,3.0,COVID
MODIFIER,56188969,3.0,COVID
MODIFIER,56202688,15.0,COVID
MODIFIER,56207330,11.0,COVID
MODIFIER,56212947,8.0,COVID
MODIFIER,56215433,7.0,COVID
MODIFIER,56224880,15.0,COVID
MODIFIER,56233487,16.0,COVID
MODIFIER,56236017,11.0,COVID
MODIFIER,56248300,16.0,COVID
MODIFIER,56248783,13.0,COVID
MODIFIER,56250454,16.0,COVID
MODIFIER,56251069,15.0,COVID
MODIFIER,56262705,13.0,COVID
MODIFIER,56263168,5.0,COVID
MODIFIER,56285518,16.0,COVID
MODIFIER,78250054,9.0,COVID
MODIFIER,43785348,6.0,COVID
MODIFIER,44219830,10.0,COVID
MODIFIER,4955923,4.0,COVID
MODIFIER,49701896,3.0,COVID
MODIFIER,10556896,15.0,COVID
MODIFIER,10562801,12.0,COVID
MODIFIER,4719442,8.0,COVID
MODIFIER,4723669,10.0,COVID
MODIFIER,49302285,14.0,COVID
MODIFIER,49302322,13.0,COVID
MODIFIER,49303069,16.0,COVID
MODIFIER,49303739,11.0,COVID
MODIFIER,49303826,7.0,COVID
MODIFIER,49304659,10.0,COVID
MODIFIER,49306275,2.0,COVID
MODIFIER,49307314,5.0,COVID
MODIFIER,49307938,5.0,COVID
MODIFIER,49312999,5.0,COVID
MODIFIER,49317709,4.0,COVID
MODIFIER,49319003,5.0,COVID
MODIFIER,49321910,10.0,COVID
MODIFIER,49326463,7.0,COVID
MODIFIER,180394562,13.0,COVID
MODIFIER,233545636,5.0,COVID
MODIFIER,240685454,11.0,COVID
MODIFIER,240690840,5.0,COVID
MODIFIER,240693411,8.0,COVID
MODIFIER,240699676,9.0,COVID
MODIFIER,3740078,16.0,COVID
MODIFIER,34589234,5.0,COVID
MODIFIER,34590622,6.0,COVID
MODIFIER,34593709,5.0,COVID
MODIFIER,34596749,5.0,COVID
MODIFIER,34599083,5.0,COVID
MODIFIER,34600507,5.0,COVID
MODIFIER,34602304,2.0,COVID
MODIFIER,34602933,16.0,COVID
MODIFIER,34603248,15.0,COVID
MODIFIER,34604556,11.0,COVID
MODIFIER,34605777,7.0,COVID
MODIFIER,34606633,12.0,COVID
MODIFIER,34607435,5.0,COVID
MODIFIER,34607869,9.0,COVID
MODIFIER,34609504,15.0,COVID
MODIFIER,34609595,5.0,COVID
MODIFIER,34609943,15.0,COVID
MODIFIER,34610486,5.0,COVID
MODIFIER,34611317,5.0,COVID
MODIFIER,34611544,9.0,COVID
MODIFIER,34611570,10.0,COVID
MODIFIER,34611729,10.0,COVID
MODIFIER,34613300,5.0,COVID
MODIFIER,34613934,10.0,COVID
MODIFIER,34614254,15.0,COVID
MODIFIER,34614833,4.0,COVID
MODIFIER,34615209,2.0,COVID
MODIFIER,34616544,13.0,COVID
MODIFIER,34616922,14.0,COVID
MODIFIER,34617728,15.0,COVID
MODIFIER,34617949,15.0,COVID
MODIFIER,34618042,16.0,COVID
MODIFIER,34618312,16.0,COVID
MODIFIER,34618438,4.0,COVID
MODIFIER,34619444,14.0,COVID
MODIFIER,34620206,13.0,COVID
MODIFIER,34620450,11.0,COVID
MODIFIER,34624916,15.0,COVID
MODIFIER,101067944,9.0,COVID
MODIFIER,101086474,14.0,COVID
MODIFIER,101111107,5.0,COVID
MODIFIER,101120029,5.0,COVID
MODIFIER,101122574,12.0,COVID
MODIFIER,101129447,4.0,COVID
MODIFIER,101135089,14.0,COVID
MODIFIER,101142820,5.0,COVID
MODIFIER,101146361,11.0,COVID
MODIFIER,101148103,4.0,COVID
MODIFIER,101150963,5.0,COVID
MODIFIER,101166629,2.0,COVID
MODIFIER,101180329,5.0,COVID
MODIFIER,101184488,5.0,COVID
MODIFIER,101187839,4.0,COVID
MODIFIER,101189340,5.0,COVID
MODIFIER,101197189,2.0,COVID
MODIFIER,101216020,5.0,COVID
MODIFIER,101231730,15.0,COVID
MODIFIER,101235100,5.0,COVID
MODIFIER,101243633,5.0,COVID
MODIFIER,101250007,5.0,COVID
MODIFIER,101255723,5.0,COVID
MODIFIER,101260117,5.0,COVID
MODIFIER,101269941,2.0,COVID
MODIFIER,101271304,3.0,COVID
MODIFIER,101274910,5.0,COVID
MODIFIER,101275901,5.0,COVID
MODIFIER,101279005,5.0,COVID
MODIFIER,101281708,8.0,COVID
MODIFIER,101281851,13.0,COVID
MODIFIER,101290576,5.0,COVID
MODIFIER,101294571,12.0,COVID
MODIFIER,101294829,13.0,COVID
MODIFIER,101300874,3.0,COVID
MODIFIER,101305169,12.0,COVID
MODIFIER,101306506,12.0,COVID
MODIFIER,101306998,5.0,COVID
MODIFIER,101308873,5.0,COVID
MODIFIER,101313939,4.0,COVID
MODIFIER,101316836,3.0,COVID
MODIFIER,101318317,5.0,COVID
MODIFIER,101318902,4.0,COVID
MODIFIER,101324062,1.0,COVID
MODIFIER,101327768,1.0,COVID
MODIFIER,101327788,1.0,COVID
MODIFIER,101328483,1.0,COVID
MODIFIER,101336379,4.0,COVID
MODIFIER,101337862,2.0,COVID
MODIFIER,101346032,4.0,COVID
MODIFIER,101351471,3.0,COVID
MODIFIER,101355062,3.0,COVID
MODIFIER,101355426,3.0,COVID
MODIFIER,101356534,3.0,COVID
MODIFIER,101360586,3.0,COVID
MODIFIER,101360622,3.0,COVID
MODIFIER,101360962,4.0,COVID
MODIFIER,101361505,3.0,COVID
MODIFIER,101363023,3.0,COVID
MODIFIER,101364140,3.0,COVID
MODIFIER,101366066,5.0,COVID
MODIFIER,101366068,5.0,COVID
MODIFIER,101366697,5.0,COVID
MODIFIER,101371898,16.0,COVID
MODIFIER,101371921,16.0,COVID
MODIFIER,101373304,14.0,COVID
MODIFIER,101373965,5.0,COVID
MODIFIER,101374225,15.0,COVID
MODIFIER,101374703,4.0,COVID
MODIFIER,101375757,5.0,COVID
MODIFIER,101377473,5.0,COVID
MODIFIER,101378475,16.0,COVID
MODIFIER,101383320,16.0,COVID
MODIFIER,101383561,16.0,COVID
MODIFIER,101385766,5.0,COVID
MODIFIER,101386917,8.0,COVID
MODIFIER,101392269,10.0,COVID
MODIFIER,101393293,5.0,COVID
MODIFIER,101393295,5.0,COVID
MODIFIER,101393582,12.0,COVID
MODIFIER,101394216,7.0,COVID
MODIFIER,101395127,15.0,COVID
MODIFIER,101396528,12.0,COVID
MODIFIER,101396971,11.0,COVID
MODIFIER,101397622,5.0,COVID
MODIFIER,101397876,12.0,COVID
MODIFIER,101398918,3.0,COVID
MODIFIER,101399125,12.0,COVID
MODIFIER,101399259,12.0,COVID
MODIFIER,101399582,5.0,COVID
MODIFIER,101400166,15.0,COVID
MODIFIER,101400987,5.0,COVID
MODIFIER,101401994,13.0,COVID
MODIFIER,101410974,2.0,COVID
MODIFIER,101419707,3.0,COVID
MODIFIER,101419782,3.0,COVID
MODIFIER,101424457,5.0,COVID
MODIFIER,101424799,5.0,COVID
MODIFIER,101425702,7.0,COVID
MODIFIER,101428898,5.0,COVID
MODIFIER,101429808,5.0,COVID
MODIFIER,101433439,3.0,COVID
MODIFIER,101433514,4.0,COVID
MODIFIER,101434447,5.0,COVID
MODIFIER,101434448,5.0,COVID
MODIFIER,101434918,5.0,COVID
MODIFIER,101435224,5.0,COVID
MODIFIER,101437432,5.0,COVID
MODIFIER,101437861,5.0,COVID
MODIFIER,101441689,5.0,COVID
MODIFIER,101445125,12.0,COVID
MODIFIER,101446206,16.0,COVID
MODIFIER,101450257,5.0,COVID
MODIFIER,101452586,4.0,COVID
MODIFIER,101453857,5.0,COVID
MODIFIER,101455965,4.0,COVID
MODIFIER,101456683,5.0,COVID
MODIFIER,101460651,2.0,COVID
MODIFIER,101460742,2.0,COVID
MODIFIER,101461176,2.0,COVID
MODIFIER,101463312,4.0,COVID
MODIFIER,101463390,4.0,COVID
MODIFIER,101463493,4.0,COVID
MODIFIER,101463894,7.0,COVID
MODIFIER,101466004,3.0,COVID
MODIFIER,101466468,5.0,COVID
MODIFIER,101470235,3.0,COVID
MODIFIER,101470336,3.0,COVID
MODIFIER,101470560,3.0,COVID
MODIFIER,101470983,2.0,COVID
MODIFIER,101472375,3.0,COVID
MODIFIER,101472593,3.0,COVID
MODIFIER,101472828,2.0,COVID
MODIFIER,101473087,8.0,COVID
MODIFIER,101474698,5.0,COVID
MODIFIER,101474932,5.0,COVID
MODIFIER,101478530,12.0,COVID
MODIFIER,101480155,13.0,COVID
MODIFIER,101486919,16.0,COVID
MODIFIER,101488180,5.0,COVID
MODIFIER,101489628,9.0,COVID
MODIFIER,101490277,5.0,COVID
MODIFIER,101493000,5.0,COVID
MODIFIER,101496304,12.0,COVID
MODIFIER,101497568,8.0,COVID
MODIFIER,101499274,16.0,COVID
MODIFIER,101500747,11.0,COVID
MODIFIER,101503764,15.0,COVID
MODIFIER,101504673,13.0,COVID
MODIFIER,101504816,13.0,COVID
MODIFIER,101505467,5.0,COVID
MODIFIER,101505506,5.0,COVID
MODIFIER,101507804,5.0,COVID
MODIFIER,101509045,5.0,COVID
MODIFIER,101509370,5.0,COVID
MODIFIER,101509474,5.0,COVID
MODIFIER,101509947,5.0,COVID
MODIFIER,101510387,5.0,COVID
MODIFIER,101510662,5.0,COVID
MODIFIER,101511152,4.0,COVID
MODIFIER,101511201,5.0,COVID
MODIFIER,101511666,5.0,COVID
MODIFIER,101513681,10.0,COVID
MODIFIER,101517023,1.0,COVID
