gwas_name,hg38_pos,hg19_pos,new_beta
B2_ALL_eur_leave_ukbb_23andme,1:155087842,chr1:155060317-155060319,0.22083
B2_ALL_eur_leave_ukbb_23andme,1:155185377,chr1:155157852-155157854,-0.21371
B2_ALL_eur_leave_ukbb_23andme,1:155202934,chr1:155172724-155172726,-0.20173
B2_ALL_eur_leave_ukbb_23andme,1:155203736,chr1:155173526-155173528,0.20379
B2_ALL_eur_leave_ukbb_23andme,2:103153782,chr2:103770239-103770241,0.45607
B2_ALL_eur_leave_ukbb_23andme,2:103179036,chr2:103795493-103795495,0.36688
B2_ALL_eur_leave_ukbb_23andme,2:103218211,chr2:103834668-103834670,0.38894
B2_ALL_eur_leave_ukbb_23andme,3:45756734,chr3:45798225-45798227,0.35365
B2_ALL_eur_leave_ukbb_23andme,3:45800446,chr3:45841937-45841939,0.44024
B2_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B2_ALL_eur_leave_ukbb_23andme,3:45802706,chr3:45844197-45844199,0.47702
B2_ALL_eur_leave_ukbb_23andme,3:45804256,chr3:45845747-45845749,-0.33764
B2_ALL_eur_leave_ukbb_23andme,3:45805749,chr3:45847240-45847242,0.34211
B2_ALL_eur_leave_ukbb_23andme,3:45807268,chr3:45848759-45848761,0.48255
B2_ALL_eur_leave_ukbb_23andme,3:45820440,chr3:45861931-45861933,-0.62504
B2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
B2_ALL_eur_leave_ukbb_23andme,3:45858159,chr3:45899650-45899652,0.63022
B2_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
B2_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B2_ALL_eur_leave_ukbb_23andme,3:45866624,chr3:45908115-45908117,0.51736
B2_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,0.51684
B2_ALL_eur_leave_ukbb_23andme,3:45869378,chr3:45910869-45910871,0.25148
B2_ALL_eur_leave_ukbb_23andme,3:45886267,chr3:45927758-45927760,-0.33215
B2_ALL_eur_leave_ukbb_23andme,3:45887277,chr3:45928768-45928770,0.3785
B2_ALL_eur_leave_ukbb_23andme,3:45896341,chr3:45937832-45937834,-0.24739
B2_ALL_eur_leave_ukbb_23andme,3:45897524,chr3:45939015-45939017,0.36834
B2_ALL_eur_leave_ukbb_23andme,3:45898310,chr3:45939801-45939803,0.36831
B2_ALL_eur_leave_ukbb_23andme,3:45903795,chr3:45945286-45945288,-0.18782
B2_ALL_eur_leave_ukbb_23andme,3:45918928,chr3:45960419-45960421,0.4273
B2_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
B2_ALL_eur_leave_ukbb_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B2_ALL_eur_leave_ukbb_23andme,3:45921260,chr3:45962751-45962753,0.12291
B2_ALL_eur_leave_ukbb_23andme,3:45926551,chr3:45968042-45968044,0.42291
B2_ALL_eur_leave_ukbb_23andme,3:45932600,chr3:45974091-45974093,0.42473
B2_ALL_eur_leave_ukbb_23andme,3:45941984,chr3:45983475-45983477,0.42145
B2_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
B2_ALL_eur_leave_ukbb_23andme,3:45947552,chr3:45989043-45989045,-0.1249
B2_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B2_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
B2_ALL_eur_leave_ukbb_23andme,3:45952153,chr3:45993644-45993646,-0.42104
B2_ALL_eur_leave_ukbb_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B2_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
B2_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
B2_ALL_eur_leave_ukbb_23andme,3:45962045,chr3:46003536-46003538,-0.41411
B2_ALL_eur_leave_ukbb_23andme,3:45964777,chr3:46006268-46006270,-0.41619
B2_ALL_eur_leave_ukbb_23andme,3:45964849,chr3:46006340-46006342,0.41822
B2_ALL_eur_leave_ukbb_23andme,3:45966331,chr3:46007822-46007824,0.43078
B2_ALL_eur_leave_ukbb_23andme,3:45966333,chr3:46007824-46007826,0.41711
B2_ALL_eur_leave_ukbb_23andme,3:45966595,chr3:46008086-46008088,0.42407
B2_ALL_eur_leave_ukbb_23andme,3:45967995,chr3:46009486-46009488,0.42133
B2_ALL_eur_leave_ukbb_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B2_ALL_eur_leave_ukbb_23andme,3:45970787,chr3:46012278-46012280,0.4226
B2_ALL_eur_leave_ukbb_23andme,3:45970899,chr3:46012390-46012392,0.42905
B2_ALL_eur_leave_ukbb_23andme,3:45972340,chr3:46013831-46013833,0.42286
B2_ALL_eur_leave_ukbb_23andme,3:45976852,chr3:46018343-46018345,0.42401
B2_ALL_eur_leave_ukbb_23andme,3:45981341,chr3:46022832-46022834,0.4214
B2_ALL_eur_leave_ukbb_23andme,3:45983037,chr3:46024528-46024530,0.4215
B2_ALL_eur_leave_ukbb_23andme,3:45983556,chr3:46025047-46025049,0.42196
B2_ALL_eur_leave_ukbb_23andme,3:45990465,chr3:46031956-46031958,0.13023
B2_ALL_eur_leave_ukbb_23andme,3:45991355,chr3:46032846-46032848,-0.13156
B2_ALL_eur_leave_ukbb_23andme,3:45992327,chr3:46033818-46033820,0.13154
B2_ALL_eur_leave_ukbb_23andme,3:45993605,chr3:46035096-46035098,0.42141
B2_ALL_eur_leave_ukbb_23andme,3:45995029,chr3:46036520-46036522,-0.3453
B2_ALL_eur_leave_ukbb_23andme,3:45996955,chr3:46038446-46038448,0.12478
B2_ALL_eur_leave_ukbb_23andme,3:46016375,chr3:46057866-46057868,-0.39527
B2_ALL_eur_leave_ukbb_23andme,3:46017416,chr3:46058907-46058909,0.40476
B2_ALL_eur_leave_ukbb_23andme,3:46017647,chr3:46059138-46059140,-0.1742
B2_ALL_eur_leave_ukbb_23andme,3:46019726,chr3:46061217-46061219,0.40676
B2_ALL_eur_leave_ukbb_23andme,3:46019812,chr3:46061303-46061305,-0.39568
B2_ALL_eur_leave_ukbb_23andme,3:46021837,chr3:46063328-46063330,0.39705
B2_ALL_eur_leave_ukbb_23andme,3:46026015,chr3:46067506-46067508,0.40662
B2_ALL_eur_leave_ukbb_23andme,3:46027272,chr3:46068763-46068765,-0.17835
B2_ALL_eur_leave_ukbb_23andme,3:46027343,chr3:46068834-46068836,0.40651
B2_ALL_eur_leave_ukbb_23andme,3:46030514,chr3:46072005-46072007,0.17606
B2_ALL_eur_leave_ukbb_23andme,3:46059612,chr3:46101103-46101105,-0.12565
B2_ALL_eur_leave_ukbb_23andme,3:46059711,chr3:46101202-46101204,-0.12818
B2_ALL_eur_leave_ukbb_23andme,3:46066109,chr3:46107600-46107602,0.40808
B2_ALL_eur_leave_ukbb_23andme,3:46066793,chr3:46108284-46108286,0.38257
B2_ALL_eur_leave_ukbb_23andme,3:46066908,chr3:46108399-46108401,0.38261
B2_ALL_eur_leave_ukbb_23andme,3:46075295,chr3:46116786-46116788,0.2786
B2_ALL_eur_leave_ukbb_23andme,3:46076468,chr3:46117959-46117961,0.40488
B2_ALL_eur_leave_ukbb_23andme,3:46089733,chr3:46131224-46131226,0.4024
B2_ALL_eur_leave_ukbb_23andme,3:46094946,chr3:46136437-46136439,0.33045
B2_ALL_eur_leave_ukbb_23andme,3:46096615,chr3:46138106-46138108,0.40367
B2_ALL_eur_leave_ukbb_23andme,3:46098581,chr3:46140072-46140074,0.4036
B2_ALL_eur_leave_ukbb_23andme,3:46100352,chr3:46141843-46141845,0.38445
B2_ALL_eur_leave_ukbb_23andme,3:46100972,chr3:46142463-46142465,-0.4032
B2_ALL_eur_leave_ukbb_23andme,3:46101695,chr3:46143186-46143188,0.3286
B2_ALL_eur_leave_ukbb_23andme,3:46106012,chr3:46147503-46147505,0.33077
B2_ALL_eur_leave_ukbb_23andme,3:46110066,chr3:46151557-46151559,-0.57888
