hg19_pos,IMPACT,COUNT
chr1:38186195-38186197,LOW,15.0
chr10:75555321-75555323,LOW,16.0
chr6:38690668-38690670,LOW,15.0
chr2:236715921-236715923,MODERATE,16.0
chr14:105833639-105833641,MODERATE,15.0
chr3:126135342-126135344,MODERATE,15.0
chr19:56614224-56614226,MODERATE,5.0
chr16:88600326-88600328,MODERATE,1.0
chr11:55761730-55761732,MODERATE,3.0
chr6:52656753-52656755,MODERATE,16.0
chr20:39813822-39813824,MODERATE,16.0
chr3:122418466-122418468,MODERATE,16.0
chr12:73933147-73933149,MODIFIER,5.0
chr11:125008096-125008098,MODIFIER,16.0
chr4:170084245-170084247,MODIFIER,9.0
chr2:223980630-223980632,MODIFIER,15.0
chr3:58106214-58106216,MODIFIER,16.0
chr5:148737802-148737804,MODIFIER,16.0
chr3:58939239-58939241,MODIFIER,15.0
chr21:10433282-10433284,MODIFIER,4.0
chr20:58818141-58818143,MODIFIER,12.0
chr8:137531263-137531265,MODIFIER,4.0
chrX:49085199-49085201,MODIFIER,4.0
chr11:119512461-119512463,MODIFIER,4.0
chr1:93519411-93519413,MODIFIER,4.0
chr3:164675356-164675358,MODIFIER,12.0
chr14:54761220-54761222,MODIFIER,15.0
chr10:85925936-85925938,MODIFIER,4.0
chr7:104561867-104561869,MODIFIER,8.0
chr4:159592998-159593000,MODIFIER,15.0
chr20:17837072-17837074,MODIFIER,12.0
chr21:36908279-36908281,MODIFIER,5.0
chr17:78713146-78713148,MODIFIER,10.0
chr7:153864811-153864813,MODIFIER,16.0
chr11:37496038-37496040,MODIFIER,13.0
chr9:112304536-112304538,MODIFIER,12.0
chr21:27508874-27508876,MODIFIER,15.0
chr13:47167438-47167440,MODIFIER,14.0
chr15:57344876-57344878,MODIFIER,11.0
chr6:120987693-120987695,MODIFIER,5.0
chr2:453725-453727,MODIFIER,11.0
chr5:12388462-12388464,MODIFIER,5.0
chr20:44399138-44399140,MODIFIER,4.0
chr7:21656314-21656316,MODIFIER,16.0
chr10:94969484-94969486,MODIFIER,16.0
chr7:41355300-41355302,MODIFIER,13.0
chr4:43250158-43250160,MODIFIER,5.0
chr17:30567263-30567265,MODIFIER,5.0
chr8:130277502-130277504,MODIFIER,7.0
chr3:129440881-129440883,MODIFIER,16.0
chrX:146418176-146418178,MODIFIER,4.0
chr14:42580575-42580577,MODIFIER,2.0
chr6:3594929-3594931,MODIFIER,11.0
chr17:30757853-30757855,MODIFIER,5.0
chr3:170646859-170646861,MODIFIER,2.0
chr7:24189565-24189567,MODIFIER,5.0
chr17:71419162-71419164,MODIFIER,5.0
chr4:86334609-86334611,MODIFIER,13.0
chr6:165125265-165125267,MODIFIER,2.0
chr16:81231605-81231607,MODIFIER,5.0
chr11:64927866-64927868,MODIFIER,16.0
chr5:68240462-68240464,MODIFIER,5.0
chr19:1132865-1132867,MODIFIER,5.0
chr5:135907039-135907041,MODIFIER,10.0
chr7:105826066-105826068,MODIFIER,5.0
chr6:132383033-132383035,MODIFIER,13.0
chr6:160290997-160290999,MODIFIER,5.0
chr15:84006642-84006644,MODIFIER,8.0
chr6:98398467-98398469,MODIFIER,13.0
chr5:53794271-53794273,MODIFIER,4.0
chr2:106162540-106162542,MODIFIER,9.0
chr10:98174751-98174753,MODIFIER,12.0
chr3:19195251-19195253,MODIFIER,5.0
chr1:59945091-59945093,MODIFIER,16.0
chr8:73627554-73627556,MODIFIER,4.0
chr12:44717778-44717780,MODIFIER,14.0
chr3:16150187-16150189,MODIFIER,8.0
chr6:154756552-154756554,MODIFIER,15.0
chr1:209712249-209712251,MODIFIER,15.0
chr14:55113696-55113698,MODIFIER,15.0
chr11:75547039-75547041,MODIFIER,5.0
chr6:141378597-141378599,MODIFIER,16.0
chr11:41768605-41768607,MODIFIER,5.0
chr2:187440577-187440579,MODIFIER,5.0
chr6:108323331-108323333,MODIFIER,13.0
chr3:175805374-175805376,MODIFIER,4.0
chr6:154332946-154332948,MODIFIER,16.0
chr5:179842661-179842663,MODIFIER,2.0
chr1:230148688-230148690,MODIFIER,5.0
chrX:12541534-12541536,MODIFIER,11.0
chr11:117632658-117632660,MODIFIER,11.0
chr12:60282954-60282956,MODIFIER,12.0
chr5:175687895-175687897,MODIFIER,5.0
chr11:128718824-128718826,MODIFIER,16.0
chr5:99996467-99996469,MODIFIER,4.0
chr2:28799060-28799062,MODIFIER,12.0
chr2:187124176-187124178,MODIFIER,14.0
chr19:18752678-18752680,MODIFIER,5.0
chr5:175706527-175706529,MODIFIER,2.0
chr20:23901409-23901411,MODIFIER,15.0
chr3:151542912-151542914,MODIFIER,5.0
chr15:84387429-84387431,MODIFIER,4.0
chr10:68017924-68017926,MODIFIER,5.0
chr4:18770237-18770239,MODIFIER,16.0
chr12:102930413-102930415,MODIFIER,11.0
chr13:96093605-96093607,MODIFIER,5.0
chr15:86466758-86466760,MODIFIER,5.0
chr11:12732014-12732016,MODIFIER,9.0
chr9:103529512-103529514,MODIFIER,6.0
chr6:80811490-80811492,MODIFIER,1.0
chr3:123963297-123963299,MODIFIER,5.0
chrX:33104788-33104790,MODIFIER,12.0
chr6:82293526-82293528,MODIFIER,3.0
chr3:104440403-104440405,MODIFIER,16.0
chr12:60640293-60640295,MODIFIER,4.0
chr16:61132903-61132905,MODIFIER,15.0
chr5:55580985-55580987,MODIFIER,2.0
chr11:101739802-101739804,MODIFIER,9.0
chrX:133820404-133820406,MODIFIER,13.0
chr11:32229388-32229390,MODIFIER,5.0
chr6:91782279-91782281,MODIFIER,5.0
chr11:5805570-5805572,MODIFIER,6.0
chr12:120649995-120649997,MODIFIER,15.0
chr1:98354297-98354299,MODIFIER,5.0
chr17:63381558-63381560,MODIFIER,5.0
chr1:115156821-115156823,MODIFIER,5.0
chr11:7834259-7834261,MODIFIER,2.0
chr8:51625436-51625438,MODIFIER,9.0
chr8:18694258-18694260,MODIFIER,4.0
chr15:87105851-87105853,MODIFIER,4.0
chr11:71677397-71677399,MODIFIER,5.0
chr5:180649245-180649247,MODIFIER,11.0
chr11:94827462-94827464,MODIFIER,16.0
chr15:75645344-75645346,MODIFIER,4.0
chrX:113172921-113172923,MODIFIER,5.0
chr11:107148993-107148995,MODIFIER,5.0
chr14:59591995-59591997,MODIFIER,13.0
chr20:49392286-49392288,MODIFIER,3.0
chr10:93759605-93759607,MODIFIER,9.0
chr2:200420860-200420862,MODIFIER,15.0
chr12:96575583-96575585,MODIFIER,13.0
chr5:174053962-174053964,MODIFIER,12.0
chr1:237978271-237978273,MODIFIER,12.0
chr14:80237773-80237775,MODIFIER,2.0
chr9:17992591-17992593,MODIFIER,5.0
chr15:79592991-79592993,MODIFIER,11.0
chr5:54238654-54238656,MODIFIER,13.0
chr16:33857051-33857053,MODIFIER,2.0
chr19:16375665-16375667,MODIFIER,5.0
chr4:129464107-129464109,MODIFIER,16.0
chr5:50174390-50174392,MODIFIER,16.0
