gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_leave_UKBB_23andme,2:32698900,chr2:32923966-32923968,-0.15044
B1_ALL_leave_UKBB_23andme,3:45800446,chr3:45841937-45841939,0.44024
B1_ALL_leave_UKBB_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_leave_UKBB_23andme,3:45802706,chr3:45844197-45844199,0.47702
B1_ALL_leave_UKBB_23andme,3:45807268,chr3:45848759-45848761,0.48255
B1_ALL_leave_UKBB_23andme,3:45820440,chr3:45861931-45861933,-0.62504
B1_ALL_leave_UKBB_23andme,3:45830416,chr3:45871907-45871909,0.62413
B1_ALL_leave_UKBB_23andme,3:45858159,chr3:45899650-45899652,0.63022
B1_ALL_leave_UKBB_23andme,3:45859142,chr3:45900633-45900635,0.56203
B1_ALL_leave_UKBB_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_leave_UKBB_23andme,3:45866624,chr3:45908115-45908117,0.51736
B1_ALL_leave_UKBB_23andme,3:45867532,chr3:45909023-45909025,0.51684
B1_ALL_leave_UKBB_23andme,3:45887277,chr3:45928768-45928770,0.3785
B1_ALL_leave_UKBB_23andme,3:45897524,chr3:45939015-45939017,0.36834
B1_ALL_leave_UKBB_23andme,3:45898310,chr3:45939801-45939803,0.36831
B1_ALL_leave_UKBB_23andme,3:45918928,chr3:45960419-45960421,0.4273
B1_ALL_leave_UKBB_23andme,3:45919208,chr3:45960699-45960701,0.43149
B1_ALL_leave_UKBB_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B1_ALL_leave_UKBB_23andme,3:45926551,chr3:45968042-45968044,0.42291
B1_ALL_leave_UKBB_23andme,3:45932600,chr3:45974091-45974093,0.42473
B1_ALL_leave_UKBB_23andme,3:45941984,chr3:45983475-45983477,0.42145
B1_ALL_leave_UKBB_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_leave_UKBB_23andme,3:45948429,chr3:45989920-45989922,0.41825
B1_ALL_leave_UKBB_23andme,3:45952153,chr3:45993644-45993646,-0.42104
B1_ALL_leave_UKBB_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_leave_UKBB_23andme,3:45957717,chr3:45999208-45999210,0.42083
B1_ALL_leave_UKBB_23andme,3:45959236,chr3:46000727-46000729,0.42083
B1_ALL_leave_UKBB_23andme,3:45962045,chr3:46003536-46003538,-0.41411
B1_ALL_leave_UKBB_23andme,3:45964777,chr3:46006268-46006270,-0.41619
B1_ALL_leave_UKBB_23andme,3:45964849,chr3:46006340-46006342,0.41822
B1_ALL_leave_UKBB_23andme,3:45966331,chr3:46007822-46007824,0.43078
B1_ALL_leave_UKBB_23andme,3:45966333,chr3:46007824-46007826,0.41711
B1_ALL_leave_UKBB_23andme,3:45966595,chr3:46008086-46008088,0.42407
B1_ALL_leave_UKBB_23andme,3:45967995,chr3:46009486-46009488,0.42133
B1_ALL_leave_UKBB_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B1_ALL_leave_UKBB_23andme,3:45970787,chr3:46012278-46012280,0.4226
B1_ALL_leave_UKBB_23andme,3:45970899,chr3:46012390-46012392,0.42905
B1_ALL_leave_UKBB_23andme,3:45972340,chr3:46013831-46013833,0.42286
B1_ALL_leave_UKBB_23andme,3:45976852,chr3:46018343-46018345,0.42401
B1_ALL_leave_UKBB_23andme,3:45981341,chr3:46022832-46022834,0.4214
