impact,hg19_pos,count,name
HIGH,113357192,12.0,COVID
HIGH,113369714,5.0,COVID
LOW,151341569,15.0,COVID
LOW,113376451,5.0,COVID
LOW,113386949,6.0,COVID
LOW,46008086,16.0,COVID
LOW,46010006,16.0,COVID
LOW,46063328,16.0,COVID
LOW,46306699,15.0,COVID
MODERATE,155172724,16.0,COVID
MODERATE,113357208,11.0,COVID
MODERATE,113357441,11.0,COVID
MODERATE,113376387,5.0,COVID
MODERATE,113425153,16.0,COVID
MODERATE,10475651,15.0,COVID
MODERATE,4717671,11.0,COVID
MODERATE,127961025,11.0,COVID
MODERATE,34614249,15.0,COVID
MODERATE,34614254,15.0,COVID
MODERATE,46007822,16.0,COVID
MODERATE,46007824,16.0,COVID
MODERATE,46009486,16.0,COVID
MODIFIER,151341569,15.0,COVID
MODIFIER,155153536,5.0,COVID
MODIFIER,155172724,16.0,COVID
MODIFIER,155173526,16.0,COVID
MODIFIER,214111246,9.0,COVID
MODIFIER,214114865,12.0,COVID
MODIFIER,214119341,13.0,COVID
MODIFIER,214123367,16.0,COVID
MODIFIER,237277097,16.0,COVID
MODIFIER,237277252,16.0,COVID
MODIFIER,237277516,13.0,COVID
MODIFIER,237277610,13.0,COVID
MODIFIER,237279676,6.0,COVID
MODIFIER,237307327,5.0,COVID
MODIFIER,67683009,11.0,COVID
MODIFIER,67689902,14.0,COVID
MODIFIER,67773669,9.0,COVID
MODIFIER,9690475,11.0,COVID
MODIFIER,113735720,13.0,COVID
MODIFIER,124513196,5.0,COVID
MODIFIER,28383188,11.0,COVID
MODIFIER,28387771,12.0,COVID
MODIFIER,28388643,9.0,COVID
MODIFIER,28390510,5.0,COVID
MODIFIER,28403970,5.0,COVID
MODIFIER,28404400,5.0,COVID
MODIFIER,28405770,3.0,COVID
MODIFIER,28406586,2.0,COVID
MODIFIER,28409893,10.0,COVID
MODIFIER,28413092,2.0,COVID
MODIFIER,28413504,2.0,COVID
MODIFIER,28423794,13.0,COVID
MODIFIER,28436498,16.0,COVID
MODIFIER,28439772,16.0,COVID
MODIFIER,28442675,5.0,COVID
MODIFIER,28447961,5.0,COVID
MODIFIER,28455941,5.0,COVID
MODIFIER,97738084,5.0,COVID
MODIFIER,97743132,5.0,COVID
MODIFIER,97746329,11.0,COVID
MODIFIER,97749743,8.0,COVID
MODIFIER,97755802,4.0,COVID
MODIFIER,97757780,13.0,COVID
MODIFIER,97763480,13.0,COVID
MODIFIER,97765242,14.0,COVID
MODIFIER,97765523,15.0,COVID
MODIFIER,97765524,15.0,COVID
MODIFIER,97784208,7.0,COVID
MODIFIER,97784663,5.0,COVID
MODIFIER,97784939,4.0,COVID
MODIFIER,97787053,11.0,COVID
MODIFIER,97787184,12.0,COVID
MODIFIER,97787240,12.0,COVID
MODIFIER,97788681,16.0,COVID
MODIFIER,97789901,11.0,COVID
MODIFIER,97791458,16.0,COVID
MODIFIER,97793950,3.0,COVID
MODIFIER,97794443,2.0,COVID
MODIFIER,97795431,3.0,COVID
MODIFIER,97796382,2.0,COVID
MODIFIER,97796501,2.0,COVID
MODIFIER,103014756,13.0,COVID
MODIFIER,10546009,10.0,COVID
MODIFIER,113350795,7.0,COVID
MODIFIER,113352158,4.0,COVID
MODIFIER,113357192,12.0,COVID
MODIFIER,113357208,11.0,COVID
MODIFIER,113357441,11.0,COVID
MODIFIER,113358105,11.0,COVID
MODIFIER,113358790,5.0,COVID
MODIFIER,113358793,5.0,COVID
MODIFIER,113359131,7.0,COVID
MODIFIER,113359156,11.0,COVID
MODIFIER,113359187,11.0,COVID
MODIFIER,113359317,5.0,COVID
MODIFIER,113359576,5.0,COVID
MODIFIER,113359702,5.0,COVID
MODIFIER,113360024,5.0,COVID
MODIFIER,113360301,4.0,COVID
MODIFIER,113360467,4.0,COVID
MODIFIER,113360562,4.0,COVID
MODIFIER,113360574,4.0,COVID
MODIFIER,113360736,4.0,COVID
MODIFIER,113360785,4.0,COVID
MODIFIER,113361116,10.0,COVID
MODIFIER,113361157,5.0,COVID
MODIFIER,113361173,10.0,COVID
MODIFIER,113361236,10.0,COVID
MODIFIER,113361442,10.0,COVID
MODIFIER,113361573,10.0,COVID
MODIFIER,113361705,10.0,COVID
MODIFIER,113362057,9.0,COVID
MODIFIER,113362406,9.0,COVID
MODIFIER,113362420,9.0,COVID
MODIFIER,113362750,4.0,COVID
MODIFIER,113362973,4.0,COVID
MODIFIER,113362996,4.0,COVID
MODIFIER,113363076,4.0,COVID
MODIFIER,113363108,4.0,COVID
MODIFIER,113363177,4.0,COVID
MODIFIER,113363282,4.0,COVID
MODIFIER,113363283,4.0,COVID
MODIFIER,113363407,4.0,COVID
MODIFIER,113363549,4.0,COVID
MODIFIER,113363691,5.0,COVID
MODIFIER,113363921,5.0,COVID
MODIFIER,113363971,5.0,COVID
MODIFIER,113364331,4.0,COVID
MODIFIER,113364374,5.0,COVID
MODIFIER,113364381,5.0,COVID
MODIFIER,113364470,5.0,COVID
MODIFIER,113364503,5.0,COVID
MODIFIER,113364511,5.0,COVID
MODIFIER,113364632,5.0,COVID
MODIFIER,113364779,5.0,COVID
MODIFIER,113364780,5.0,COVID
MODIFIER,113364872,5.0,COVID
MODIFIER,113365064,5.0,COVID
MODIFIER,113365147,5.0,COVID
MODIFIER,113365160,5.0,COVID
MODIFIER,113365200,5.0,COVID
MODIFIER,113365222,5.0,COVID
MODIFIER,113365452,5.0,COVID
MODIFIER,113365580,5.0,COVID
MODIFIER,113365666,5.0,COVID
MODIFIER,113365686,5.0,COVID
MODIFIER,113365802,4.0,COVID
MODIFIER,113365827,5.0,COVID
MODIFIER,113366048,4.0,COVID
MODIFIER,113366690,4.0,COVID
MODIFIER,113366898,4.0,COVID
MODIFIER,113367308,4.0,COVID
MODIFIER,113367324,4.0,COVID
MODIFIER,113367331,4.0,COVID
MODIFIER,113367342,4.0,COVID
MODIFIER,113367421,4.0,COVID
MODIFIER,113367594,4.0,COVID
MODIFIER,113367894,4.0,COVID
MODIFIER,113368029,4.0,COVID
MODIFIER,113368054,4.0,COVID
MODIFIER,113368078,4.0,COVID
MODIFIER,113368124,4.0,COVID
MODIFIER,113368248,4.0,COVID
MODIFIER,113368504,4.0,COVID
MODIFIER,113368604,5.0,COVID
MODIFIER,113369176,5.0,COVID
MODIFIER,113369714,5.0,COVID
MODIFIER,113369758,5.0,COVID
MODIFIER,113370426,5.0,COVID
MODIFIER,113370965,5.0,COVID
MODIFIER,113371113,5.0,COVID
MODIFIER,113371522,5.0,COVID
MODIFIER,113371645,4.0,COVID
MODIFIER,113371972,5.0,COVID
MODIFIER,113371976,5.0,COVID
MODIFIER,113372538,5.0,COVID
MODIFIER,113372803,5.0,COVID
MODIFIER,113372865,5.0,COVID
MODIFIER,113372960,5.0,COVID
MODIFIER,113372976,5.0,COVID
MODIFIER,113373562,5.0,COVID
MODIFIER,113373587,5.0,COVID
MODIFIER,113374016,5.0,COVID
MODIFIER,113374747,5.0,COVID
MODIFIER,113375035,5.0,COVID
MODIFIER,113375982,5.0,COVID
MODIFIER,113376319,5.0,COVID
MODIFIER,113376330,5.0,COVID
MODIFIER,113376387,5.0,COVID
MODIFIER,113376451,5.0,COVID
MODIFIER,113376912,5.0,COVID
MODIFIER,113377821,5.0,COVID
MODIFIER,113378080,5.0,COVID
MODIFIER,113378676,5.0,COVID
MODIFIER,113379038,5.0,COVID
MODIFIER,113379122,5.0,COVID
MODIFIER,113380007,10.0,COVID
MODIFIER,113380270,5.0,COVID
MODIFIER,113380528,5.0,COVID
MODIFIER,113380707,7.0,COVID
MODIFIER,113381216,5.0,COVID
MODIFIER,113381375,6.0,COVID
MODIFIER,113381694,5.0,COVID
MODIFIER,113381748,5.0,COVID
MODIFIER,113381955,8.0,COVID
MODIFIER,113382976,5.0,COVID
MODIFIER,113384999,5.0,COVID
MODIFIER,113385245,5.0,COVID
MODIFIER,113385917,6.0,COVID
MODIFIER,113386949,6.0,COVID
MODIFIER,113390678,5.0,COVID
MODIFIER,113390747,5.0,COVID
MODIFIER,113392064,4.0,COVID
MODIFIER,113392181,4.0,COVID
MODIFIER,113396009,4.0,COVID
MODIFIER,113397124,2.0,COVID
MODIFIER,113397142,2.0,COVID
MODIFIER,113398138,5.0,COVID
MODIFIER,113402898,5.0,COVID
MODIFIER,113405180,5.0,COVID
MODIFIER,113406195,6.0,COVID
MODIFIER,113406459,5.0,COVID
MODIFIER,113406944,5.0,COVID
MODIFIER,113408207,6.0,COVID
MODIFIER,113409412,7.0,COVID
MODIFIER,113410315,5.0,COVID
MODIFIER,113418849,5.0,COVID
MODIFIER,113419176,5.0,COVID
MODIFIER,113420603,5.0,COVID
MODIFIER,113421294,5.0,COVID
MODIFIER,113424500,5.0,COVID
MODIFIER,113425153,16.0,COVID
MODIFIER,113425492,11.0,COVID
MODIFIER,113425678,5.0,COVID
MODIFIER,131378560,5.0,COVID
MODIFIER,133057291,5.0,COVID
MODIFIER,133057539,5.0,COVID
MODIFIER,133057962,5.0,COVID
MODIFIER,133058156,5.0,COVID
MODIFIER,29229855,5.0,COVID
MODIFIER,58106277,4.0,COVID
MODIFIER,58108051,1.0,COVID
MODIFIER,58108201,1.0,COVID
MODIFIER,89914023,15.0,COVID
MODIFIER,105686614,15.0,COVID
MODIFIER,113534983,15.0,COVID
MODIFIER,113540424,11.0,COVID
MODIFIER,113540648,15.0,COVID
MODIFIER,113543354,5.0,COVID
MODIFIER,75127331,15.0,COVID
MODIFIER,79766793,16.0,COVID
MODIFIER,47804306,5.0,COVID
MODIFIER,47843453,16.0,COVID
MODIFIER,47852830,16.0,COVID
MODIFIER,47858294,5.0,COVID
MODIFIER,47859859,2.0,COVID
MODIFIER,47868920,4.0,COVID
MODIFIER,47897604,5.0,COVID
MODIFIER,47903145,4.0,COVID
MODIFIER,47907382,5.0,COVID
MODIFIER,47914637,4.0,COVID
MODIFIER,47923442,16.0,COVID
MODIFIER,47928833,16.0,COVID
MODIFIER,47929883,6.0,COVID
MODIFIER,47935296,4.0,COVID
MODIFIER,47937461,15.0,COVID
MODIFIER,47938706,11.0,COVID
MODIFIER,47940665,15.0,COVID
MODIFIER,47950328,11.0,COVID
MODIFIER,47957951,11.0,COVID
MODIFIER,47961830,12.0,COVID
MODIFIER,47966849,16.0,COVID
MODIFIER,70318749,4.0,COVID
MODIFIER,10423337,4.0,COVID
MODIFIER,10423814,4.0,COVID
MODIFIER,10424950,4.0,COVID
MODIFIER,10427720,16.0,COVID
MODIFIER,10429119,5.0,COVID
MODIFIER,10435492,9.0,COVID
MODIFIER,10436354,5.0,COVID
MODIFIER,10466122,4.0,COVID
MODIFIER,10475651,15.0,COVID
MODIFIER,10477066,12.0,COVID
MODIFIER,10596987,15.0,COVID
MODIFIER,4572977,5.0,COVID
MODIFIER,4582761,4.0,COVID
MODIFIER,4589189,9.0,COVID
MODIFIER,4655545,10.0,COVID
MODIFIER,4684641,11.0,COVID
MODIFIER,4685275,11.0,COVID
MODIFIER,4686987,9.0,COVID
MODIFIER,4692353,9.0,COVID
MODIFIER,4700186,10.0,COVID
MODIFIER,4703223,11.0,COVID
MODIFIER,4705003,5.0,COVID
MODIFIER,4705507,10.0,COVID
MODIFIER,4708567,5.0,COVID
MODIFIER,4715015,5.0,COVID
MODIFIER,4717671,11.0,COVID
MODIFIER,4719024,10.0,COVID
MODIFIER,4719442,8.0,COVID
MODIFIER,4719484,11.0,COVID
MODIFIER,4723669,10.0,COVID
MODIFIER,4724733,9.0,COVID
MODIFIER,50851758,5.0,COVID
MODIFIER,50852275,5.0,COVID
MODIFIER,50853351,5.0,COVID
MODIFIER,50853645,4.0,COVID
MODIFIER,50854090,3.0,COVID
MODIFIER,50854148,3.0,COVID
MODIFIER,50854259,3.0,COVID
MODIFIER,50855093,4.0,COVID
MODIFIER,50855235,4.0,COVID
MODIFIER,50855700,4.0,COVID
MODIFIER,50855791,4.0,COVID
MODIFIER,50855877,4.0,COVID
MODIFIER,50856334,4.0,COVID
MODIFIER,115647255,16.0,COVID
MODIFIER,126462564,15.0,COVID
MODIFIER,126465039,14.0,COVID
MODIFIER,126466407,12.0,COVID
MODIFIER,126470584,13.0,COVID
MODIFIER,126473491,13.0,COVID
MODIFIER,126476242,12.0,COVID
MODIFIER,126479928,11.0,COVID
MODIFIER,126486198,5.0,COVID
MODIFIER,188276617,4.0,COVID
MODIFIER,188814712,4.0,COVID
MODIFIER,188852208,9.0,COVID
MODIFIER,45281540,5.0,COVID
MODIFIER,66815139,13.0,COVID
MODIFIER,45674246,11.0,COVID
MODIFIER,34574056,5.0,COVID
MODIFIER,34593573,4.0,COVID
MODIFIER,34593709,5.0,COVID
MODIFIER,34596749,5.0,COVID
MODIFIER,34598384,4.0,COVID
MODIFIER,34599083,5.0,COVID
MODIFIER,34600507,5.0,COVID
MODIFIER,34602245,2.0,COVID
MODIFIER,34602304,2.0,COVID
MODIFIER,34602793,14.0,COVID
MODIFIER,34602933,16.0,COVID
MODIFIER,34603248,15.0,COVID
MODIFIER,34604556,11.0,COVID
MODIFIER,34605777,7.0,COVID
MODIFIER,34606633,12.0,COVID
MODIFIER,34607435,5.0,COVID
MODIFIER,34607869,9.0,COVID
MODIFIER,34609504,15.0,COVID
MODIFIER,34609595,5.0,COVID
MODIFIER,34609943,15.0,COVID
MODIFIER,34610486,5.0,COVID
MODIFIER,34611317,5.0,COVID
MODIFIER,34611544,9.0,COVID
MODIFIER,34611570,10.0,COVID
MODIFIER,34611729,10.0,COVID
MODIFIER,34611991,3.0,COVID
MODIFIER,34613300,5.0,COVID
MODIFIER,34614249,15.0,COVID
MODIFIER,34614254,15.0,COVID
MODIFIER,34614833,4.0,COVID
MODIFIER,34615209,2.0,COVID
MODIFIER,34616544,13.0,COVID
MODIFIER,34616922,14.0,COVID
MODIFIER,34617728,15.0,COVID
MODIFIER,34617949,15.0,COVID
MODIFIER,34618042,16.0,COVID
MODIFIER,34618284,16.0,COVID
MODIFIER,34618312,16.0,COVID
MODIFIER,34618438,4.0,COVID
MODIFIER,34619444,14.0,COVID
MODIFIER,34620206,13.0,COVID
MODIFIER,34620450,11.0,COVID
MODIFIER,34620800,13.0,COVID
MODIFIER,34621947,4.0,COVID
MODIFIER,34622535,14.0,COVID
MODIFIER,34623918,9.0,COVID
MODIFIER,34624916,15.0,COVID
MODIFIER,51070099,5.0,COVID
MODIFIER,51071467,3.0,COVID
MODIFIER,51072105,5.0,COVID
MODIFIER,117460200,16.0,COVID
MODIFIER,117471597,16.0,COVID
MODIFIER,117473976,16.0,COVID
MODIFIER,117475050,16.0,COVID
MODIFIER,117475682,16.0,COVID
MODIFIER,117476479,15.0,COVID
MODIFIER,169106770,15.0,COVID
MODIFIER,197107318,5.0,COVID
MODIFIER,197107351,15.0,COVID
MODIFIER,197109633,13.0,COVID
MODIFIER,197115689,2.0,COVID
MODIFIER,197121112,5.0,COVID
MODIFIER,197122813,5.0,COVID
MODIFIER,197126405,16.0,COVID
MODIFIER,197127008,4.0,COVID
MODIFIER,197129048,13.0,COVID
MODIFIER,197130196,9.0,COVID
MODIFIER,197131472,5.0,COVID
MODIFIER,197133647,5.0,COVID
MODIFIER,197134109,12.0,COVID
MODIFIER,197135001,15.0,COVID
MODIFIER,197144236,15.0,COVID
MODIFIER,197144808,16.0,COVID
MODIFIER,39040453,2.0,COVID
MODIFIER,39135150,9.0,COVID
MODIFIER,39204988,5.0,COVID
MODIFIER,39278494,5.0,COVID
MODIFIER,39289935,4.0,COVID
MODIFIER,45841937,15.0,COVID
MODIFIER,45843241,5.0,COVID
MODIFIER,45843314,11.0,COVID
MODIFIER,45843438,15.0,COVID
MODIFIER,45844197,12.0,COVID
MODIFIER,45845747,10.0,COVID
MODIFIER,45846768,5.0,COVID
MODIFIER,45847240,8.0,COVID
MODIFIER,45848759,15.0,COVID
MODIFIER,45850782,5.0,COVID
MODIFIER,45859650,12.0,COVID
MODIFIER,45861931,7.0,COVID
MODIFIER,45862951,5.0,COVID
MODIFIER,45864731,5.0,COVID
MODIFIER,45867439,14.0,COVID
MODIFIER,45871907,16.0,COVID
MODIFIER,45876458,14.0,COVID
MODIFIER,45880480,10.0,COVID
MODIFIER,45888689,5.0,COVID
MODIFIER,45889920,5.0,COVID
MODIFIER,45889948,5.0,COVID
MODIFIER,45899650,10.0,COVID
MODIFIER,45900633,14.0,COVID
MODIFIER,45901088,12.0,COVID
MODIFIER,45908115,9.0,COVID
MODIFIER,45908513,4.0,COVID
MODIFIER,45908858,4.0,COVID
MODIFIER,45909023,14.0,COVID
MODIFIER,45909527,2.0,COVID
MODIFIER,45909643,3.0,COVID
MODIFIER,45910869,12.0,COVID
MODIFIER,45914584,9.0,COVID
MODIFIER,45916785,5.0,COVID
MODIFIER,45918214,10.0,COVID
MODIFIER,45920297,4.0,COVID
MODIFIER,45926042,15.0,COVID
MODIFIER,45927758,16.0,COVID
MODIFIER,45928768,15.0,COVID
MODIFIER,45930795,15.0,COVID
MODIFIER,45932406,5.0,COVID
MODIFIER,45936944,5.0,COVID
MODIFIER,45937832,10.0,COVID
MODIFIER,45939015,7.0,COVID
MODIFIER,45939801,7.0,COVID
MODIFIER,45940635,4.0,COVID
MODIFIER,45945131,12.0,COVID
MODIFIER,45945286,13.0,COVID
MODIFIER,45947017,8.0,COVID
MODIFIER,45949752,5.0,COVID
MODIFIER,45951646,5.0,COVID
MODIFIER,45954338,7.0,COVID
MODIFIER,45960419,11.0,COVID
MODIFIER,45960645,15.0,COVID
MODIFIER,45960699,16.0,COVID
MODIFIER,45962602,15.0,COVID
MODIFIER,45967799,11.0,COVID
MODIFIER,45968042,12.0,COVID
MODIFIER,45970390,14.0,COVID
MODIFIER,45970943,12.0,COVID
MODIFIER,45974091,12.0,COVID
MODIFIER,45975442,5.0,COVID
MODIFIER,45976661,5.0,COVID
MODIFIER,45977809,12.0,COVID
MODIFIER,45981170,16.0,COVID
MODIFIER,45983475,10.0,COVID
MODIFIER,45985346,15.0,COVID
MODIFIER,45989872,16.0,COVID
MODIFIER,45989920,16.0,COVID
MODIFIER,45993644,13.0,COVID
MODIFIER,45994204,15.0,COVID
MODIFIER,45995747,5.0,COVID
MODIFIER,45996500,5.0,COVID
MODIFIER,45997262,14.0,COVID
MODIFIER,45997505,15.0,COVID
MODIFIER,45998057,15.0,COVID
MODIFIER,45999208,16.0,COVID
MODIFIER,46000727,15.0,COVID
MODIFIER,46000869,14.0,COVID
MODIFIER,46001226,15.0,COVID
MODIFIER,46001366,14.0,COVID
MODIFIER,46001719,9.0,COVID
MODIFIER,46002962,5.0,COVID
MODIFIER,46003495,15.0,COVID
MODIFIER,46003536,12.0,COVID
MODIFIER,46006238,14.0,COVID
MODIFIER,46006268,13.0,COVID
MODIFIER,46006340,12.0,COVID
MODIFIER,46007487,15.0,COVID
MODIFIER,46011435,12.0,COVID
MODIFIER,46012278,14.0,COVID
MODIFIER,46012374,13.0,COVID
MODIFIER,46012390,16.0,COVID
MODIFIER,46012541,16.0,COVID
