impact,hg19_pos,count,name
HIGH,113357192,12.0,COVID
HIGH,136132907,13.0,COVID
LOW,113386949,6.0,COVID
LOW,101383561,16.0,COVID
LOW,45637108,16.0,COVID
LOW,46008086,16.0,COVID
LOW,46010006,16.0,COVID
LOW,46063328,16.0,COVID
MODERATE,113357208,11.0,COVID
MODERATE,113357441,11.0,COVID
MODERATE,113376387,5.0,COVID
MODERATE,113425153,16.0,COVID
MODERATE,8203327,12.0,COVID
MODERATE,34614254,15.0,COVID
MODERATE,45837885,15.0,COVID
MODERATE,46007822,16.0,COVID
MODERATE,46007824,16.0,COVID
MODERATE,46009486,16.0,COVID
MODERATE,136333486,15.0,COVID
MODIFIER,230449942,11.0,COVID
MODIFIER,2332987,10.0,COVID
MODIFIER,2333030,8.0,COVID
MODIFIER,2335675,15.0,COVID
MODIFIER,2337536,5.0,COVID
MODIFIER,2338568,5.0,COVID
MODIFIER,241522202,10.0,COVID
MODIFIER,3733216,13.0,COVID
MODIFIER,3733299,13.0,COVID
MODIFIER,3735595,5.0,COVID
MODIFIER,3740837,5.0,COVID
MODIFIER,3744125,9.0,COVID
MODIFIER,3745131,13.0,COVID
MODIFIER,8873010,5.0,COVID
MODIFIER,121385921,12.0,COVID
MODIFIER,130500819,11.0,COVID
MODIFIER,130958332,15.0,COVID
MODIFIER,113350795,7.0,COVID
MODIFIER,113352158,4.0,COVID
MODIFIER,113357192,12.0,COVID
MODIFIER,113357208,11.0,COVID
MODIFIER,113357441,11.0,COVID
MODIFIER,113358105,11.0,COVID
MODIFIER,113358790,5.0,COVID
MODIFIER,113358793,5.0,COVID
MODIFIER,113359131,7.0,COVID
MODIFIER,113359156,11.0,COVID
MODIFIER,113359187,11.0,COVID
MODIFIER,113359317,5.0,COVID
MODIFIER,113359576,5.0,COVID
MODIFIER,113359702,5.0,COVID
MODIFIER,113360024,5.0,COVID
MODIFIER,113360301,4.0,COVID
MODIFIER,113360467,4.0,COVID
MODIFIER,113360562,4.0,COVID
MODIFIER,113360574,4.0,COVID
MODIFIER,113360736,4.0,COVID
MODIFIER,113360785,4.0,COVID
MODIFIER,113361116,10.0,COVID
MODIFIER,113361157,5.0,COVID
MODIFIER,113361173,10.0,COVID
MODIFIER,113361236,10.0,COVID
MODIFIER,113361442,10.0,COVID
MODIFIER,113361573,10.0,COVID
MODIFIER,113362057,9.0,COVID
MODIFIER,113362406,9.0,COVID
MODIFIER,113362420,9.0,COVID
MODIFIER,113362750,4.0,COVID
MODIFIER,113362973,4.0,COVID
MODIFIER,113362996,4.0,COVID
MODIFIER,113363076,4.0,COVID
MODIFIER,113363108,4.0,COVID
MODIFIER,113363177,4.0,COVID
MODIFIER,113363283,4.0,COVID
MODIFIER,113363407,4.0,COVID
MODIFIER,113363549,4.0,COVID
MODIFIER,113363691,5.0,COVID
MODIFIER,113363921,5.0,COVID
MODIFIER,113363971,5.0,COVID
MODIFIER,113364331,4.0,COVID
MODIFIER,113364381,5.0,COVID
MODIFIER,113364470,5.0,COVID
MODIFIER,113364503,5.0,COVID
MODIFIER,113364511,5.0,COVID
MODIFIER,113364632,5.0,COVID
MODIFIER,113364779,5.0,COVID
MODIFIER,113365064,5.0,COVID
