gwas_name,hg38_pos,hg19_pos,new_beta
B2_ALL_eur_leave_ukbb_23andme,1:155072528,chr1:155045003-155045005,-0.15314
B2_ALL_eur_leave_ukbb_23andme,1:155185377,chr1:155157852-155157854,-0.21371
B2_ALL_eur_leave_ukbb_23andme,1:155202934,chr1:155172724-155172726,-0.20173
B2_ALL_eur_leave_ukbb_23andme,1:155203736,chr1:155173526-155173528,-0.20379
B2_ALL_eur_leave_ukbb_23andme,1:247674229,chr1:247837530-247837532,0.44015
B2_ALL_eur_leave_ukbb_23andme,2:103153782,chr2:103770239-103770241,0.45607
B2_ALL_eur_leave_ukbb_23andme,2:103179036,chr2:103795493-103795495,0.36688
B2_ALL_eur_leave_ukbb_23andme,2:103181959,chr2:103798416-103798418,0.45408
B2_ALL_eur_leave_ukbb_23andme,2:103218211,chr2:103834668-103834670,0.38894
B2_ALL_eur_leave_ukbb_23andme,2:169416617,chr2:170273126-170273128,-0.13986
B2_ALL_eur_leave_ukbb_23andme,2:227296454,chr2:228161169-228161171,0.34025
B2_ALL_eur_leave_ukbb_23andme,3:45802706,chr3:45844197-45844199,0.47702
B2_ALL_eur_leave_ukbb_23andme,3:45805749,chr3:45847240-45847242,0.34211
B2_ALL_eur_leave_ukbb_23andme,3:45807268,chr3:45848759-45848761,0.48255
B2_ALL_eur_leave_ukbb_23andme,3:45818159,chr3:45859650-45859652,0.62367
B2_ALL_eur_leave_ukbb_23andme,3:45825948,chr3:45867439-45867441,0.62287
B2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
B2_ALL_eur_leave_ukbb_23andme,3:45886267,chr3:45927758-45927760,-0.33215
B2_ALL_eur_leave_ukbb_23andme,3:45887277,chr3:45928768-45928770,0.3785
B2_ALL_eur_leave_ukbb_23andme,3:45905526,chr3:45947017-45947019,-0.36647
B2_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
B2_ALL_eur_leave_ukbb_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B2_ALL_eur_leave_ukbb_23andme,3:45926551,chr3:45968042-45968044,0.42291
B2_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,0.42484
B2_ALL_eur_leave_ukbb_23andme,3:45929452,chr3:45970943-45970945,0.35193
B2_ALL_eur_leave_ukbb_23andme,3:45941984,chr3:45983475-45983477,0.42145
B2_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
B2_ALL_eur_leave_ukbb_23andme,3:45947552,chr3:45989043-45989045,-0.1249
B2_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,0.41607
B2_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
B2_ALL_eur_leave_ukbb_23andme,3:45952153,chr3:45993644-45993646,0.42104
B2_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,-0.42083
B2_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
B2_ALL_eur_leave_ukbb_23andme,3:45959378,chr3:46000869-46000871,0.42089
B2_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,0.41428
B2_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,-0.42081
B2_ALL_eur_leave_ukbb_23andme,3:45962045,chr3:46003536-46003538,-0.41411
