gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_eur_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_eur_leave_23andme,1:155203736,chr1:155173526-155173528,-0.20379
A2_ALL_eur_leave_23andme,1:213937904,chr1:214111246-214111248,0.2767
A2_ALL_eur_leave_23andme,1:213950025,chr1:214123367-214123369,0.27323
A2_ALL_eur_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_eur_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_eur_leave_23andme,1:237117169,chr1:237280468-237280470,-0.29152
A2_ALL_eur_leave_23andme,2:125704988,chr2:126462564-126462566,-0.16891
A2_ALL_eur_leave_23andme,2:125753981,chr2:126511557-126511559,0.14721
A2_ALL_eur_leave_23andme,2:125754609,chr2:126512185-126512187,-0.14715
A2_ALL_eur_leave_23andme,2:125754853,chr2:126512429-126512431,-0.15013
A2_ALL_eur_leave_23andme,2:125755625,chr2:126513201-126513203,0.14707
A2_ALL_eur_leave_23andme,2:125756664,chr2:126514240-126514242,-0.14775
A2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
A2_ALL_eur_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
A2_ALL_eur_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
A2_ALL_eur_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
A2_ALL_eur_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
A2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
A2_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
A2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_eur_leave_23andme,3:45869378,chr3:45910869-45910871,0.25148
A2_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,0.33215
A2_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
A2_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
