gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_ukbb_23andme,1:237242646,chr1:237405945-237405947,-0.49907
B1_ALL_eur_leave_ukbb_23andme,2:49583292,chr2:49810429-49810431,-0.63292
B1_ALL_eur_leave_ukbb_23andme,2:49586126,chr2:49813263-49813265,0.65153
B1_ALL_eur_leave_ukbb_23andme,2:49586852,chr2:49813989-49813991,0.64424
B1_ALL_eur_leave_ukbb_23andme,2:49586871,chr2:49814008-49814010,0.65196
B1_ALL_eur_leave_ukbb_23andme,3:45800446,chr3:45841937-45841939,-0.44024
B1_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_ukbb_23andme,3:45818159,chr3:45859650-45859652,-0.62367
B1_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,-0.62413
B1_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
B1_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_ukbb_23andme,3:45866624,chr3:45908115-45908117,0.51736
B1_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,-0.51684
B1_ALL_eur_leave_ukbb_23andme,3:45926551,chr3:45968042-45968044,0.42291
B1_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,-0.42484
B1_ALL_eur_leave_ukbb_23andme,3:45932600,chr3:45974091-45974093,0.42473
B1_ALL_eur_leave_ukbb_23andme,3:45939679,chr3:45981170-45981172,0.42145
B1_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B1_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
B1_ALL_eur_leave_ukbb_23andme,3:45952153,chr3:45993644-45993646,0.42104
B1_ALL_eur_leave_ukbb_23andme,3:45955771,chr3:45997262-45997264,-0.41482
B1_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,-0.42083
B1_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,-0.41428
B1_ALL_eur_leave_ukbb_23andme,3:45959875,chr3:46001366-46001368,0.42091
B1_ALL_eur_leave_ukbb_23andme,3:45960228,chr3:46001719-46001721,-0.41413
B1_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,-0.42081
B1_ALL_eur_leave_ukbb_23andme,3:45962045,chr3:46003536-46003538,0.41411
B1_ALL_eur_leave_ukbb_23andme,3:45964747,chr3:46006238-46006240,-0.41669
B1_ALL_eur_leave_ukbb_23andme,3:45964777,chr3:46006268-46006270,0.41619
