gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_leave_23andme,1:71499382,chr1:71965064-71965066,0.04517
C2_ALL_leave_23andme,1:71547250,chr1:72012932-72012934,-0.042579
C2_ALL_leave_23andme,1:71549731,chr1:72015413-72015415,-0.044474
C2_ALL_leave_23andme,1:185261718,chr1:185230849-185230851,-0.039821
C2_ALL_leave_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_leave_23andme,3:45796808,chr3:45838299-45838301,0.1369
C2_ALL_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
C2_ALL_leave_23andme,3:45805749,chr3:45847240-45847242,0.34211
C2_ALL_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
C2_ALL_leave_23andme,3:45818159,chr3:45859650-45859652,0.62367
C2_ALL_leave_23andme,3:45825948,chr3:45867439-45867441,0.62287
C2_ALL_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
C2_ALL_leave_23andme,3:45861003,chr3:45902494-45902496,0.099882
C2_ALL_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
C2_ALL_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
C2_ALL_leave_23andme,3:45905526,chr3:45947017-45947019,-0.36647
C2_ALL_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
C2_ALL_leave_23andme,3:45921111,chr3:45962602-45962604,-0.4299
C2_ALL_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
C2_ALL_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
C2_ALL_leave_23andme,3:45929452,chr3:45970943-45970945,0.35193
C2_ALL_leave_23andme,3:45941984,chr3:45983475-45983477,0.42145
C2_ALL_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_leave_23andme,3:45947552,chr3:45989043-45989045,-0.1249
C2_ALL_leave_23andme,3:45948381,chr3:45989872-45989874,0.41607
C2_ALL_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_leave_23andme,3:45952153,chr3:45993644-45993646,0.42104
C2_ALL_leave_23andme,3:45957717,chr3:45999208-45999210,-0.42083
C2_ALL_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_leave_23andme,3:45959378,chr3:46000869-46000871,0.42089
C2_ALL_leave_23andme,3:45959735,chr3:46001226-46001228,0.41428
C2_ALL_leave_23andme,3:45960513,chr3:46002004-46002006,-0.1191
C2_ALL_leave_23andme,3:45962004,chr3:46003495-46003497,-0.42081
C2_ALL_leave_23andme,3:45962045,chr3:46003536-46003538,-0.41411
C2_ALL_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
C2_ALL_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_leave_23andme,3:45966331,chr3:46007822-46007824,0.43078
C2_ALL_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
C2_ALL_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
C2_ALL_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
C2_ALL_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
C2_ALL_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
C2_ALL_leave_23andme,3:45972340,chr3:46013831-46013833,0.42286
C2_ALL_leave_23andme,3:45976785,chr3:46018276-46018278,-0.10979
C2_ALL_leave_23andme,3:45976852,chr3:46018343-46018345,0.42401
C2_ALL_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_leave_23andme,3:45983037,chr3:46024528-46024530,0.4215
C2_ALL_leave_23andme,3:45983556,chr3:46025047-46025049,0.42196
C2_ALL_leave_23andme,3:45993605,chr3:46035096-46035098,0.42141
C2_ALL_leave_23andme,3:45995029,chr3:46036520-46036522,-0.3453
C2_ALL_leave_23andme,3:46021837,chr3:46063328-46063330,-0.39705
C2_ALL_leave_23andme,3:46026015,chr3:46067506-46067508,0.40662
C2_ALL_leave_23andme,3:46059974,chr3:46101465-46101467,0.40903
C2_ALL_leave_23andme,3:46066006,chr3:46107497-46107499,0.41085
C2_ALL_leave_23andme,3:46066109,chr3:46107600-46107602,0.40808
C2_ALL_leave_23andme,3:46066793,chr3:46108284-46108286,0.38257
C2_ALL_leave_23andme,3:46066908,chr3:46108399-46108401,-0.38261
C2_ALL_leave_23andme,3:46076468,chr3:46117959-46117961,0.40488
C2_ALL_leave_23andme,3:46089733,chr3:46131224-46131226,0.4024
C2_ALL_leave_23andme,3:46096615,chr3:46138106-46138108,0.40367
C2_ALL_leave_23andme,3:46098581,chr3:46140072-46140074,0.4036
C2_ALL_leave_23andme,3:46100352,chr3:46141843-46141845,0.38445
C2_ALL_leave_23andme,3:46100972,chr3:46142463-46142465,-0.4032
C2_ALL_leave_23andme,3:46101695,chr3:46143186-46143188,0.3286
C2_ALL_leave_23andme,3:46208883,chr3:46250373-46250375,-0.24802
C2_ALL_leave_23andme,3:46209242,chr3:46250732-46250734,0.28262
C2_ALL_leave_23andme,3:46213300,chr3:46254790-46254792,-0.27622
C2_ALL_leave_23andme,3:101349101,chr3:101067944-101067946,0.058851
C2_ALL_leave_23andme,3:101367631,chr3:101086474-101086476,-0.058871
C2_ALL_leave_23andme,3:101403731,chr3:101122574-101122576,-0.056285
C2_ALL_leave_23andme,3:101512887,chr3:101231730-101231732,0.05545
C2_ALL_leave_23andme,3:101562865,chr3:101281708-101281710,-0.050597
C2_ALL_leave_23andme,3:101575728,chr3:101294571-101294573,-0.064174
C2_ALL_leave_23andme,3:101575986,chr3:101294829-101294831,-0.06651
C2_ALL_leave_23andme,3:101586326,chr3:101305169-101305171,-0.066107
