gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_leave_UKBB_23andme,1:9630418,chr1:9690475-9690477,0.21065
A2_ALL_leave_UKBB_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_leave_UKBB_23andme,1:155203736,chr1:155173526-155173528,-0.20379
A2_ALL_leave_UKBB_23andme,1:188515609,chr1:188484739-188484741,0.51349
A2_ALL_leave_UKBB_23andme,1:188532345,chr1:188501475-188501477,0.52809
A2_ALL_leave_UKBB_23andme,1:188532616,chr1:188501746-188501748,0.528
A2_ALL_leave_UKBB_23andme,1:188537087,chr1:188506217-188506219,0.51597
A2_ALL_leave_UKBB_23andme,1:188537373,chr1:188506503-188506505,0.52676
A2_ALL_leave_UKBB_23andme,1:188537658,chr1:188506788-188506790,0.52498
A2_ALL_leave_UKBB_23andme,1:188540246,chr1:188509376-188509378,0.51646
A2_ALL_leave_UKBB_23andme,1:188545086,chr1:188514216-188514218,0.53105
A2_ALL_leave_UKBB_23andme,1:188565078,chr1:188534208-188534210,0.51367
A2_ALL_leave_UKBB_23andme,1:188569306,chr1:188538436-188538438,0.51393
A2_ALL_leave_UKBB_23andme,1:213945999,chr1:214119341-214119343,0.27519
A2_ALL_leave_UKBB_23andme,1:213950025,chr1:214123367-214123369,0.27323
A2_ALL_leave_UKBB_23andme,1:237113798,chr1:237277097-237277099,0.31659
A2_ALL_leave_UKBB_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_leave_UKBB_23andme,2:143416726,chr2:144174294-144174296,0.21604
A2_ALL_leave_UKBB_23andme,3:45800446,chr3:45841937-45841939,-0.44024
A2_ALL_leave_UKBB_23andme,3:45801947,chr3:45843438-45843440,-0.48355
A2_ALL_leave_UKBB_23andme,3:45825948,chr3:45867439-45867441,-0.62287
A2_ALL_leave_UKBB_23andme,3:45830416,chr3:45871907-45871909,0.62413
A2_ALL_leave_UKBB_23andme,3:45838989,chr3:45880480-45880482,0.62496
A2_ALL_leave_UKBB_23andme,3:45858159,chr3:45899650-45899652,0.63022
A2_ALL_leave_UKBB_23andme,3:45859142,chr3:45900633-45900635,0.56203
A2_ALL_leave_UKBB_23andme,3:45859597,chr3:45901088-45901090,-0.63105
A2_ALL_leave_UKBB_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_leave_UKBB_23andme,3:45876723,chr3:45918214-45918216,0.3783
A2_ALL_leave_UKBB_23andme,3:45886267,chr3:45927758-45927760,-0.33215
A2_ALL_leave_UKBB_23andme,3:45887277,chr3:45928768-45928770,0.3785
A2_ALL_leave_UKBB_23andme,3:45896341,chr3:45937832-45937834,-0.24739
A2_ALL_leave_UKBB_23andme,3:45918928,chr3:45960419-45960421,0.4273
A2_ALL_leave_UKBB_23andme,3:45919208,chr3:45960699-45960701,0.43149
A2_ALL_leave_UKBB_23andme,3:45921111,chr3:45962602-45962604,-0.4299
A2_ALL_leave_UKBB_23andme,3:45926551,chr3:45968042-45968044,0.42291
A2_ALL_leave_UKBB_23andme,3:45928899,chr3:45970390-45970392,0.42484
A2_ALL_leave_UKBB_23andme,3:45929452,chr3:45970943-45970945,0.35193
A2_ALL_leave_UKBB_23andme,3:45932600,chr3:45974091-45974093,0.42473
A2_ALL_leave_UKBB_23andme,3:45943855,chr3:45985346-45985348,0.39753
A2_ALL_leave_UKBB_23andme,3:45947552,chr3:45989043-45989045,-0.1249
A2_ALL_leave_UKBB_23andme,3:45948381,chr3:45989872-45989874,-0.41607
A2_ALL_leave_UKBB_23andme,3:45948429,chr3:45989920-45989922,0.41825
A2_ALL_leave_UKBB_23andme,3:45951734,chr3:45993225-45993227,-0.11898
A2_ALL_leave_UKBB_23andme,3:45955771,chr3:45997262-45997264,-0.41482
A2_ALL_leave_UKBB_23andme,3:45957717,chr3:45999208-45999210,0.42083
A2_ALL_leave_UKBB_23andme,3:45959236,chr3:46000727-46000729,0.42083
A2_ALL_leave_UKBB_23andme,3:45959378,chr3:46000869-46000871,0.42089
A2_ALL_leave_UKBB_23andme,3:45959571,chr3:46001062-46001064,-0.11864
A2_ALL_leave_UKBB_23andme,3:45959735,chr3:46001226-46001228,0.41428
A2_ALL_leave_UKBB_23andme,3:45959875,chr3:46001366-46001368,0.42091
A2_ALL_leave_UKBB_23andme,3:45962004,chr3:46003495-46003497,-0.42081
A2_ALL_leave_UKBB_23andme,3:45962045,chr3:46003536-46003538,-0.41411
A2_ALL_leave_UKBB_23andme,3:45964777,chr3:46006268-46006270,0.41619
A2_ALL_leave_UKBB_23andme,3:45964849,chr3:46006340-46006342,0.41822
A2_ALL_leave_UKBB_23andme,3:45965996,chr3:46007487-46007489,-0.41666
A2_ALL_leave_UKBB_23andme,3:45966331,chr3:46007822-46007824,0.43078
A2_ALL_leave_UKBB_23andme,3:45966333,chr3:46007824-46007826,-0.41711
A2_ALL_leave_UKBB_23andme,3:45966595,chr3:46008086-46008088,-0.42407
A2_ALL_leave_UKBB_23andme,3:45967995,chr3:46009486-46009488,0.42133
A2_ALL_leave_UKBB_23andme,3:45968515,chr3:46010006-46010008,-0.41669
A2_ALL_leave_UKBB_23andme,3:45969944,chr3:46011435-46011437,-0.41925
A2_ALL_leave_UKBB_23andme,3:45970787,chr3:46012278-46012280,-0.4226
