gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_eur_leave_23andme,1:65114996,chr1:65580678-65580680,-0.059944
C2_ALL_eur_leave_23andme,1:65120148,chr1:65585830-65585832,0.052081
C2_ALL_eur_leave_23andme,1:66525663,chr1:66991345-66991347,0.050908
C2_ALL_eur_leave_23andme,1:66548487,chr1:67014169-67014171,0.058557
C2_ALL_eur_leave_23andme,1:154837540,chr1:154810015-154810017,0.047519
C2_ALL_eur_leave_23andme,1:244368844,chr1:244532145-244532147,-0.045455
C2_ALL_eur_leave_23andme,3:45595617,chr3:45637108-45637110,-0.25612
C2_ALL_eur_leave_23andme,3:45773677,chr3:45815168-45815170,0.35874
C2_ALL_eur_leave_23andme,3:45796394,chr3:45837885-45837887,0.13764
C2_ALL_eur_leave_23andme,3:45797684,chr3:45839175-45839177,0.20542
C2_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
C2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
C2_ALL_eur_leave_23andme,3:45802706,chr3:45844197-45844199,0.47702
C2_ALL_eur_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
C2_ALL_eur_leave_23andme,3:45805749,chr3:45847240-45847242,0.34211
C2_ALL_eur_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
C2_ALL_eur_leave_23andme,3:45820440,chr3:45861931-45861933,-0.62504
C2_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
C2_ALL_eur_leave_23andme,3:45858159,chr3:45899650-45899652,0.63022
C2_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
C2_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
C2_ALL_eur_leave_23andme,3:45861003,chr3:45902494-45902496,0.099882
C2_ALL_eur_leave_23andme,3:45866624,chr3:45908115-45908117,0.51736
C2_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
C2_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
C2_ALL_eur_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
C2_ALL_eur_leave_23andme,3:45897524,chr3:45939015-45939017,0.36834
C2_ALL_eur_leave_23andme,3:45898310,chr3:45939801-45939803,0.36831
C2_ALL_eur_leave_23andme,3:45918928,chr3:45960419-45960421,0.4273
C2_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
C2_ALL_eur_leave_23andme,3:45921111,chr3:45962602-45962604,-0.4299
C2_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
C2_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
C2_ALL_eur_leave_23andme,3:45941984,chr3:45983475-45983477,0.42145
C2_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_eur_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
C2_ALL_eur_leave_23andme,3:45952153,chr3:45993644-45993646,-0.42104
C2_ALL_eur_leave_23andme,3:45955771,chr3:45997262-45997264,-0.41482
C2_ALL_eur_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_eur_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_eur_leave_23andme,3:45962045,chr3:46003536-46003538,-0.41411
C2_ALL_eur_leave_23andme,3:45964777,chr3:46006268-46006270,-0.41619
C2_ALL_eur_leave_23andme,3:45964849,chr3:46006340-46006342,0.41822
C2_ALL_eur_leave_23andme,3:45966331,chr3:46007822-46007824,0.43078
C2_ALL_eur_leave_23andme,3:45966333,chr3:46007824-46007826,0.41711
C2_ALL_eur_leave_23andme,3:45966595,chr3:46008086-46008088,0.42407
C2_ALL_eur_leave_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_eur_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
C2_ALL_eur_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
C2_ALL_eur_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
C2_ALL_eur_leave_23andme,3:45972340,chr3:46013831-46013833,0.42286
C2_ALL_eur_leave_23andme,3:45976852,chr3:46018343-46018345,0.42401
C2_ALL_eur_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_eur_leave_23andme,3:45983037,chr3:46024528-46024530,0.4215
C2_ALL_eur_leave_23andme,3:45983556,chr3:46025047-46025049,0.42196
C2_ALL_eur_leave_23andme,3:45993605,chr3:46035096-46035098,0.42141
C2_ALL_eur_leave_23andme,3:46016375,chr3:46057866-46057868,-0.39527
C2_ALL_eur_leave_23andme,3:46017416,chr3:46058907-46058909,0.40476
C2_ALL_eur_leave_23andme,3:46019726,chr3:46061217-46061219,0.40676
C2_ALL_eur_leave_23andme,3:46019812,chr3:46061303-46061305,-0.39568
C2_ALL_eur_leave_23andme,3:46021837,chr3:46063328-46063330,0.39705
C2_ALL_eur_leave_23andme,3:46026015,chr3:46067506-46067508,0.40662
C2_ALL_eur_leave_23andme,3:46027343,chr3:46068834-46068836,0.40651
C2_ALL_eur_leave_23andme,3:46066109,chr3:46107600-46107602,0.40808
C2_ALL_eur_leave_23andme,3:46066793,chr3:46108284-46108286,0.38257
C2_ALL_eur_leave_23andme,3:46066908,chr3:46108399-46108401,0.38261
C2_ALL_eur_leave_23andme,3:46076468,chr3:46117959-46117961,0.40488
C2_ALL_eur_leave_23andme,3:46089733,chr3:46131224-46131226,0.4024
C2_ALL_eur_leave_23andme,3:46096615,chr3:46138106-46138108,0.40367
C2_ALL_eur_leave_23andme,3:46098581,chr3:46140072-46140074,0.4036
C2_ALL_eur_leave_23andme,3:46100352,chr3:46141843-46141845,0.38445
C2_ALL_eur_leave_23andme,3:46100972,chr3:46142463-46142465,-0.4032
C2_ALL_eur_leave_23andme,3:46135670,chr3:46177161-46177163,0.073902
C2_ALL_eur_leave_23andme,3:46276560,chr3:46318050-46318052,-0.089492
C2_ALL_eur_leave_23andme,3:46289381,chr3:46330871-46330873,0.089882
C2_ALL_eur_leave_23andme,3:46291349,chr3:46332839-46332841,-0.089533
C2_ALL_eur_leave_23andme,3:46291915,chr3:46333405-46333407,0.090468
C2_ALL_eur_leave_23andme,3:46292170,chr3:46333660-46333662,-0.09033
C2_ALL_eur_leave_23andme,3:46294178,chr3:46335668-46335670,-0.090449
C2_ALL_eur_leave_23andme,3:101098324,chr3:100817167-100817169,0.053322
C2_ALL_eur_leave_23andme,3:101098422,chr3:100817265-100817267,0.053674
C2_ALL_eur_leave_23andme,3:101099498,chr3:100818341-100818343,-0.053828
C2_ALL_eur_leave_23andme,3:101099983,chr3:100818826-100818828,0.053685
C2_ALL_eur_leave_23andme,3:101100789,chr3:100819632-100819634,0.052584
C2_ALL_eur_leave_23andme,3:101349101,chr3:101067944-101067946,0.058851
C2_ALL_eur_leave_23andme,3:101403731,chr3:101122574-101122576,-0.056285
C2_ALL_eur_leave_23andme,3:101512887,chr3:101231730-101231732,-0.05545
C2_ALL_eur_leave_23andme,3:101586326,chr3:101305169-101305171,-0.066107
C2_ALL_eur_leave_23andme,3:101587663,chr3:101306506-101306508,-0.066513
C2_ALL_eur_leave_23andme,3:101653055,chr3:101371898-101371900,-0.061035
