gwas_name,hg38_pos,hg19_pos,new_beta
B1_ALL_eur_leave_23andme,1:239752715,chr1:239916014-239916016,0.23248
B1_ALL_eur_leave_23andme,1:239754487,chr1:239917786-239917788,0.23699
B1_ALL_eur_leave_23andme,2:119229661,chr2:119987236-119987238,-0.13882
B1_ALL_eur_leave_23andme,2:119229711,chr2:119987286-119987288,-0.13862
B1_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,-0.44024
B1_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B1_ALL_eur_leave_23andme,3:45825948,chr3:45867439-45867441,-0.62287
B1_ALL_eur_leave_23andme,3:45830416,chr3:45871907-45871909,0.62413
B1_ALL_eur_leave_23andme,3:45838989,chr3:45880480-45880482,0.62496
B1_ALL_eur_leave_23andme,3:45858159,chr3:45899650-45899652,0.63022
B1_ALL_eur_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
B1_ALL_eur_leave_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B1_ALL_eur_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
B1_ALL_eur_leave_23andme,3:45876723,chr3:45918214-45918216,0.3783
B1_ALL_eur_leave_23andme,3:45886267,chr3:45927758-45927760,-0.33215
B1_ALL_eur_leave_23andme,3:45887277,chr3:45928768-45928770,0.3785
B1_ALL_eur_leave_23andme,3:45918928,chr3:45960419-45960421,0.4273
B1_ALL_eur_leave_23andme,3:45919208,chr3:45960699-45960701,0.43149
B1_ALL_eur_leave_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B1_ALL_eur_leave_23andme,3:45926551,chr3:45968042-45968044,0.42291
B1_ALL_eur_leave_23andme,3:45928899,chr3:45970390-45970392,0.42484
B1_ALL_eur_leave_23andme,3:45932600,chr3:45974091-45974093,0.42473
B1_ALL_eur_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
B1_ALL_eur_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
