gwas_name,hg38_pos,hg19_pos,new_beta
B2_ALL_eur_leave_ukbb_23andme,1:155072528,chr1:155045003-155045005,-0.15314
B2_ALL_eur_leave_ukbb_23andme,1:155087842,chr1:155060317-155060319,0.22083
B2_ALL_eur_leave_ukbb_23andme,1:155127487,chr1:155099962-155099964,-0.2043
B2_ALL_eur_leave_ukbb_23andme,1:155185377,chr1:155157852-155157854,-0.21371
B2_ALL_eur_leave_ukbb_23andme,1:155202934,chr1:155172724-155172726,-0.20173
B2_ALL_eur_leave_ukbb_23andme,1:155203736,chr1:155173526-155173528,-0.20379
B2_ALL_eur_leave_ukbb_23andme,1:182654722,chr1:182623856-182623858,0.11937
B2_ALL_eur_leave_ukbb_23andme,2:103153782,chr2:103770239-103770241,0.45607
B2_ALL_eur_leave_ukbb_23andme,2:103179036,chr2:103795493-103795495,0.36688
B2_ALL_eur_leave_ukbb_23andme,2:103181959,chr2:103798416-103798418,0.45408
B2_ALL_eur_leave_ukbb_23andme,2:103218211,chr2:103834668-103834670,0.38894
B2_ALL_eur_leave_ukbb_23andme,2:169416617,chr2:170273126-170273128,-0.13986
B2_ALL_eur_leave_ukbb_23andme,2:227300258,chr2:228164973-228164975,0.33796
B2_ALL_eur_leave_ukbb_23andme,3:45756734,chr3:45798225-45798227,0.35365
B2_ALL_eur_leave_ukbb_23andme,3:45800446,chr3:45841937-45841939,-0.44024
B2_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
B2_ALL_eur_leave_ukbb_23andme,3:45825948,chr3:45867439-45867441,-0.62287
B2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,0.62413
B2_ALL_eur_leave_ukbb_23andme,3:45838989,chr3:45880480-45880482,0.62496
B2_ALL_eur_leave_ukbb_23andme,3:45858159,chr3:45899650-45899652,0.63022
B2_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
B2_ALL_eur_leave_ukbb_23andme,3:45859597,chr3:45901088-45901090,-0.63105
B2_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,-0.51684
B2_ALL_eur_leave_ukbb_23andme,3:45874730,chr3:45916221-45916223,-0.19173
B2_ALL_eur_leave_ukbb_23andme,3:45876723,chr3:45918214-45918216,0.3783
