gwas_name,hg38_pos,hg19_pos,new_beta
B2_ALL_eur_leave_ukbb_23andme,1:155072528,chr1:155045003-155045005,-0.15314
B2_ALL_eur_leave_ukbb_23andme,1:155127487,chr1:155099962-155099964,0.2043
B2_ALL_eur_leave_ukbb_23andme,1:155185377,chr1:155157852-155157854,-0.21371
B2_ALL_eur_leave_ukbb_23andme,1:155202934,chr1:155172724-155172726,-0.20173
B2_ALL_eur_leave_ukbb_23andme,1:155203736,chr1:155173526-155173528,0.20379
B2_ALL_eur_leave_ukbb_23andme,1:182654722,chr1:182623856-182623858,0.11937
B2_ALL_eur_leave_ukbb_23andme,1:247674229,chr1:247837530-247837532,-0.44015
B2_ALL_eur_leave_ukbb_23andme,2:103153782,chr2:103770239-103770241,0.45607
B2_ALL_eur_leave_ukbb_23andme,2:103179036,chr2:103795493-103795495,0.36688
B2_ALL_eur_leave_ukbb_23andme,2:103218211,chr2:103834668-103834670,0.38894
B2_ALL_eur_leave_ukbb_23andme,2:169416617,chr2:170273126-170273128,-0.13986
B2_ALL_eur_leave_ukbb_23andme,2:227296454,chr2:228161169-228161171,0.34025
B2_ALL_eur_leave_ukbb_23andme,2:227300258,chr2:228164973-228164975,-0.33796
B2_ALL_eur_leave_ukbb_23andme,3:45756734,chr3:45798225-45798227,0.35365
B2_ALL_eur_leave_ukbb_23andme,3:45804256,chr3:45845747-45845749,-0.33764
B2_ALL_eur_leave_ukbb_23andme,3:45807268,chr3:45848759-45848761,0.48255
B2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,-0.62413
B2_ALL_eur_leave_ukbb_23andme,3:45859142,chr3:45900633-45900635,0.56203
B2_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,0.51684
B2_ALL_eur_leave_ukbb_23andme,3:45869378,chr3:45910869-45910871,0.25148
B2_ALL_eur_leave_ukbb_23andme,3:45886267,chr3:45927758-45927760,0.33215
B2_ALL_eur_leave_ukbb_23andme,3:45903795,chr3:45945286-45945288,-0.18782
B2_ALL_eur_leave_ukbb_23andme,3:45929452,chr3:45970943-45970945,0.35193
B2_ALL_eur_leave_ukbb_23andme,3:45941984,chr3:45983475-45983477,0.42145
B2_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
B2_ALL_eur_leave_ukbb_23andme,3:45947552,chr3:45989043-45989045,-0.1249
B2_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
B2_ALL_eur_leave_ukbb_23andme,3:45948429,chr3:45989920-45989922,0.41825
B2_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
B2_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
