gwas_name,hg38_pos,hg19_pos,new_beta
B2_ALL_leave_UKBB_23andme,1:2401592,chr1:2333030-2333032,-0.11668
B2_ALL_leave_UKBB_23andme,1:111674339,chr1:112216960-112216962,0.16416
B2_ALL_leave_UKBB_23andme,1:155072528,chr1:155045003-155045005,-0.15314
B2_ALL_leave_UKBB_23andme,1:155202934,chr1:155172724-155172726,-0.20173
B2_ALL_leave_UKBB_23andme,1:155203736,chr1:155173526-155173528,-0.20379
B2_ALL_leave_UKBB_23andme,1:213945999,chr1:214119341-214119343,0.27519
B2_ALL_leave_UKBB_23andme,2:166061783,chr2:166918292-166918294,-0.10276
B2_ALL_leave_UKBB_23andme,2:227296454,chr2:228161169-228161171,0.34025
B2_ALL_leave_UKBB_23andme,3:45802706,chr3:45844197-45844199,0.47702
B2_ALL_leave_UKBB_23andme,3:45805749,chr3:45847240-45847242,0.34211
B2_ALL_leave_UKBB_23andme,3:45807268,chr3:45848759-45848761,0.48255
B2_ALL_leave_UKBB_23andme,3:45818159,chr3:45859650-45859652,0.62367
B2_ALL_leave_UKBB_23andme,3:45825948,chr3:45867439-45867441,0.62287
B2_ALL_leave_UKBB_23andme,3:45830416,chr3:45871907-45871909,0.62413
B2_ALL_leave_UKBB_23andme,3:45886267,chr3:45927758-45927760,-0.33215
B2_ALL_leave_UKBB_23andme,3:45887277,chr3:45928768-45928770,0.3785
B2_ALL_leave_UKBB_23andme,3:45905526,chr3:45947017-45947019,-0.36647
B2_ALL_leave_UKBB_23andme,3:45919208,chr3:45960699-45960701,0.43149
B2_ALL_leave_UKBB_23andme,3:45921111,chr3:45962602-45962604,-0.4299
B2_ALL_leave_UKBB_23andme,3:45926551,chr3:45968042-45968044,0.42291
B2_ALL_leave_UKBB_23andme,3:45928899,chr3:45970390-45970392,0.42484
B2_ALL_leave_UKBB_23andme,3:45929452,chr3:45970943-45970945,0.35193
B2_ALL_leave_UKBB_23andme,3:45941984,chr3:45983475-45983477,0.42145
B2_ALL_leave_UKBB_23andme,3:45943855,chr3:45985346-45985348,0.39753
B2_ALL_leave_UKBB_23andme,3:45947552,chr3:45989043-45989045,-0.1249
B2_ALL_leave_UKBB_23andme,3:45948381,chr3:45989872-45989874,0.41607
B2_ALL_leave_UKBB_23andme,3:45948429,chr3:45989920-45989922,0.41825
B2_ALL_leave_UKBB_23andme,3:45952153,chr3:45993644-45993646,0.42104
B2_ALL_leave_UKBB_23andme,3:45957717,chr3:45999208-45999210,-0.42083
B2_ALL_leave_UKBB_23andme,3:45959236,chr3:46000727-46000729,0.42083
B2_ALL_leave_UKBB_23andme,3:45959378,chr3:46000869-46000871,0.42089
B2_ALL_leave_UKBB_23andme,3:45959735,chr3:46001226-46001228,0.41428
B2_ALL_leave_UKBB_23andme,3:45962004,chr3:46003495-46003497,-0.42081
B2_ALL_leave_UKBB_23andme,3:45962045,chr3:46003536-46003538,-0.41411
B2_ALL_leave_UKBB_23andme,3:45964849,chr3:46006340-46006342,0.41822
B2_ALL_leave_UKBB_23andme,3:45965996,chr3:46007487-46007489,-0.41666
B2_ALL_leave_UKBB_23andme,3:45966331,chr3:46007822-46007824,0.43078
B2_ALL_leave_UKBB_23andme,3:45966333,chr3:46007824-46007826,-0.41711
B2_ALL_leave_UKBB_23andme,3:45966595,chr3:46008086-46008088,0.42407
B2_ALL_leave_UKBB_23andme,3:45967995,chr3:46009486-46009488,0.42133
B2_ALL_leave_UKBB_23andme,3:45968515,chr3:46010006-46010008,-0.41669
B2_ALL_leave_UKBB_23andme,3:45969944,chr3:46011435-46011437,-0.41925
B2_ALL_leave_UKBB_23andme,3:45970787,chr3:46012278-46012280,0.4226
B2_ALL_leave_UKBB_23andme,3:45970899,chr3:46012390-46012392,0.42905
B2_ALL_leave_UKBB_23andme,3:45972340,chr3:46013831-46013833,0.42286
B2_ALL_leave_UKBB_23andme,3:45976852,chr3:46018343-46018345,0.42401
B2_ALL_leave_UKBB_23andme,3:45981341,chr3:46022832-46022834,0.4214
B2_ALL_leave_UKBB_23andme,3:45983037,chr3:46024528-46024530,0.4215
B2_ALL_leave_UKBB_23andme,3:45983556,chr3:46025047-46025049,0.42196
B2_ALL_leave_UKBB_23andme,3:45992327,chr3:46033818-46033820,0.13154
B2_ALL_leave_UKBB_23andme,3:45993605,chr3:46035096-46035098,0.42141
B2_ALL_leave_UKBB_23andme,3:45995029,chr3:46036520-46036522,-0.3453
B2_ALL_leave_UKBB_23andme,3:45996955,chr3:46038446-46038448,0.12478
B2_ALL_leave_UKBB_23andme,3:46021837,chr3:46063328-46063330,-0.39705
B2_ALL_leave_UKBB_23andme,3:46026015,chr3:46067506-46067508,0.40662
B2_ALL_leave_UKBB_23andme,3:46027272,chr3:46068763-46068765,-0.17835
B2_ALL_leave_UKBB_23andme,3:46030514,chr3:46072005-46072007,0.17606
B2_ALL_leave_UKBB_23andme,3:46059711,chr3:46101202-46101204,-0.12818
B2_ALL_leave_UKBB_23andme,3:46059974,chr3:46101465-46101467,0.40903
B2_ALL_leave_UKBB_23andme,3:46066006,chr3:46107497-46107499,0.41085
B2_ALL_leave_UKBB_23andme,3:46066109,chr3:46107600-46107602,0.40808
B2_ALL_leave_UKBB_23andme,3:46066793,chr3:46108284-46108286,0.38257
B2_ALL_leave_UKBB_23andme,3:46066908,chr3:46108399-46108401,-0.38261
B2_ALL_leave_UKBB_23andme,3:46076468,chr3:46117959-46117961,0.40488
B2_ALL_leave_UKBB_23andme,3:46089733,chr3:46131224-46131226,0.4024
B2_ALL_leave_UKBB_23andme,3:46096615,chr3:46138106-46138108,0.40367
B2_ALL_leave_UKBB_23andme,3:46098581,chr3:46140072-46140074,0.4036
B2_ALL_leave_UKBB_23andme,3:46100352,chr3:46141843-46141845,0.38445
B2_ALL_leave_UKBB_23andme,3:46100972,chr3:46142463-46142465,-0.4032
B2_ALL_leave_UKBB_23andme,3:46101695,chr3:46143186-46143188,0.3286
B2_ALL_leave_UKBB_23andme,3:46131332,chr3:46172823-46172825,0.31265
B2_ALL_leave_UKBB_23andme,3:46133113,chr3:46174604-46174606,0.30781
B2_ALL_leave_UKBB_23andme,3:46135604,chr3:46177095-46177097,0.30126
B2_ALL_leave_UKBB_23andme,3:46138924,chr3:46180415-46180417,-0.28531
B2_ALL_leave_UKBB_23andme,3:46142068,chr3:46183559-46183561,-0.26442
B2_ALL_leave_UKBB_23andme,3:46142069,chr3:46183560-46183562,-0.2609
B2_ALL_leave_UKBB_23andme,3:46143233,chr3:46184724-46184726,-0.27539
B2_ALL_leave_UKBB_23andme,3:46144818,chr3:46186309-46186311,-0.2625
B2_ALL_leave_UKBB_23andme,3:46145146,chr3:46186637-46186639,0.28954
B2_ALL_leave_UKBB_23andme,3:46145346,chr3:46186837-46186839,0.28769
B2_ALL_leave_UKBB_23andme,3:46146214,chr3:46187705-46187707,0.27807
B2_ALL_leave_UKBB_23andme,3:46191273,chr3:46232764-46232766,0.28467
B2_ALL_leave_UKBB_23andme,3:46205325,chr3:46246815-46246817,-0.28322
B2_ALL_leave_UKBB_23andme,3:46205462,chr3:46246952-46246954,0.28319
B2_ALL_leave_UKBB_23andme,3:46205605,chr3:46247095-46247097,0.28254
B2_ALL_leave_UKBB_23andme,3:46205965,chr3:46247455-46247457,-0.28318
B2_ALL_leave_UKBB_23andme,3:46206093,chr3:46247583-46247585,-0.28298
B2_ALL_leave_UKBB_23andme,3:46206733,chr3:46248223-46248225,0.28324
B2_ALL_leave_UKBB_23andme,3:46206894,chr3:46248384-46248386,0.2831
B2_ALL_leave_UKBB_23andme,3:46208231,chr3:46249721-46249723,0.28294
B2_ALL_leave_UKBB_23andme,3:46208438,chr3:46249928-46249930,0.2833
B2_ALL_leave_UKBB_23andme,3:46208517,chr3:46250007-46250009,0.28296
B2_ALL_leave_UKBB_23andme,3:46208883,chr3:46250373-46250375,-0.24802
B2_ALL_leave_UKBB_23andme,3:46209242,chr3:46250732-46250734,0.28262
B2_ALL_leave_UKBB_23andme,3:46209308,chr3:46250798-46250800,0.28253
B2_ALL_leave_UKBB_23andme,3:46213300,chr3:46254790-46254792,-0.27622
B2_ALL_leave_UKBB_23andme,3:46213985,chr3:46255475-46255477,0.28372
B2_ALL_leave_UKBB_23andme,3:46221753,chr3:46263243-46263245,0.30775
B2_ALL_leave_UKBB_23andme,3:46222226,chr3:46263716-46263718,0.25022
B2_ALL_leave_UKBB_23andme,3:46224044,chr3:46265534-46265536,-0.24135
B2_ALL_leave_UKBB_23andme,3:46224089,chr3:46265579-46265581,-0.25091
B2_ALL_leave_UKBB_23andme,3:46225235,chr3:46266725-46266727,-0.24157
B2_ALL_leave_UKBB_23andme,3:46229257,chr3:46270747-46270749,0.306
B2_ALL_leave_UKBB_23andme,3:46229908,chr3:46271398-46271400,-0.24821
B2_ALL_leave_UKBB_23andme,3:46232107,chr3:46273597-46273599,-0.29993
B2_ALL_leave_UKBB_23andme,3:46232236,chr3:46273726-46273728,0.29378
B2_ALL_leave_UKBB_23andme,3:46232275,chr3:46273765-46273767,0.29867
