gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_eur_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_eur_leave_23andme,1:155203736,chr1:155173526-155173528,0.20379
A2_ALL_eur_leave_23andme,1:213945999,chr1:214119341-214119343,0.27519
A2_ALL_eur_leave_23andme,1:213950025,chr1:214123367-214123369,-0.27323
A2_ALL_eur_leave_23andme,1:237113798,chr1:237277097-237277099,0.31659
A2_ALL_eur_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_eur_leave_23andme,1:237114217,chr1:237277516-237277518,-0.29234
A2_ALL_eur_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_eur_leave_23andme,2:125704988,chr2:126462564-126462566,-0.16891
A2_ALL_eur_leave_23andme,2:125708831,chr2:126466407-126466409,-0.16693
A2_ALL_eur_leave_23andme,2:125713008,chr2:126470584-126470586,-0.16272
A2_ALL_eur_leave_23andme,2:125715915,chr2:126473491-126473493,-0.17152
A2_ALL_eur_leave_23andme,2:125718666,chr2:126476242-126476244,-0.16935
A2_ALL_eur_leave_23andme,2:125746146,chr2:126503722-126503724,-0.14766
A2_ALL_eur_leave_23andme,2:125746983,chr2:126504559-126504561,-0.14778
A2_ALL_eur_leave_23andme,2:125751323,chr2:126508899-126508901,-0.14746
A2_ALL_eur_leave_23andme,2:125751735,chr2:126509311-126509313,0.14694
A2_ALL_eur_leave_23andme,2:125753981,chr2:126511557-126511559,0.14721
A2_ALL_eur_leave_23andme,2:125754609,chr2:126512185-126512187,-0.14715
A2_ALL_eur_leave_23andme,2:125754853,chr2:126512429-126512431,0.15013
A2_ALL_eur_leave_23andme,2:125756213,chr2:126513789-126513791,0.14791
A2_ALL_eur_leave_23andme,2:125756664,chr2:126514240-126514242,-0.14775
A2_ALL_eur_leave_23andme,2:125787318,chr2:126544894-126544896,0.15045
A2_ALL_eur_leave_23andme,3:45800446,chr3:45841937-45841939,0.44024
A2_ALL_eur_leave_23andme,3:45801947,chr3:45843438-45843440,-0.48355
