gwas_name,hg38_pos,hg19_pos,new_beta
A2_ALL_leave_23andme,1:155202934,chr1:155172724-155172726,-0.20173
A2_ALL_leave_23andme,1:155203736,chr1:155173526-155173528,0.20379
A2_ALL_leave_23andme,1:188532616,chr1:188501746-188501748,0.528
A2_ALL_leave_23andme,1:188537087,chr1:188506217-188506219,0.51597
A2_ALL_leave_23andme,1:188537373,chr1:188506503-188506505,0.52676
A2_ALL_leave_23andme,1:188537658,chr1:188506788-188506790,0.52498
A2_ALL_leave_23andme,1:213941523,chr1:214114865-214114867,0.27613
A2_ALL_leave_23andme,1:213950025,chr1:214123367-214123369,0.27323
A2_ALL_leave_23andme,1:237113953,chr1:237277252-237277254,0.29837
A2_ALL_leave_23andme,1:237114311,chr1:237277610-237277612,0.29775
A2_ALL_leave_23andme,3:45756734,chr3:45798225-45798227,0.35365
A2_ALL_leave_23andme,3:45796808,chr3:45838299-45838301,-0.1369
A2_ALL_leave_23andme,3:45804256,chr3:45845747-45845749,-0.33764
A2_ALL_leave_23andme,3:45807268,chr3:45848759-45848761,0.48255
A2_ALL_leave_23andme,3:45830416,chr3:45871907-45871909,-0.62413
A2_ALL_leave_23andme,3:45859142,chr3:45900633-45900635,0.56203
A2_ALL_leave_23andme,3:45867532,chr3:45909023-45909025,0.51684
A2_ALL_leave_23andme,3:45869378,chr3:45910869-45910871,0.25148
A2_ALL_leave_23andme,3:45886267,chr3:45927758-45927760,0.33215
A2_ALL_leave_23andme,3:45929452,chr3:45970943-45970945,0.35193
A2_ALL_leave_23andme,3:45941984,chr3:45983475-45983477,0.42145
A2_ALL_leave_23andme,3:45943855,chr3:45985346-45985348,0.39753
A2_ALL_leave_23andme,3:45947552,chr3:45989043-45989045,-0.1249
A2_ALL_leave_23andme,3:45948381,chr3:45989872-45989874,-0.41607
A2_ALL_leave_23andme,3:45948429,chr3:45989920-45989922,0.41825
A2_ALL_leave_23andme,3:45951734,chr3:45993225-45993227,-0.11898
A2_ALL_leave_23andme,3:45957717,chr3:45999208-45999210,0.42083
A2_ALL_leave_23andme,3:45959236,chr3:46000727-46000729,0.42083
A2_ALL_leave_23andme,3:45959378,chr3:46000869-46000871,-0.42089
A2_ALL_leave_23andme,3:45959735,chr3:46001226-46001228,-0.41428
A2_ALL_leave_23andme,3:45959875,chr3:46001366-46001368,0.42091
A2_ALL_leave_23andme,3:45960228,chr3:46001719-46001721,-0.41413
A2_ALL_leave_23andme,3:45964747,chr3:46006238-46006240,-0.41669
A2_ALL_leave_23andme,3:45964777,chr3:46006268-46006270,-0.41619
A2_ALL_leave_23andme,3:45965996,chr3:46007487-46007489,-0.41666
A2_ALL_leave_23andme,3:45966333,chr3:46007824-46007826,-0.41711
A2_ALL_leave_23andme,3:45966595,chr3:46008086-46008088,-0.42407
A2_ALL_leave_23andme,3:45968515,chr3:46010006-46010008,-0.41669
A2_ALL_leave_23andme,3:45969944,chr3:46011435-46011437,-0.41925
A2_ALL_leave_23andme,3:45970787,chr3:46012278-46012280,0.4226
A2_ALL_leave_23andme,3:45970899,chr3:46012390-46012392,0.42905
A2_ALL_leave_23andme,3:45973053,chr3:46014544-46014546,0.4236
A2_ALL_leave_23andme,3:45981341,chr3:46022832-46022834,0.4214
