gwas_name,hg38_pos,hg19_pos,new_beta
C2_ALL_eur_leave_ukbb_23andme,1:60832589,chr1:61298260-61298262,0.11004
C2_ALL_eur_leave_ukbb_23andme,1:60832798,chr1:61298469-61298471,0.10916
C2_ALL_eur_leave_ukbb_23andme,2:168114629,chr2:168971138-168971140,-0.05547
C2_ALL_eur_leave_ukbb_23andme,2:168124033,chr2:168980542-168980544,-0.056222
C2_ALL_eur_leave_ukbb_23andme,3:45595617,chr3:45637108-45637110,0.25612
C2_ALL_eur_leave_ukbb_23andme,3:45793925,chr3:45835416-45835418,-0.22
C2_ALL_eur_leave_ukbb_23andme,3:45801947,chr3:45843438-45843440,-0.48355
C2_ALL_eur_leave_ukbb_23andme,3:45802706,chr3:45844197-45844199,0.47702
C2_ALL_eur_leave_ukbb_23andme,3:45804256,chr3:45845747-45845749,-0.33764
C2_ALL_eur_leave_ukbb_23andme,3:45818159,chr3:45859650-45859652,0.62367
C2_ALL_eur_leave_ukbb_23andme,3:45825948,chr3:45867439-45867441,0.62287
C2_ALL_eur_leave_ukbb_23andme,3:45830416,chr3:45871907-45871909,-0.62413
C2_ALL_eur_leave_ukbb_23andme,3:45861003,chr3:45902494-45902496,0.099882
C2_ALL_eur_leave_ukbb_23andme,3:45867532,chr3:45909023-45909025,-0.51684
C2_ALL_eur_leave_ukbb_23andme,3:45919208,chr3:45960699-45960701,0.43149
C2_ALL_eur_leave_ukbb_23andme,3:45928899,chr3:45970390-45970392,0.42484
C2_ALL_eur_leave_ukbb_23andme,3:45939679,chr3:45981170-45981172,0.42145
C2_ALL_eur_leave_ukbb_23andme,3:45941984,chr3:45983475-45983477,0.42145
C2_ALL_eur_leave_ukbb_23andme,3:45943855,chr3:45985346-45985348,0.39753
C2_ALL_eur_leave_ukbb_23andme,3:45948381,chr3:45989872-45989874,-0.41607
C2_ALL_eur_leave_ukbb_23andme,3:45957717,chr3:45999208-45999210,0.42083
C2_ALL_eur_leave_ukbb_23andme,3:45959236,chr3:46000727-46000729,0.42083
C2_ALL_eur_leave_ukbb_23andme,3:45959378,chr3:46000869-46000871,0.42089
C2_ALL_eur_leave_ukbb_23andme,3:45959735,chr3:46001226-46001228,-0.41428
C2_ALL_eur_leave_ukbb_23andme,3:45959875,chr3:46001366-46001368,0.42091
C2_ALL_eur_leave_ukbb_23andme,3:45962004,chr3:46003495-46003497,0.42081
C2_ALL_eur_leave_ukbb_23andme,3:45964747,chr3:46006238-46006240,-0.41669
C2_ALL_eur_leave_ukbb_23andme,3:45965996,chr3:46007487-46007489,-0.41666
C2_ALL_eur_leave_ukbb_23andme,3:45966333,chr3:46007824-46007826,-0.41711
C2_ALL_eur_leave_ukbb_23andme,3:45966595,chr3:46008086-46008088,-0.42407
C2_ALL_eur_leave_ukbb_23andme,3:45967995,chr3:46009486-46009488,0.42133
C2_ALL_eur_leave_ukbb_23andme,3:45968515,chr3:46010006-46010008,0.41669
C2_ALL_eur_leave_ukbb_23andme,3:45973053,chr3:46014544-46014546,0.4236
C2_ALL_eur_leave_ukbb_23andme,3:45981341,chr3:46022832-46022834,0.4214
C2_ALL_eur_leave_ukbb_23andme,3:45993605,chr3:46035096-46035098,0.42141
C2_ALL_eur_leave_ukbb_23andme,3:46019812,chr3:46061303-46061305,0.39568
C2_ALL_eur_leave_ukbb_23andme,3:46021837,chr3:46063328-46063330,-0.39705
C2_ALL_eur_leave_ukbb_23andme,3:46026015,chr3:46067506-46067508,0.40662
C2_ALL_eur_leave_ukbb_23andme,3:46027343,chr3:46068834-46068836,0.40651
C2_ALL_eur_leave_ukbb_23andme,3:46066793,chr3:46108284-46108286,-0.38257
C2_ALL_eur_leave_ukbb_23andme,3:46076468,chr3:46117959-46117961,0.40488
C2_ALL_eur_leave_ukbb_23andme,3:46096615,chr3:46138106-46138108,0.40367
C2_ALL_eur_leave_ukbb_23andme,3:46098581,chr3:46140072-46140074,0.4036
C2_ALL_eur_leave_ukbb_23andme,3:69612258,chr3:69661408-69661410,-0.054324
C2_ALL_eur_leave_ukbb_23andme,3:101586326,chr3:101305169-101305171,0.066107
C2_ALL_eur_leave_ukbb_23andme,3:101653078,chr3:101371921-101371923,0.060176
C2_ALL_eur_leave_ukbb_23andme,3:101655382,chr3:101374225-101374227,-0.060298
C2_ALL_eur_leave_ukbb_23andme,3:101659632,chr3:101378475-101378477,-0.059701
C2_ALL_eur_leave_ukbb_23andme,3:101664477,chr3:101383320-101383322,-0.059996
C2_ALL_eur_leave_ukbb_23andme,3:101803083,chr3:101521926-101521928,0.0631
C2_ALL_eur_leave_ukbb_23andme,7:3717443,chr7:3757074-3757076,0.18412
C2_ALL_eur_leave_ukbb_23andme,9:1686322,chr9:1686321-1686323,0.055749
C2_ALL_eur_leave_ukbb_23andme,10:58774228,chr10:60533987-60533989,-0.23422
C2_ALL_eur_leave_ukbb_23andme,10:110649223,chr10:112408980-112408982,-0.05346
C2_ALL_eur_leave_ukbb_23andme,12:112942203,chr12:113380007-113380009,-0.18889
C2_ALL_eur_leave_ukbb_23andme,12:112944151,chr12:113381955-113381957,0.19237
C2_ALL_eur_leave_ukbb_23andme,12:112987349,chr12:113425153-113425155,-0.17204
C2_ALL_eur_leave_ukbb_23andme,13:94227738,chr13:94879991-94879993,-0.049695
C2_ALL_eur_leave_ukbb_23andme,16:55939805,chr16:55973716-55973718,0.063385
C2_ALL_eur_leave_ukbb_23andme,17:5168839,chr17:5072133-5072135,0.11985
C2_ALL_eur_leave_ukbb_23andme,17:64544572,chr17:62540689-62540691,0.23037
C2_ALL_eur_leave_ukbb_23andme,17:64555324,chr17:62551441-62551443,0.24185
C2_ALL_eur_leave_ukbb_23andme,21:33237639,chr21:34609943-34609945,-0.17686
C2_ALL_eur_leave_ukbb_23andme,21:33245738,chr21:34618042-34618044,0.19472
C2_ALL_eur_leave_ukbb_23andme,21:35007078,chr21:36379374-36379376,0.12856
C2_ALL_eur_leave_ukbb_23andme,21:35007825,chr21:36380121-36380123,0.12939
